InstrumentName, I-25 Denver,,
StartTime, 2020-07-01 00:00:00,,
EndTime, 2020-07-31 23:59:59,,
Date,CO,NO2,PM2.5
07/15/2020 15:00:00.000000,0.4,23.0,27.3
07/15/2020 16:00:00.000000,0.3,22.0,23.0
07/15/2020 17:00:00.000000,0.4,18.0,18.1
07/15/2020 18:00:00.000000,0.3,15.0,14.5
07/15/2020 19:00:00.000000,0.2,14.0,14.3
07/15/2020 20:00:00.000000,0.2,12.0,12.6
07/15/2020 21:00:00.000000,0.2,13.0,11.0
07/15/2020 22:00:00.000000,0.3,12.0,9.6
07/15/2020 23:00:00.000000,0.3,15.0,8.1
07/16/2020 00:00:00.000000,0.4,20.0,8.7
07/16/2020 01:00:00.000000,0.4,19.0,6.7
07/16/2020 02:00:00.000000,0.2,12.0,6.1
07/16/2020 03:00:00.000000,0.2,14.0,5.3
07/16/2020 04:00:00.000000,0.3,,5.9
07/16/2020 05:00:00.000000,0.8,27.0,7.8
07/16/2020 06:00:00.000000,0.5,21.0,9.7
07/16/2020 07:00:00.000000,0.4,23.0,12.3
07/16/2020 08:00:00.000000,0.4,22.0,13.9
07/16/2020 09:00:00.000000,0.3,20.0,13.9
07/16/2020 10:00:00.000000,0.3,21.0,13.7
07/16/2020 11:00:00.000000,0.6,23.0,14.7
07/16/2020 12:00:00.000000,0.8,27.0,17.2
07/16/2020 13:00:00.000000,0.9,31.0,18.7
07/16/2020 14:00:00.000000,0.5,29.0,13.9
07/16/2020 15:00:00.000000,0.3,21.0,8.2
07/16/2020 16:00:00.000000,0.2,12.0,6.4
07/16/2020 17:00:00.000000,0.1,9.0,6.5
07/16/2020 18:00:00.000000,0.2,17.0,6.3
07/16/2020 19:00:00.000000,0.3,23.0,6.3
07/16/2020 20:00:00.000000,0.4,29.0,6.0
07/16/2020 21:00:00.000000,0.4,21.0,5.5
07/16/2020 22:00:00.000000,0.4,21.0,6.0
07/16/2020 23:00:00.000000,0.3,19.0,4.4
