InstrumentName, Construction Dust Monitor (A) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/23/2018 14:50:34.000000,0.18,0.07,0.18,,
03/23/2018 14:53:12.000000,0.18,0.31,0.18,,
03/23/2018 14:55:52.000000,0.18,0.31,0.18,,
03/23/2018 20:01:34.000000,0.0,0.3,0.3,,
03/24/2018 14:44:08.000000,0.93,1.02,1.02,,
03/24/2018 14:46:45.000000,0.48,0.81,0.81,,
03/24/2018 14:50:45.000000,0.76,0.95,0.95,,
03/24/2018 14:53:24.000000,0.8,1.45,1.0,,
03/24/2018 14:56:07.000000,0.47,0.93,0.93,,
03/24/2018 14:58:44.000000,88.14,177.93,145.12,,
03/24/2018 15:02:46.000000,0.43,1.11,1.11,,
03/24/2018 15:05:30.000000,0.58,0.95,0.93,,
03/24/2018 15:08:05.000000,0.83,1.39,0.83,,
03/24/2018 15:10:44.000000,0.24,0.46,0.46,,
03/24/2018 15:14:45.000000,0.82,0.92,0.92,,
03/24/2018 15:17:25.000000,0.21,0.72,0.33,,
03/24/2018 15:20:06.000000,0.21,0.38,0.38,,
03/24/2018 15:22:44.000000,0.15,0.65,0.37,,
03/24/2018 15:26:44.000000,1.07,1.66,1.44,,
03/24/2018 15:29:24.000000,1.02,1.26,1.02,,
03/24/2018 15:32:04.000000,0.46,1.33,0.85,,
03/24/2018 15:34:44.000000,0.4,0.74,0.74,,
03/24/2018 15:38:48.000000,0.6,0.83,0.81,,
03/24/2018 15:41:24.000000,11.39,23.05,20.0,,
03/24/2018 15:44:04.000000,0.68,1.15,0.93,,
03/24/2018 15:46:44.000000,0.75,1.35,0.9,,
03/24/2018 15:50:45.000000,0.79,1.5,1.24,,
03/24/2018 15:53:28.000000,0.67,1.28,1.09,,
03/24/2018 15:56:05.000000,0.51,1.23,0.82,,
03/24/2018 15:58:45.000000,0.17,0.64,0.62,,
03/24/2018 16:02:45.000000,0.08,0.18,0.1,,
03/24/2018 16:05:24.000000,0.17,0.17,0.17,,
03/24/2018 16:08:05.000000,1.91,2.6,2.35,,
03/24/2018 16:10:45.000000,0.28,0.28,0.28,,
03/24/2018 16:14:44.000000,0.52,0.57,0.57,,
03/24/2018 16:17:24.000000,1.03,1.7,1.27,,
03/24/2018 16:20:05.000000,0.45,0.62,0.62,,
03/24/2018 16:22:44.000000,0.72,0.95,0.95,,
03/24/2018 16:26:44.000000,0.24,0.68,0.68,,
03/24/2018 16:29:24.000000,0.83,1.17,1.07,,
03/24/2018 16:32:07.000000,0.14,0.26,0.26,,
03/24/2018 16:34:45.000000,0.43,0.74,0.74,,
03/24/2018 16:38:44.000000,0.3,0.72,0.58,,
03/24/2018 16:41:24.000000,0.34,0.89,0.89,,
03/24/2018 16:44:04.000000,0.15,0.2,0.2,,
03/24/2018 16:46:45.000000,0.7,1.0,1.0,,
03/24/2018 16:50:45.000000,0.24,0.71,0.39,,
03/24/2018 16:53:25.000000,0.92,1.28,1.0,,
03/24/2018 16:56:05.000000,0.08,0.03,0.03,,
                
