InstrumentName, Construction Dust Monitor (B) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/23/2018 13:43:41.000000,8.54,12.63,11.12,,
03/23/2018 13:47:41.000000,7.71,13.63,10.78,,
03/23/2018 13:50:22.000000,8.86,13.1,11.36,,
03/23/2018 13:53:01.000000,8.95,12.95,11.15,,
03/23/2018 13:55:41.000000,8.29,11.02,10.17,,
03/23/2018 13:59:41.000000,6.73,10.27,8.51,,
03/23/2018 14:02:21.000000,5.24,7.5,6.71,,
03/23/2018 14:05:06.000000,3.41,5.74,5.13,,
03/23/2018 14:07:41.000000,3.0,4.05,3.74,,
03/23/2018 14:11:41.000000,3.65,5.87,4.72,,
03/23/2018 14:14:23.000000,2.46,4.32,3.32,,
03/23/2018 14:17:01.000000,2.92,4.39,4.0,,
03/23/2018 14:19:42.000000,2.4,4.6,3.74,,
03/23/2018 14:23:42.000000,2.49,4.35,2.86,,
03/23/2018 14:26:25.000000,2.02,2.98,2.61,,
03/23/2018 14:28:37.000000,2.5,7.0,6.5,,
03/23/2018 14:32:42.000000,1.76,2.59,2.0,,
03/23/2018 14:35:18.000000,1.08,1.16,1.08,,
03/23/2018 14:37:57.000000,0.49,1.34,0.95,,
03/23/2018 14:40:37.000000,0.49,0.05,0.05,,
03/23/2018 14:44:38.000000,0.49,0.22,0.22,,
03/23/2018 14:47:19.000000,0.49,0.22,0.22,,
03/23/2018 14:49:58.000000,0.49,0.22,0.22,,
03/23/2018 14:52:38.000000,0.49,0.38,0.22,,
03/23/2018 14:56:38.000000,0.49,0.38,0.22,,
03/23/2018 14:59:17.000000,0.49,0.38,0.22,,
03/23/2018 15:01:58.000000,0.49,0.43,0.1,,
03/23/2018 15:04:37.000000,0.49,0.43,0.1,,
03/23/2018 15:08:38.000000,0.49,0.39,0.1,,
03/23/2018 15:11:17.000000,0.49,0.12,0.1,,
03/23/2018 15:13:57.000000,0.49,0.4,0.4,,
03/23/2018 15:16:37.000000,0.49,0.64,0.07,,
03/23/2018 15:20:38.000000,0.49,0.19,0.07,,
03/23/2018 15:23:18.000000,0.49,0.1,0.02,,
03/23/2018 15:25:57.000000,0.49,2.22,1.07,,
03/23/2018 15:28:38.000000,0.28,2.81,0.78,,
03/23/2018 15:32:37.000000,0.28,1.54,0.07,,
03/23/2018 15:35:18.000000,0.71,0.34,0.24,,
03/23/2018 15:37:58.000000,0.4,1.43,0.57,,
03/23/2018 15:40:38.000000,0.24,0.02,0.41,,
03/23/2018 15:41:58.000000,0.24,0.22,0.41,,
                
