InstrumentName, Swansea (DEH) B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 10:34:47.756666,7.77,100.0,-221.0
02/11/2018 10:38:47.680000,5.43,100.0,-221.0
02/11/2018 10:41:27.843333,8.64,100.0,-221.0
02/11/2018 10:44:07.970000,6.95,100.0,-221.0
02/11/2018 10:46:47.680000,6.32,100.0,-221.0
02/11/2018 10:50:47.783333,3.79,100.0,-221.0
02/11/2018 10:53:28.510000,4.18,100.0,-221.0
02/11/2018 10:56:07.786666,6.31,100.0,-221.0
02/11/2018 10:58:48.170000,6.84,100.0,-221.0
02/11/2018 11:01:27.730000,3.36,100.0,-221.0
02/11/2018 11:05:27.676666,3.31,100.0,-221.0
02/11/2018 11:08:08.946666,3.89,100.0,-221.0
02/11/2018 11:10:47.690000,3.92,100.0,-221.0
02/11/2018 11:13:27.826666,3.58,100.0,-221.0
02/11/2018 11:17:27.793333,4.74,100.0,-221.0
02/11/2018 11:20:07.846666,3.7,100.0,-221.0
02/11/2018 11:22:47.696666,6.0,100.0,-221.0
02/11/2018 11:26:47.763333,4.49,100.0,-221.0
02/11/2018 11:29:27.806666,0.85,100.0,-221.0
02/11/2018 11:32:07.670000,3.36,100.0,-221.0
02/11/2018 11:34:48.106666,4.9,100.0,-221.0
02/11/2018 11:38:47.793333,3.23,100.0,-221.0
02/11/2018 11:41:27.750000,2.65,100.0,-221.0
02/11/2018 11:44:07.736666,2.23,100.0,-221.0
02/11/2018 11:46:47.743333,3.25,100.0,-221.0
02/11/2018 11:48:07.823333,2.9,100.0,-221.0
02/11/2018 12:02:07.700000,1.4,100.0,-221.0
02/11/2018 12:04:47.983333,1.44,100.0,-221.0
02/11/2018 12:08:47.816666,1.41,100.0,-221.0
02/11/2018 12:11:28.170000,1.18,100.0,-221.0
02/11/2018 12:14:07.826666,0.63,100.0,-221.0
02/11/2018 12:16:48.386666,2.86,100.0,-221.0
02/11/2018 12:20:47.763333,1.68,100.0,-221.0
02/11/2018 12:23:28.106666,1.0,100.0,-221.0
02/11/2018 12:26:07.903333,2.0,100.0,-221.0
02/11/2018 12:28:47.730000,2.0,100.0,-221.0
02/11/2018 12:30:07.686666,1.31,100.0,-221.0
02/11/2018 12:35:27.776666,1.59,100.0,-221.0
02/11/2018 12:38:07.913333,1.08,100.0,-221.0
02/11/2018 12:40:47.856666,0.37,100.0,-221.0
02/11/2018 12:44:47.780000,2.05,100.0,-221.0
02/11/2018 12:47:28.166666,1.62,100.0,-221.0
02/11/2018 12:50:08.323333,0.68,100.0,-221.0
02/11/2018 12:52:47.703333,2.1,100.0,-221.0
02/11/2018 12:56:47.750000,1.16,100.0,-221.0
02/11/2018 12:59:27.693333,0.62,100.0,-221.0
