InstrumentName, West Denver PA-II,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 15:52:28.123333,8.32,42.0,32.0
02/11/2018 15:56:28.123333,12.93,42.0,32.0
02/11/2018 15:59:08.073333,7.19,42.0,33.0
02/11/2018 16:01:48.080000,8.98,42.0,33.0
02/11/2018 16:04:28.150000,9.0,41.0,34.0
02/11/2018 16:08:27.986666,6.5,41.0,34.0
02/11/2018 16:11:08.063333,4.68,41.0,35.0
02/11/2018 16:13:48.170000,4.31,41.0,35.0
02/11/2018 16:16:28.143333,5.63,39.0,35.0
02/11/2018 16:20:28.540000,4.68,39.0,36.0
02/11/2018 16:23:07.996666,5.29,38.0,36.0
02/11/2018 16:25:48.210000,3.27,37.0,37.0
02/11/2018 16:28:28.000000,2.52,37.0,37.0
02/11/2018 16:32:28.256666,2.66,38.0,37.0
02/11/2018 16:35:08.166666,4.19,38.0,37.0
02/11/2018 16:37:48.266666,4.81,38.0,38.0
02/11/2018 16:40:28.023333,7.53,37.0,38.0
02/11/2018 16:44:28.360000,3.88,37.0,39.0
02/11/2018 16:47:08.030000,3.33,36.0,39.0
02/11/2018 16:49:48.076666,3.48,37.0,40.0
02/11/2018 16:52:28.176666,3.05,37.0,40.0
02/11/2018 16:56:28.133333,3.8,37.0,41.0
02/11/2018 16:59:08.423333,3.26,36.0,41.0
02/11/2018 17:01:48.083333,3.4,36.0,42.0
02/11/2018 17:04:28.250000,3.29,35.0,42.0
02/11/2018 17:08:28.140000,3.02,35.0,43.0
02/11/2018 17:11:08.043333,3.0,34.0,43.0
02/11/2018 17:13:48.113333,3.23,33.0,43.0
02/11/2018 17:16:28.150000,2.32,32.0,43.0
02/11/2018 17:20:28.130000,3.02,33.0,44.0
02/11/2018 17:23:08.163333,2.55,32.0,44.0
02/11/2018 17:25:48.290000,2.49,32.0,44.0
02/11/2018 17:28:28.160000,3.05,32.0,45.0
02/11/2018 17:32:28.153333,3.29,31.0,45.0
02/11/2018 17:35:08.163333,2.95,32.0,45.0
02/11/2018 17:37:48.256666,2.88,31.0,45.0
02/11/2018 17:40:28.106666,3.5,31.0,45.0
02/11/2018 17:44:28.063333,2.7,32.0,46.0
02/11/2018 17:47:08.106666,2.66,31.0,46.0
02/11/2018 17:49:48.163333,3.07,31.0,46.0
02/11/2018 17:52:28.083333,3.07,31.0,46.0
02/11/2018 17:56:28.076666,2.37,31.0,46.0
02/11/2018 17:59:08.146666,2.98,31.0,46.0
02/11/2018 18:01:48.076666,2.98,32.0,47.0
02/11/2018 18:04:28.176666,2.59,31.0,47.0
02/11/2018 18:08:28.146666,2.81,30.0,47.0
02/11/2018 18:11:08.956666,2.6,30.0,47.0
02/11/2018 18:13:48.290000,2.07,30.0,47.0
02/11/2018 18:16:28.126666,2.66,30.0,47.0
02/11/2018 18:20:28.163333,2.4,30.0,47.0
02/11/2018 18:23:08.260000,2.35,30.0,47.0
02/11/2018 18:25:48.106666,1.76,30.0,48.0
02/11/2018 18:28:28.313333,2.43,29.0,48.0
02/11/2018 18:32:28.260000,1.56,29.0,48.0
02/11/2018 18:35:09.140000,1.34,29.0,48.0
02/11/2018 18:37:48.310000,1.67,29.0,48.0
02/11/2018 18:40:28.133333,1.27,29.0,48.0
02/11/2018 18:44:28.120000,1.95,29.0,48.0
02/11/2018 18:47:08.303333,1.34,29.0,48.0
02/11/2018 18:49:48.266666,2.05,29.0,48.0
02/11/2018 18:52:28.140000,1.93,29.0,48.0
02/11/2018 18:56:28.130000,1.37,29.0,48.0
02/11/2018 18:59:08.156666,1.0,29.0,48.0
02/11/2018 19:01:48.306666,1.0,28.0,48.0
02/11/2018 19:04:28.160000,0.8,28.0,48.0
02/11/2018 19:08:28.140000,0.5,28.0,48.0
02/11/2018 19:11:08.166666,0.46,27.0,48.0
02/11/2018 19:13:48.250000,0.4,27.0,48.0
02/11/2018 19:16:28.196666,0.56,27.0,48.0
02/11/2018 19:20:28.316666,0.38,27.0,49.0
02/11/2018 19:23:08.306666,0.52,27.0,49.0
02/11/2018 19:25:48.253333,0.22,27.0,49.0
02/11/2018 19:28:28.173333,0.24,26.0,49.0
02/11/2018 19:32:28.466666,0.62,26.0,49.0
02/11/2018 19:35:08.176666,0.67,26.0,49.0
02/11/2018 19:37:48.236666,0.78,26.0,50.0
02/11/2018 19:40:28.453333,0.66,26.0,50.0
02/11/2018 19:44:28.363333,1.0,26.0,50.0
02/11/2018 19:47:08.280000,0.88,27.0,50.0
02/11/2018 19:49:48.220000,0.59,27.0,50.0
02/11/2018 19:52:28.186666,1.5,27.0,50.0
02/11/2018 19:56:28.526666,1.26,27.0,50.0
02/11/2018 19:59:08.286666,1.0,28.0,50.0
02/11/2018 20:01:48.473333,0.88,28.0,50.0
02/11/2018 20:04:28.233333,0.93,28.0,50.0
02/11/2018 20:08:28.196666,1.24,28.0,50.0
02/11/2018 20:11:08.263333,0.62,28.0,50.0
02/11/2018 20:13:48.316666,1.0,28.0,50.0
02/11/2018 20:16:28.363333,1.27,28.0,50.0
02/11/2018 20:20:28.376666,1.16,28.0,50.0
02/11/2018 20:23:08.260000,1.22,28.0,50.0
02/11/2018 20:25:48.376666,1.23,29.0,51.0
02/11/2018 20:28:28.510000,1.27,29.0,51.0
02/11/2018 20:32:28.260000,1.5,29.0,51.0
02/11/2018 20:35:08.356666,2.0,29.0,51.0
02/11/2018 20:37:48.236666,2.63,29.0,51.0
02/11/2018 20:40:28.463333,2.4,29.0,52.0
02/11/2018 20:44:28.576666,2.33,29.0,52.0
02/11/2018 20:47:08.280000,2.13,29.0,52.0
02/11/2018 20:49:48.253333,2.05,29.0,53.0
02/11/2018 20:52:28.380000,2.2,28.0,53.0
02/11/2018 20:56:28.543333,2.33,28.0,53.0
02/11/2018 20:59:08.466666,2.42,29.0,53.0
02/11/2018 21:01:48.363333,1.7,28.0,53.0
02/11/2018 21:04:29.466666,2.51,28.0,53.0
02/11/2018 21:08:28.260000,2.4,28.0,54.0
02/11/2018 21:11:08.383333,2.35,28.0,54.0
02/11/2018 21:13:48.456666,2.66,29.0,54.0
02/11/2018 21:16:28.423333,2.05,28.0,54.0
02/11/2018 21:20:28.433333,2.56,26.0,54.0
02/11/2018 21:23:08.276666,1.7,27.0,55.0
02/11/2018 21:25:48.366666,2.83,26.0,55.0
02/11/2018 21:28:28.773333,2.0,26.0,55.0
02/11/2018 21:32:28.323333,0.64,26.0,55.0
02/11/2018 21:35:08.466666,1.98,26.0,55.0
02/11/2018 21:37:48.400000,1.68,25.0,55.0
02/11/2018 21:40:28.356666,1.5,23.0,56.0
02/11/2018 21:44:28.356666,1.33,23.0,56.0
02/11/2018 21:47:08.376666,1.93,23.0,56.0
02/11/2018 21:49:48.373333,2.23,23.0,56.0
02/11/2018 21:52:28.573333,1.63,22.0,56.0
02/11/2018 21:56:28.510000,1.83,24.0,56.0
02/11/2018 21:59:08.420000,1.69,23.0,56.0
02/11/2018 22:01:48.363333,0.71,23.0,56.0
02/11/2018 22:04:29.373333,1.35,23.0,57.0
02/11/2018 22:08:29.146666,0.71,22.0,57.0
02/11/2018 22:11:08.440000,1.24,21.0,57.0
02/11/2018 22:13:48.476666,0.51,21.0,57.0
02/11/2018 22:16:28.326666,1.1,22.0,57.0
02/11/2018 22:20:28.516666,1.29,21.0,57.0
02/11/2018 22:23:08.340000,0.78,20.0,57.0
02/11/2018 22:25:48.483333,1.25,20.0,57.0
02/11/2018 22:28:28.343333,0.69,21.0,57.0
02/11/2018 22:32:28.470000,1.31,20.0,57.0
02/11/2018 22:35:08.476666,0.67,20.0,57.0
02/11/2018 22:37:48.470000,1.56,20.0,57.0
02/11/2018 22:40:28.460000,0.48,20.0,57.0
02/11/2018 22:44:28.746666,1.2,20.0,57.0
02/11/2018 22:47:08.423333,0.79,21.0,57.0
02/11/2018 22:50:47.133333,0.67,20.0,56.0
02/11/2018 22:53:27.256666,0.78,20.0,56.0
02/11/2018 22:56:07.026666,1.12,20.0,56.0
02/11/2018 22:58:47.116666,8.76,24.0,56.0
02/11/2018 23:02:47.153333,16.19,27.0,56.0
02/11/2018 23:05:27.040000,15.88,27.0,56.0
02/11/2018 23:08:07.116666,16.98,28.0,56.0
02/11/2018 23:10:47.073333,15.64,28.0,56.0
02/11/2018 23:13:27.273333,18.16,29.0,56.0
02/11/2018 23:17:27.073333,23.0,30.0,55.0
02/11/2018 23:20:07.103333,26.36,32.0,55.0
02/11/2018 23:24:07.163333,26.34,32.0,55.0
