InstrumentName, Lake Arbot B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 17:50:34.976666,4.47,23.0,50.0
02/11/2018 17:53:14.906666,3.67,23.0,50.0
02/11/2018 17:55:55.100000,3.48,23.0,50.0
02/11/2018 17:58:35.066666,3.43,23.0,50.0
02/11/2018 18:02:34.923333,3.9,23.0,50.0
02/11/2018 18:05:14.913333,4.2,24.0,51.0
02/11/2018 18:07:54.936666,3.77,23.0,51.0
02/11/2018 18:10:34.876666,3.39,23.0,51.0
02/11/2018 18:14:34.870000,3.5,23.0,53.0
02/11/2018 18:17:14.883333,3.72,22.0,53.0
02/11/2018 18:19:55.013333,3.33,22.0,53.0
02/11/2018 18:22:35.043333,4.33,22.0,53.0
02/11/2018 18:26:34.853333,3.24,21.0,53.0
02/11/2018 18:29:15.030000,3.4,22.0,53.0
02/11/2018 18:31:55.150000,4.03,21.0,53.0
02/11/2018 18:34:34.873333,3.86,22.0,53.0
02/11/2018 18:38:34.926666,3.33,21.0,53.0
02/11/2018 18:41:14.983333,2.69,21.0,53.0
02/11/2018 18:43:54.983333,3.25,21.0,53.0
02/11/2018 18:46:34.913333,3.24,21.0,53.0
02/11/2018 18:50:34.980000,3.02,21.0,52.0
02/11/2018 18:53:14.976666,2.79,21.0,52.0
02/11/2018 18:55:55.030000,2.74,21.0,53.0
02/11/2018 18:58:34.953333,2.93,21.0,53.0
02/11/2018 19:02:35.316666,3.16,22.0,53.0
02/11/2018 19:05:14.903333,4.02,21.0,52.0
02/11/2018 19:07:55.276666,2.83,22.0,53.0
02/11/2018 19:10:34.916666,2.77,21.0,53.0
02/11/2018 19:14:34.980000,3.28,21.0,53.0
02/11/2018 19:17:15.080000,2.79,21.0,53.0
02/11/2018 19:19:55.060000,1.84,21.0,53.0
02/11/2018 19:22:34.976666,1.37,21.0,54.0
02/11/2018 19:26:35.073333,2.12,21.0,54.0
02/11/2018 19:29:14.936666,1.64,20.0,54.0
02/11/2018 19:31:54.960000,1.55,20.0,54.0
02/11/2018 19:34:35.060000,1.64,19.0,53.0
02/11/2018 19:38:34.990000,1.21,20.0,53.0
02/11/2018 19:41:15.083333,1.42,19.0,53.0
02/11/2018 19:43:55.083333,0.74,18.0,53.0
02/11/2018 19:46:35.566666,0.76,18.0,53.0
02/11/2018 19:50:34.996666,1.15,18.0,53.0
02/11/2018 19:53:15.030000,0.63,19.0,53.0
02/11/2018 19:55:55.053333,0.48,18.0,53.0
02/11/2018 19:58:34.943333,0.9,18.0,53.0
02/11/2018 20:02:35.070000,0.66,18.0,53.0
02/11/2018 20:05:15.236666,0.91,18.0,54.0
02/11/2018 20:07:55.243333,0.28,17.0,54.0
02/11/2018 20:10:35.183333,0.35,17.0,54.0
02/11/2018 20:14:35.020000,0.63,17.0,54.0
