InstrumentName, CCD_Jaspe_007,,,,,,,,,,,,,,
StartTime, 2022-09-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-09-30 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Uncertainty
09/23/2022 18:21:08.111000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.63,1.22,0.17,0.27,1.13,1.15,,-1.0,145734.0
09/23/2022 18:22:05.527000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.53,1.27,0.27,0.47,1.03,1.2,,-1.0,145734.0
09/23/2022 18:23:05.797000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.33,1.9,0.75,0.85,1.33,1.9,,-1.0,145734.0
09/23/2022 18:24:07.024000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.03,2.05,0.37,0.88,1.03,2.05,,-1.0,145734.0
09/23/2022 18:25:05.541000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,2.8,2.93,1.07,1.6,2.32,2.88,,-1.0,145734.0
09/23/2022 18:26:06.443000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,2.9,1.97,1.22,1.17,2.42,1.92,,-1.0,145734.0
09/23/2022 18:27:07.324000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.52,1.37,0.93,0.95,1.52,1.37,,-1.0,145734.0
09/23/2022 18:28:06.042000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,2.55,2.27,0.98,1.33,2.55,2.23,,-1.0,145734.0
09/23/2022 18:29:07.914000,39.731792,-105.200829,1.0,0.0,1.0,-1.0,2.42,1.07,0.75,0.25,2.42,1.03,,-1.0,145734.0
09/23/2022 18:30:05.885000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.35,0.93,0.72,0.38,1.35,0.93,,-1.0,145734.0
09/23/2022 18:31:06.182000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,2.2,1.0,0.9,0.55,2.2,1.0,,-1.0,145734.0
09/23/2022 18:32:05.984000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,2.03,0.92,1.0,0.45,2.03,0.92,,-1.0,145734.0
09/23/2022 18:33:04.864000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,2.85,2.6,1.38,1.7,2.85,2.6,,-1.0,145734.0
