InstrumentName, Construction Dust Monitor (B),,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
07/24/2018 01:52:09.000000,10.57,16.62,15.05
07/24/2018 01:53:28.000000,10.55,15.63,14.57
07/24/2018 01:56:08.000000,9.1,13.18,13.0
07/24/2018 01:57:28.000000,8.45,13.33,11.67
07/24/2018 02:00:08.000000,9.18,13.6,12.5
07/24/2018 02:01:28.000000,8.8,12.7,11.93
07/24/2018 02:04:08.000000,9.2,12.75,11.73
07/24/2018 02:05:28.000000,8.7,12.98,11.57
07/24/2018 02:08:08.000000,9.18,14.32,12.57
07/24/2018 02:09:28.000000,9.79,14.33,13.36
07/24/2018 02:12:08.000000,5.24,8.49,7.24
07/24/2018 02:13:28.000000,2.92,5.47,4.68
07/24/2018 02:16:08.000000,2.61,3.8,3.44
07/24/2018 02:17:28.000000,2.85,4.07,3.85
07/24/2018 02:20:08.000000,3.68,4.49,4.49
07/24/2018 02:21:28.000000,3.37,4.73,4.54
07/24/2018 02:24:08.000000,3.07,4.76,4.24
07/24/2018 02:25:28.000000,3.34,4.68,4.18
07/24/2018 02:28:08.000000,3.15,4.47,4.3
07/24/2018 02:29:28.000000,2.83,3.83,3.83
07/24/2018 02:32:08.000000,2.78,4.85,4.1
07/24/2018 02:33:28.000000,3.69,4.92,4.92
07/24/2018 02:36:08.000000,3.37,5.28,5.15
07/24/2018 02:37:28.000000,3.6,5.22,4.75
07/24/2018 02:40:09.000000,3.97,7.03,6.43
07/24/2018 02:41:28.000000,3.28,5.78,5.43
07/24/2018 02:44:08.000000,5.2,7.75,7.68
07/24/2018 02:45:28.000000,3.9,6.13,6.13
07/24/2018 02:48:08.000000,4.63,7.29,6.95
07/24/2018 02:49:28.000000,4.66,6.63,6.22
07/24/2018 02:52:08.000000,3.53,5.97,4.95
07/24/2018 02:53:28.000000,3.83,6.32,5.62
07/24/2018 02:56:08.000000,6.78,9.37,9.17
07/24/2018 02:57:28.000000,6.18,8.38,8.0
07/24/2018 03:00:08.000000,4.02,7.2,6.22
07/24/2018 03:01:28.000000,4.44,6.85,6.51
07/24/2018 03:04:08.000000,4.0,6.43,5.7
07/24/2018 03:05:28.000000,4.28,6.85,6.05
07/24/2018 03:08:08.000000,4.55,8.48,7.0
07/24/2018 03:09:28.000000,5.03,7.18,7.05
07/24/2018 03:12:08.000000,5.87,9.13,8.5
07/24/2018 03:13:28.000000,6.86,9.79,9.71
07/24/2018 03:16:08.000000,5.95,9.18,8.28
07/24/2018 03:17:28.000000,6.75,10.05,9.57
07/24/2018 03:20:08.000000,6.59,9.51,8.93
07/24/2018 03:21:28.000000,6.31,8.67,8.33
07/24/2018 03:24:08.000000,6.5,10.5,9.77
07/24/2018 03:25:28.000000,6.35,10.45,9.68
07/24/2018 03:28:08.000000,8.0,11.8,10.82
07/24/2018 03:29:28.000000,8.07,11.35,10.88
07/24/2018 03:32:08.000000,7.18,11.15,10.46
07/24/2018 03:33:28.000000,7.12,10.0,9.39
07/24/2018 03:36:08.000000,6.85,10.35,9.6
07/24/2018 03:37:28.000000,6.53,10.5,9.68
07/24/2018 03:40:09.000000,6.86,11.36,9.62
07/24/2018 03:41:28.000000,7.05,10.63,9.68
07/24/2018 03:44:08.000000,7.8,11.02,10.24
07/24/2018 03:45:28.000000,6.77,10.33,9.87
07/24/2018 03:48:08.000000,5.82,9.93,8.75
07/24/2018 03:49:28.000000,6.78,10.57,9.98
07/24/2018 03:52:08.000000,6.78,10.6,9.65
07/24/2018 03:53:28.000000,6.51,9.46,8.93
07/24/2018 03:56:08.000000,5.63,9.24,8.41
07/24/2018 03:57:28.000000,4.57,7.75,7.07
07/24/2018 04:00:09.000000,5.22,7.83,7.27
07/24/2018 04:01:28.000000,5.4,7.7,7.22
07/24/2018 04:04:08.000000,4.93,6.41,6.37
07/24/2018 04:05:28.000000,4.83,6.95,6.88
07/24/2018 04:08:08.000000,5.49,7.59,7.1
07/24/2018 04:09:28.000000,5.97,8.27,7.87
07/24/2018 04:12:08.000000,5.49,8.15,7.76
07/24/2018 04:13:28.000000,5.95,9.47,8.53
07/24/2018 04:16:08.000000,5.43,7.85,7.35
07/24/2018 04:17:28.000000,5.24,9.07,7.83
07/24/2018 04:20:08.000000,5.33,8.82,7.54
07/24/2018 04:21:28.000000,6.35,10.13,8.6
07/24/2018 04:24:08.000000,6.93,10.77,9.95
07/24/2018 04:25:28.000000,6.22,8.43,8.23
07/24/2018 04:28:08.000000,5.72,8.55,7.95
07/24/2018 04:29:28.000000,6.65,9.5,8.75
07/24/2018 04:32:08.000000,5.73,8.1,7.63
07/24/2018 04:33:29.000000,5.72,8.27,8.2
07/24/2018 04:36:08.000000,5.44,7.59,7.41
07/24/2018 04:37:28.000000,6.12,8.85,8.41
07/24/2018 04:40:08.000000,5.03,8.1,7.31
