InstrumentName, Melody-Catalpa B,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2018 14:11:26.766666,5.33,50.0,66.0
07/01/2018 14:14:06.763333,5.79,51.0,66.0
07/01/2018 14:16:46.770000,5.21,51.0,66.0
07/01/2018 14:20:46.763333,5.84,50.0,67.0
07/01/2018 14:23:26.776666,5.18,48.0,67.0
07/01/2018 14:26:06.773333,5.16,46.0,67.0
07/01/2018 14:28:46.763333,3.77,47.0,68.0
07/01/2018 14:32:46.766666,4.33,47.0,68.0
07/01/2018 14:35:26.816666,4.72,45.0,68.0
07/01/2018 14:38:06.773333,4.51,46.0,69.0
07/01/2018 14:40:46.820000,4.88,46.0,69.0
07/01/2018 14:44:46.770000,5.64,44.0,69.0
07/01/2018 14:47:26.806666,5.1,44.0,69.0
07/01/2018 14:50:06.813333,4.33,43.0,70.0
07/01/2018 14:52:46.766666,4.18,43.0,70.0
07/01/2018 14:56:46.786666,5.12,44.0,70.0
07/01/2018 14:59:26.790000,5.79,43.0,70.0
07/01/2018 15:02:06.766666,5.56,42.0,71.0
07/01/2018 15:04:46.766666,4.4,43.0,71.0
07/01/2018 15:08:46.773333,4.25,41.0,71.0
07/01/2018 15:11:26.790000,5.36,42.0,71.0
07/01/2018 15:14:06.770000,4.1,40.0,72.0
07/01/2018 15:16:46.770000,5.02,40.0,72.0
07/01/2018 15:20:46.766666,3.95,41.0,71.0
07/01/2018 15:23:26.780000,4.02,40.0,71.0
07/01/2018 15:26:06.776666,3.72,39.0,72.0
07/01/2018 15:28:47.863333,3.79,38.0,72.0
07/01/2018 15:32:46.836666,4.14,39.0,73.0
07/01/2018 15:35:26.916666,3.67,39.0,73.0
07/01/2018 15:38:06.773333,3.95,38.0,73.0
07/01/2018 15:40:46.770000,4.09,37.0,73.0
07/01/2018 15:44:46.780000,4.05,37.0,74.0
07/01/2018 15:47:26.833333,4.07,36.0,75.0
07/01/2018 15:50:06.776666,3.98,35.0,75.0
07/01/2018 15:52:46.790000,4.29,37.0,75.0
07/01/2018 15:56:46.803333,4.38,37.0,75.0
07/01/2018 15:59:26.780000,5.33,37.0,76.0
07/01/2018 16:02:06.836666,4.77,37.0,76.0
07/01/2018 16:04:46.793333,5.07,36.0,76.0
07/01/2018 16:08:46.813333,5.95,37.0,76.0
07/01/2018 16:11:26.793333,6.53,38.0,76.0
07/01/2018 16:14:06.836666,6.09,37.0,76.0
07/01/2018 16:16:46.783333,5.69,39.0,77.0
07/01/2018 16:20:46.786666,5.81,37.0,77.0
07/01/2018 16:23:26.840000,6.0,36.0,77.0
07/01/2018 16:26:06.786666,5.31,37.0,78.0
07/01/2018 16:28:46.786666,5.23,35.0,78.0
07/01/2018 16:32:46.786666,5.49,34.0,78.0
07/01/2018 16:35:26.786666,5.51,35.0,79.0
07/01/2018 16:38:06.783333,6.19,33.0,79.0
07/01/2018 16:40:46.790000,4.98,34.0,79.0
07/01/2018 16:44:46.783333,5.76,35.0,79.0
07/01/2018 16:47:26.923333,5.76,35.0,79.0
07/01/2018 16:50:06.790000,6.71,33.0,80.0
07/01/2018 16:52:46.836666,6.84,34.0,80.0
07/01/2018 16:56:46.816666,6.88,34.0,80.0
07/01/2018 16:59:27.016666,6.76,34.0,80.0
07/01/2018 17:02:06.790000,6.6,34.0,81.0
07/01/2018 17:04:46.796666,7.28,34.0,81.0
07/01/2018 17:08:46.820000,7.29,33.0,82.0
07/01/2018 17:11:26.823333,7.45,32.0,82.0
