InstrumentName, Construction Dust Monitor (A),,
06/19/2018 15:29:41.000000,3.71,5.9,5.44
06/19/2018 15:32:21.000000,4.26,6.0,5.74
06/19/2018 15:35:01.000000,4.34,6.29,5.44
06/19/2018 15:37:41.000000,4.37,6.07,5.22
06/19/2018 15:41:41.000000,3.74,5.16,4.47
06/19/2018 15:44:21.000000,3.15,4.49,4.49
06/19/2018 15:47:02.000000,3.28,4.74,4.49
06/19/2018 15:49:41.000000,3.8,4.9,4.78
06/19/2018 15:53:41.000000,4.02,5.74,5.6
06/19/2018 15:56:21.000000,4.54,6.51,6.23
06/19/2018 15:59:01.000000,3.78,5.27,5.27
06/19/2018 16:01:42.000000,2.67,4.52,4.24
06/19/2018 16:05:41.000000,2.88,4.41,4.05
06/19/2018 16:08:21.000000,2.78,4.45,4.12
06/19/2018 16:11:01.000000,4.79,6.62,6.56
06/19/2018 16:13:41.000000,2.71,4.0,3.8
06/19/2018 16:17:41.000000,3.95,5.55,5.2
06/19/2018 16:20:21.000000,3.45,5.66,5.34
06/19/2018 16:23:01.000000,4.23,6.08,5.79
06/19/2018 16:25:41.000000,4.0,5.8,5.56
06/19/2018 16:29:41.000000,3.22,5.59,4.73
06/19/2018 16:32:21.000000,3.12,4.37,4.15
06/19/2018 16:35:01.000000,4.37,5.82,5.76
06/19/2018 16:37:41.000000,3.79,5.74,5.48
06/19/2018 16:41:41.000000,3.49,5.1,5.02
06/19/2018 16:44:21.000000,3.17,4.24,4.1
06/19/2018 16:47:01.000000,3.95,5.6,5.12
06/19/2018 16:49:41.000000,3.28,5.03,4.75
06/19/2018 16:53:41.000000,4.2,5.55,4.9
06/19/2018 16:56:21.000000,3.0,5.05,4.23
06/19/2018 16:59:01.000000,2.67,3.6,3.6
06/19/2018 17:01:41.000000,3.03,4.3,4.3
06/19/2018 17:05:41.000000,3.29,3.79,3.79
06/19/2018 17:08:21.000000,3.08,4.56,4.1
06/19/2018 17:11:01.000000,2.46,3.95,3.72
06/19/2018 17:13:41.000000,2.9,4.18,3.75
06/19/2018 17:17:41.000000,2.2,2.93,2.93
06/19/2018 17:20:22.000000,3.12,4.02,3.63
06/19/2018 17:23:01.000000,2.61,3.59,3.51
06/19/2018 17:25:41.000000,2.58,3.62,3.62
06/19/2018 17:29:41.000000,2.76,3.37,3.37
06/19/2018 17:32:21.000000,3.9,5.45,5.05
06/19/2018 17:35:01.000000,2.97,4.03,4.03
06/19/2018 17:37:41.000000,3.45,5.0,4.43
06/19/2018 17:41:41.000000,2.87,4.22,3.92
06/19/2018 17:44:21.000000,2.55,4.08,3.47
06/19/2018 17:47:01.000000,2.5,3.45,3.45
06/19/2018 17:49:41.000000,3.13,3.46,3.46
06/19/2018 17:53:42.000000,2.26,3.74,3.47
06/19/2018 17:56:21.000000,2.36,3.97,3.54
06/19/2018 17:59:01.000000,3.0,4.74,3.88
06/19/2018 18:01:41.000000,2.88,4.1,3.59
06/19/2018 18:05:43.000000,3.0,3.5,3.45
06/19/2018 18:08:22.000000,2.44,3.74,3.51
06/19/2018 18:11:01.000000,2.8,4.47,3.9
06/19/2018 18:13:41.000000,2.92,3.51,3.23
06/19/2018 18:17:41.000000,3.63,4.37,4.37
06/19/2018 18:20:23.000000,2.87,3.95,3.87
06/19/2018 18:23:01.000000,3.35,4.53,4.18
06/19/2018 18:25:43.000000,2.61,3.5,3.21
06/19/2018 18:29:42.000000,2.59,3.95,3.68
06/19/2018 18:32:21.000000,2.75,3.55,3.33
06/19/2018 18:35:01.000000,3.17,4.57,4.5
06/19/2018 18:37:41.000000,2.9,3.95,3.54
06/19/2018 18:41:41.000000,3.26,3.89,3.84
06/19/2018 18:44:21.000000,2.17,2.75,2.75
06/19/2018 18:47:01.000000,2.49,3.95,3.41
06/19/2018 18:49:41.000000,2.87,3.45,3.28
06/19/2018 18:53:41.000000,3.0,3.63,3.63
06/19/2018 18:56:23.000000,3.0,3.97,3.97
06/19/2018 18:59:02.000000,2.64,3.56,3.56
06/19/2018 19:01:41.000000,2.25,3.4,2.92
06/19/2018 19:05:41.000000,2.3,3.2,3.2
06/19/2018 19:08:21.000000,2.65,3.92,3.67
06/19/2018 19:11:01.000000,2.9,4.37,3.85
06/19/2018 19:13:42.000000,2.87,3.95,3.8
06/19/2018 19:17:41.000000,1.6,2.25,2.25
06/19/2018 19:20:22.000000,2.58,4.0,3.65
06/19/2018 19:23:01.000000,2.61,3.76,3.63
06/19/2018 19:25:41.000000,2.97,4.13,3.92
06/19/2018 19:29:44.000000,2.58,3.28,3.28
06/19/2018 19:32:21.000000,2.59,4.03,4.03
06/19/2018 19:35:02.000000,3.05,4.12,3.85
06/19/2018 19:37:41.000000,4.78,6.32,6.25
06/19/2018 19:41:42.000000,4.66,6.71,6.29
06/19/2018 19:44:21.000000,5.22,7.1,6.78
06/19/2018 19:47:01.000000,4.58,6.63,6.0
06/19/2018 19:49:41.000000,3.97,5.15,5.15
06/19/2018 19:53:41.000000,3.77,4.74,4.64
06/19/2018 19:56:23.000000,4.4,4.9,4.9
06/19/2018 19:59:01.000000,3.58,5.72,4.85
06/19/2018 20:01:41.000000,3.0,4.72,3.97
06/19/2018 20:05:41.000000,4.1,5.29,5.22
06/19/2018 20:08:22.000000,2.47,3.33,3.25
06/19/2018 20:11:02.000000,4.05,4.9,4.9
06/19/2018 20:13:41.000000,3.68,5.22,4.85
06/19/2018 20:17:41.000000,3.92,5.41,5.05
06/19/2018 20:20:21.000000,4.45,6.32,6.07
06/19/2018 20:23:01.000000,4.68,6.88,5.93
06/19/2018 20:25:41.000000,5.15,6.85,6.59
06/19/2018 20:29:41.000000,4.85,5.85,5.85
06/19/2018 20:32:21.000000,4.95,6.29,6.29
06/19/2018 20:35:02.000000,4.68,6.71,6.29
06/19/2018 20:37:41.000000,3.45,4.8,4.72
06/19/2018 20:41:41.000000,4.67,6.89,6.17
06/19/2018 20:44:21.000000,3.9,5.41,5.07
06/19/2018 20:47:02.000000,4.32,5.63,5.32
06/19/2018 20:49:41.000000,4.38,5.72,4.95
06/19/2018 20:53:42.000000,3.46,5.29,4.88
06/19/2018 20:56:21.000000,2.98,4.59,3.93
06/19/2018 20:59:01.000000,3.31,5.18,4.9
06/19/2018 21:01:41.000000,3.4,4.5,4.5
06/19/2018 21:05:41.000000,3.21,4.05,4.05
06/19/2018 21:08:21.000000,3.38,4.28,3.85
06/19/2018 21:11:01.000000,2.72,4.03,3.8
06/19/2018 21:13:41.000000,2.55,3.97,3.97
06/19/2018 21:17:41.000000,2.08,3.18,2.9
06/19/2018 21:20:21.000000,2.45,3.78,3.3
06/19/2018 21:23:01.000000,2.81,4.43,3.93
06/19/2018 21:25:42.000000,2.34,3.46,3.17
06/19/2018 21:29:41.000000,2.59,3.0,2.85
06/19/2018 21:32:21.000000,2.42,3.28,3.28
06/19/2018 21:35:01.000000,1.9,2.95,2.75
06/19/2018 21:37:41.000000,2.27,3.37,2.93
06/19/2018 21:41:41.000000,1.73,2.27,2.27
06/19/2018 21:44:21.000000,2.05,2.34,2.15
06/19/2018 21:47:01.000000,2.0,2.65,2.4
06/19/2018 21:49:41.000000,1.95,2.61,2.61
06/19/2018 21:53:41.000000,1.33,2.31,2.31
06/19/2018 21:56:21.000000,2.03,3.22,2.78
06/19/2018 21:59:01.000000,1.76,3.56,2.54
06/19/2018 22:01:41.000000,1.67,2.9,2.67
06/19/2018 22:05:41.000000,2.83,4.32,4.2
06/19/2018 22:08:21.000000,2.4,3.22,2.95
06/19/2018 22:11:01.000000,2.0,3.29,3.2
06/19/2018 22:13:41.000000,2.05,2.71,2.49
06/19/2018 22:17:41.000000,3.45,4.71,4.05
06/19/2018 22:20:22.000000,2.69,3.64,3.64
06/19/2018 22:23:02.000000,2.88,4.2,4.02
06/19/2018 22:25:42.000000,3.0,4.05,3.58
06/19/2018 22:29:42.000000,2.5,3.29,3.29
06/19/2018 22:40:22.000000,2.58,4.03,3.72
06/19/2018 22:44:22.000000,2.7,3.7,3.7
06/19/2018 22:47:01.000000,2.46,3.36,3.28
06/19/2018 22:49:41.000000,2.55,3.75,3.67
06/19/2018 22:53:42.000000,3.86,5.29,4.9
06/19/2018 22:56:21.000000,3.84,4.95,4.61
06/19/2018 22:59:01.000000,3.72,4.65,4.47
06/19/2018 23:01:41.000000,3.51,4.63,4.44
06/19/2018 23:05:41.000000,3.85,5.15,4.67
06/19/2018 23:08:22.000000,4.35,6.28,5.93
06/19/2018 23:11:01.000000,4.15,5.79,5.46
06/19/2018 23:13:41.000000,4.15,5.78,5.41
06/19/2018 23:17:41.000000,4.76,7.39,6.85
06/19/2018 23:20:21.000000,4.32,7.12,6.49
06/19/2018 23:23:02.000000,4.15,5.85,5.85
06/19/2018 23:25:41.000000,4.3,6.03,5.6
06/19/2018 23:29:42.000000,4.0,5.28,5.07
06/19/2018 23:32:21.000000,3.78,4.75,4.75
06/19/2018 23:35:01.000000,3.5,4.35,4.35
06/19/2018 23:37:42.000000,3.2,4.85,4.63
06/19/2018 23:41:41.000000,3.8,4.97,4.97
06/19/2018 23:44:22.000000,3.51,5.44,5.05
06/19/2018 23:47:01.000000,3.78,5.37,5.22
06/19/2018 23:49:41.000000,3.35,5.4,4.78
06/19/2018 23:53:41.000000,3.87,5.87,5.7
06/19/2018 23:56:21.000000,3.2,4.87,4.3
06/19/2018 23:59:02.000000,3.55,5.65,4.78
06/20/2018 00:01:41.000000,3.8,5.56,5.2
06/20/2018 00:05:41.000000,3.83,5.24,5.05
06/20/2018 00:08:22.000000,3.45,4.87,4.42
06/20/2018 00:11:01.000000,4.1,5.76,5.67
06/20/2018 00:13:42.000000,4.38,6.08,5.54
06/20/2018 00:17:42.000000,4.05,5.55,5.55
06/20/2018 00:20:22.000000,4.05,4.95,4.87
06/20/2018 00:23:02.000000,3.69,5.21,4.55
06/20/2018 00:25:41.000000,3.25,4.6,4.6
06/20/2018 00:29:41.000000,3.0,4.22,4.07
06/20/2018 00:32:21.000000,3.7,4.97,4.72
06/20/2018 00:35:02.000000,3.92,5.16,5.03
06/20/2018 00:37:41.000000,3.78,5.68,5.29
06/20/2018 00:41:42.000000,4.34,6.39,5.98
06/20/2018 00:44:21.000000,4.43,5.47,5.32
06/20/2018 00:47:02.000000,3.05,5.54,4.56
06/20/2018 00:49:42.000000,2.3,3.37,3.12
06/20/2018 00:53:41.000000,2.0,3.34,3.0
06/20/2018 00:56:22.000000,1.71,2.83,2.32
06/20/2018 00:59:01.000000,1.9,3.0,3.0
06/20/2018 01:01:42.000000,2.1,3.58,3.25
06/20/2018 01:05:41.000000,2.58,3.8,3.53
06/20/2018 01:08:22.000000,2.29,3.17,3.17
06/20/2018 01:11:02.000000,2.0,3.4,3.05
06/20/2018 01:13:42.000000,2.27,3.41,3.41
06/20/2018 01:17:42.000000,2.0,3.0,3.0
06/20/2018 01:20:21.000000,2.2,3.71,3.34
06/20/2018 01:23:01.000000,1.66,2.73,2.59
06/20/2018 01:25:42.000000,1.74,3.26,2.74
06/20/2018 01:29:41.000000,1.17,2.12,2.12
06/20/2018 01:32:21.000000,1.1,1.77,1.62
06/20/2018 01:35:01.000000,1.0,1.78,1.78
06/20/2018 01:37:41.000000,1.98,2.45,2.45
06/20/2018 01:41:41.000000,1.24,1.95,1.9
06/20/2018 01:44:21.000000,1.02,2.03,1.92
06/20/2018 01:47:01.000000,1.81,2.71,2.64
06/20/2018 01:49:42.000000,1.67,2.4,2.29
06/20/2018 01:53:41.000000,1.42,2.2,2.17
06/20/2018 01:56:22.000000,1.0,1.52,1.48
06/20/2018 01:59:01.000000,1.21,2.12,2.12
06/20/2018 02:01:41.000000,1.17,2.0,1.65
06/20/2018 02:05:41.000000,4.79,7.18,6.95
06/20/2018 02:08:22.000000,2.24,3.17,3.02
06/20/2018 02:11:01.000000,1.98,2.59,2.51
06/20/2018 02:13:42.000000,1.0,2.19,1.9
06/20/2018 02:17:42.000000,1.46,2.33,2.33
06/20/2018 02:20:21.000000,4.95,6.5,6.14
06/20/2018 02:23:01.000000,2.5,2.95,2.95
06/20/2018 02:25:41.000000,1.25,2.4,2.05
06/20/2018 02:29:41.000000,1.14,1.57,1.57
06/20/2018 02:32:22.000000,1.49,2.05,1.95
06/20/2018 02:35:02.000000,1.23,1.74,1.49
06/20/2018 02:37:41.000000,0.98,1.35,1.12
06/20/2018 02:41:42.000000,1.17,1.4,1.4
06/20/2018 02:44:21.000000,1.0,1.75,1.75
06/20/2018 02:47:02.000000,1.17,1.95,1.75
06/20/2018 02:49:41.000000,1.0,1.76,1.76
06/20/2018 02:53:41.000000,1.39,2.39,2.1
06/20/2018 02:56:21.000000,1.24,1.63,1.51
06/20/2018 02:59:01.000000,1.63,2.41,2.15
06/20/2018 03:01:42.000000,1.2,2.03,1.7
06/20/2018 03:05:41.000000,0.98,1.57,1.57
06/20/2018 03:08:22.000000,0.83,1.66,1.34
06/20/2018 03:11:01.000000,1.07,1.95,1.71
06/20/2018 03:13:41.000000,1.49,2.44,2.44
06/20/2018 03:17:42.000000,1.41,1.85,1.85
06/20/2018 03:20:22.000000,1.26,2.05,1.98
06/20/2018 03:23:02.000000,1.41,1.51,1.51
06/20/2018 03:25:41.000000,1.25,1.73,1.73
06/20/2018 03:29:42.000000,1.07,1.5,1.5
06/20/2018 03:32:21.000000,1.0,1.66,1.66
06/20/2018 03:35:02.000000,1.35,2.22,1.98
06/20/2018 03:37:41.000000,1.49,2.46,2.08
06/20/2018 03:41:42.000000,1.0,1.59,1.59
06/20/2018 03:44:21.000000,1.22,1.8,1.46
06/20/2018 03:47:02.000000,1.64,2.03,2.03
06/20/2018 03:49:42.000000,1.48,2.87,2.3
06/20/2018 03:53:42.000000,1.79,3.0,2.71
06/20/2018 03:56:22.000000,1.6,2.8,2.12
06/20/2018 03:59:02.000000,1.62,2.3,2.0
06/20/2018 04:01:41.000000,1.74,3.17,2.29
06/20/2018 04:05:42.000000,1.71,2.79,2.53
06/20/2018 04:08:21.000000,1.33,2.4,2.08
06/20/2018 04:11:02.000000,1.87,2.9,2.47
06/20/2018 04:13:42.000000,1.74,2.72,2.0
06/20/2018 04:17:42.000000,1.75,2.75,2.67
06/20/2018 04:19:01.000000,1.8,2.53,2.17
06/20/2018 04:23:01.000000,1.85,3.28,2.75
06/20/2018 04:25:42.000000,2.0,3.05,2.87
06/20/2018 04:29:42.000000,2.0,2.76,2.33
06/20/2018 04:32:22.000000,2.0,2.65,2.65
06/20/2018 04:35:02.000000,1.79,2.45,2.45
06/20/2018 04:37:42.000000,2.0,3.17,2.88
06/20/2018 04:41:42.000000,1.74,1.92,1.92
06/20/2018 04:44:22.000000,2.0,3.45,3.03
06/20/2018 04:47:03.000000,2.41,3.83,2.8
06/20/2018 04:49:42.000000,2.3,3.22,2.95
06/20/2018 04:53:42.000000,2.39,3.46,3.2
06/20/2018 04:56:22.000000,2.15,3.88,3.51
06/20/2018 04:59:02.000000,2.25,3.72,3.03
06/20/2018 05:01:42.000000,2.62,4.03,3.35
06/20/2018 05:05:42.000000,2.07,3.33,2.83
06/20/2018 05:08:21.000000,1.68,2.85,2.0
06/20/2018 05:11:05.000000,2.25,3.0,3.0
06/20/2018 05:13:42.000000,1.76,2.8,2.2
06/20/2018 05:17:41.000000,1.27,2.46,2.12
06/20/2018 05:20:24.000000,1.64,2.36,2.14
06/20/2018 05:23:02.000000,2.15,3.12,2.85
06/20/2018 05:25:42.000000,1.85,2.65,2.55
06/20/2018 05:29:41.000000,1.55,2.0,1.88
06/20/2018 05:32:21.000000,2.25,3.1,3.03
06/20/2018 05:35:02.000000,2.05,2.78,2.55
06/20/2018 05:37:42.000000,1.42,2.5,2.22
06/20/2018 05:41:42.000000,2.0,2.51,2.51
06/20/2018 05:44:22.000000,1.8,2.93,2.54
06/20/2018 05:47:02.000000,2.11,2.57,2.57
06/20/2018 05:49:42.000000,2.15,3.03,2.85
06/20/2018 05:53:42.000000,2.08,3.15,2.83
06/20/2018 05:56:22.000000,2.0,3.29,2.93
06/20/2018 05:59:02.000000,1.7,2.28,2.28
06/20/2018 06:01:42.000000,2.1,2.52,2.52
06/20/2018 06:05:41.000000,2.0,3.34,2.56
06/20/2018 06:08:21.000000,1.83,3.1,3.03
06/20/2018 06:11:02.000000,2.28,3.14,2.75
06/20/2018 06:13:42.000000,1.98,3.08,2.92
06/20/2018 06:17:42.000000,1.8,2.67,2.37
06/20/2018 06:20:22.000000,2.24,2.88,2.64
06/20/2018 06:23:02.000000,2.35,3.51,3.43
06/20/2018 06:25:41.000000,1.98,3.2,2.7
06/20/2018 06:29:42.000000,2.25,3.15,3.15
06/20/2018 06:32:21.000000,2.58,3.45,3.45
06/20/2018 06:35:02.000000,2.27,3.32,3.32
06/20/2018 06:37:42.000000,2.02,3.55,3.02
06/20/2018 06:41:42.000000,2.35,3.5,3.25
06/20/2018 06:44:21.000000,2.05,3.65,3.3
06/20/2018 06:47:03.000000,2.37,3.68,3.41
06/20/2018 06:49:42.000000,3.0,4.1,3.75
06/20/2018 06:53:42.000000,2.46,4.15,3.87
06/20/2018 06:56:22.000000,2.87,4.18,3.75
06/20/2018 06:59:02.000000,3.73,5.2,5.2
06/20/2018 07:01:41.000000,3.97,6.22,5.12
06/20/2018 07:05:41.000000,4.3,5.65,5.43
06/20/2018 07:08:22.000000,4.39,5.93,5.66
06/20/2018 07:11:02.000000,4.64,7.45,6.02
06/20/2018 07:13:42.000000,4.03,5.44,4.87
06/20/2018 07:17:42.000000,4.25,6.9,6.15
06/20/2018 07:20:21.000000,3.73,5.37,4.85
06/20/2018 07:23:02.000000,4.02,7.05,5.44
06/20/2018 07:25:42.000000,3.93,5.9,5.61
06/20/2018 07:29:42.000000,4.35,6.07,5.6
06/20/2018 07:32:22.000000,4.56,6.32,5.98
06/20/2018 07:35:02.000000,4.17,5.37,5.22
06/20/2018 07:37:42.000000,4.49,5.66,5.56
06/20/2018 07:41:42.000000,3.47,4.95,4.62
06/20/2018 07:44:22.000000,3.46,5.27,4.88
06/20/2018 07:47:02.000000,2.85,4.49,3.9
06/20/2018 07:49:42.000000,3.17,4.54,3.98
06/20/2018 07:53:42.000000,2.8,4.8,4.4
06/20/2018 07:56:22.000000,3.1,4.28,4.2
06/20/2018 07:59:02.000000,2.76,4.0,3.71
06/20/2018 08:01:42.000000,3.47,5.53,4.78
06/20/2018 08:05:42.000000,3.0,4.82,4.21
06/20/2018 08:08:22.000000,3.33,6.35,5.4
06/20/2018 08:11:01.000000,3.28,4.87,4.55
06/20/2018 08:13:42.000000,3.0,5.18,4.34
06/20/2018 08:17:42.000000,3.5,4.82,4.32
06/20/2018 08:20:22.000000,4.0,5.75,5.68
06/20/2018 08:23:02.000000,3.5,5.47,5.39
06/20/2018 08:25:42.000000,3.52,5.12,4.95
06/20/2018 08:29:42.000000,4.2,5.17,5.17
06/20/2018 08:32:21.000000,3.62,5.25,5.12
06/20/2018 08:35:02.000000,3.44,5.34,4.61
06/20/2018 08:37:42.000000,4.0,7.03,6.55
06/20/2018 08:41:42.000000,3.63,5.78,4.9
06/20/2018 08:44:22.000000,3.87,5.55,5.22
06/20/2018 08:47:02.000000,4.05,6.0,5.07
06/20/2018 08:49:42.000000,3.76,5.54,5.32
06/20/2018 08:53:42.000000,4.22,6.32,5.78
06/20/2018 08:56:21.000000,4.18,5.9,5.53
06/20/2018 08:59:01.000000,4.91,7.0,6.45
06/20/2018 09:01:42.000000,4.0,6.24,6.12
06/20/2018 09:05:42.000000,4.33,7.44,6.92
06/20/2018 09:08:22.000000,3.97,7.05,6.43
06/20/2018 09:11:02.000000,4.18,7.57,6.12
06/20/2018 09:13:42.000000,4.68,7.2,6.72
06/20/2018 09:17:42.000000,5.0,7.51,7.51
06/20/2018 09:20:22.000000,4.54,7.85,7.49
06/20/2018 09:23:02.000000,4.53,6.2,6.05
06/20/2018 09:25:42.000000,5.25,9.27,8.38
06/20/2018 09:29:42.000000,5.86,10.43,9.26
06/20/2018 09:32:22.000000,5.95,9.31,8.67
06/20/2018 09:35:02.000000,5.86,9.43,9.36
06/20/2018 09:37:42.000000,6.55,11.36,10.5
06/20/2018 09:41:42.000000,6.15,9.9,9.37
06/20/2018 09:44:23.000000,5.18,8.23,7.92
06/20/2018 09:47:02.000000,5.37,9.82,8.8
06/20/2018 09:49:42.000000,5.43,9.29,9.0
06/20/2018 09:53:41.000000,5.88,10.66,9.76
06/20/2018 09:56:22.000000,5.44,10.0,8.87
06/20/2018 09:59:02.000000,5.71,10.17,9.32
06/20/2018 10:01:42.000000,6.68,10.05,9.51
06/20/2018 10:05:42.000000,6.12,11.54,9.83
06/20/2018 10:08:22.000000,5.72,9.1,8.63
06/20/2018 10:11:02.000000,5.32,10.7,9.52
06/20/2018 10:13:42.000000,5.88,10.17,8.93
06/20/2018 10:17:42.000000,5.49,10.71,9.05
06/20/2018 10:20:22.000000,6.0,10.22,8.9
06/20/2018 10:23:02.000000,5.65,10.77,9.93
06/20/2018 10:25:42.000000,7.07,11.66,10.61
06/20/2018 10:29:41.000000,5.73,9.56,8.71
06/20/2018 10:32:22.000000,6.24,10.32,9.59
06/20/2018 10:35:02.000000,5.85,9.26,8.95
06/20/2018 10:37:41.000000,5.77,8.79,8.54
06/20/2018 10:41:42.000000,6.38,9.33,9.0
06/20/2018 10:44:22.000000,5.7,9.6,8.8
06/20/2018 10:47:02.000000,6.41,10.22,9.34
06/20/2018 10:49:42.000000,6.38,9.74,9.62
06/20/2018 10:53:41.000000,7.05,10.55,10.25
06/20/2018 10:56:22.000000,5.8,10.15,9.27
06/20/2018 10:59:02.000000,6.56,10.02,9.63
06/20/2018 11:01:42.000000,7.03,10.15,9.73
06/20/2018 11:05:42.000000,7.38,9.82,9.64
06/20/2018 11:08:22.000000,6.8,11.12,10.4
06/20/2018 11:11:02.000000,6.71,10.34,10.27
06/20/2018 11:13:42.000000,7.54,10.93,9.9
06/20/2018 11:17:42.000000,6.07,10.57,9.9
06/20/2018 11:20:22.000000,8.35,11.43,10.77
06/20/2018 11:23:02.000000,7.54,10.44,10.22
06/20/2018 11:25:42.000000,7.0,10.82,9.9
06/20/2018 11:29:42.000000,7.68,11.34,10.49
06/20/2018 11:32:22.000000,7.85,11.71,10.44
06/20/2018 11:35:02.000000,6.95,11.36,9.74
06/20/2018 11:37:42.000000,8.1,10.93,10.2
06/20/2018 11:41:42.000000,7.86,10.45,9.86
06/20/2018 11:44:22.000000,8.5,11.82,11.35
06/20/2018 11:47:02.000000,7.51,10.83,10.56
06/20/2018 11:49:42.000000,7.9,12.34,10.59
06/20/2018 11:53:42.000000,8.29,12.37,11.07
06/20/2018 11:56:22.000000,7.95,11.59,10.37
06/20/2018 11:59:02.000000,7.46,9.71,9.2
06/20/2018 12:01:42.000000,7.85,10.15,9.82
06/20/2018 12:05:42.000000,7.47,9.89,9.74
06/20/2018 12:08:22.000000,6.63,9.95,9.32
06/20/2018 12:11:02.000000,7.97,10.82,10.54
06/20/2018 12:13:42.000000,7.82,10.41,9.97
06/20/2018 12:17:42.000000,7.54,10.08,9.54
06/20/2018 12:20:22.000000,7.56,9.46,9.37
06/20/2018 12:23:02.000000,6.72,9.2,8.82
06/20/2018 12:25:42.000000,7.49,10.34,9.98
06/20/2018 12:29:42.000000,7.0,9.65,9.07
06/20/2018 12:32:22.000000,8.1,10.34,9.8
06/20/2018 12:35:02.000000,6.22,10.1,8.98
06/20/2018 12:37:42.000000,5.68,8.51,8.24
06/20/2018 12:41:42.000000,5.85,8.72,8.26
06/20/2018 12:44:22.000000,5.32,8.57,7.68
06/20/2018 12:47:02.000000,5.17,7.0,6.41
06/20/2018 12:49:42.000000,5.18,7.82,6.68
06/20/2018 12:53:42.000000,4.67,7.64,6.67
06/20/2018 12:56:22.000000,5.46,7.83,7.46
06/20/2018 12:59:02.000000,5.46,8.54,8.1
06/20/2018 13:01:42.000000,5.38,8.0,7.41
06/20/2018 13:05:46.000000,5.22,7.1,7.05
06/20/2018 13:08:22.000000,5.51,7.41,6.54
06/20/2018 13:11:02.000000,5.02,7.44,7.0
06/20/2018 13:13:42.000000,4.95,6.83,6.83
06/20/2018 13:17:42.000000,4.76,5.95,5.95
06/20/2018 13:20:22.000000,5.5,7.86,7.02
06/20/2018 13:23:02.000000,4.76,7.38,7.05
06/20/2018 13:25:42.000000,4.78,6.93,6.2
06/20/2018 13:29:42.000000,4.79,7.12,6.48
06/20/2018 13:32:22.000000,4.57,6.2,6.07
06/20/2018 13:35:02.000000,4.59,5.98,5.78
06/20/2018 13:37:42.000000,5.07,7.32,7.32
06/20/2018 13:41:42.000000,5.93,7.8,7.62
06/20/2018 13:44:22.000000,6.52,8.83,8.55
06/20/2018 13:47:02.000000,7.74,9.85,9.77
06/20/2018 13:49:42.000000,7.63,10.07,10.07
06/20/2018 13:53:42.000000,7.61,9.98,9.63
06/20/2018 13:56:22.000000,7.2,9.29,8.98
06/20/2018 13:59:02.000000,6.76,9.56,9.24
06/20/2018 14:01:42.000000,8.59,12.63,11.85
06/20/2018 14:05:42.000000,9.39,12.78,11.8
06/20/2018 14:08:22.000000,10.8,14.82,14.25
06/20/2018 14:11:02.000000,11.24,14.41,14.24
06/20/2018 14:13:42.000000,11.2,15.1,14.71
06/20/2018 14:17:43.000000,14.12,20.15,18.32
06/20/2018 14:20:22.000000,13.72,20.33,19.62
06/20/2018 14:23:02.000000,14.68,22.2,20.37
06/20/2018 14:25:42.000000,13.8,21.48,19.65
06/20/2018 14:29:42.000000,12.0,17.26,16.59
06/20/2018 14:32:22.000000,12.07,17.42,17.1
06/20/2018 14:35:02.000000,12.18,18.87,17.56
06/20/2018 14:37:42.000000,13.34,20.27,18.85
06/20/2018 14:41:42.000000,13.83,20.88,18.95
06/20/2018 14:44:22.000000,14.39,22.05,21.12
06/20/2018 14:47:02.000000,12.56,18.56,17.97
06/20/2018 14:49:42.000000,11.92,19.33,17.69
06/20/2018 14:53:42.000000,12.05,18.29,17.27
06/20/2018 14:56:22.000000,11.66,18.24,16.24
06/20/2018 14:59:02.000000,11.11,16.68,15.45
06/20/2018 15:01:43.000000,12.0,16.88,16.1
06/20/2018 15:05:42.000000,10.63,18.1,16.12
06/20/2018 15:08:22.000000,11.46,20.95,17.85
06/20/2018 15:11:02.000000,12.0,18.37,17.2
06/20/2018 15:13:42.000000,12.02,17.98,17.24
06/20/2018 15:17:42.000000,11.73,19.02,17.73
06/20/2018 15:20:22.000000,12.77,16.75,16.48
06/20/2018 15:23:03.000000,12.0,17.7,17.23
06/20/2018 15:25:42.000000,12.63,19.52,18.67
06/20/2018 15:29:42.000000,12.62,19.97,18.95
06/20/2018 15:32:22.000000,13.07,19.7,18.12
06/20/2018 15:35:02.000000,14.34,21.41,20.15
06/20/2018 15:37:42.000000,12.95,19.74,17.97
06/20/2018 15:41:42.000000,12.59,18.83,17.61
06/20/2018 15:44:22.000000,11.57,18.02,16.35
06/20/2018 15:47:02.000000,12.95,19.05,17.83
06/20/2018 15:49:42.000000,11.63,16.78,16.2
06/20/2018 15:53:42.000000,10.55,15.3,14.77
06/20/2018 15:56:22.000000,8.8,13.29,12.41
06/20/2018 15:59:02.000000,9.6,14.57,13.7
06/20/2018 16:01:42.000000,8.95,14.21,13.18
06/20/2018 16:05:42.000000,8.88,13.18,12.1
06/20/2018 16:08:22.000000,8.7,13.23,12.93
06/20/2018 16:11:02.000000,8.4,11.85,10.82
06/20/2018 16:13:42.000000,8.6,12.07,11.5
06/20/2018 16:17:42.000000,7.25,10.68,9.68
06/20/2018 16:20:22.000000,8.63,12.9,12.46
06/20/2018 16:25:42.000000,8.95,13.71,12.85
06/20/2018 16:29:42.000000,8.44,12.93,12.05
06/20/2018 16:32:23.000000,9.0,12.86,11.95
06/20/2018 16:35:02.000000,7.79,10.79,10.13
