"","Site","ID.x","SensorType","School","Sensor.Start.Date","Major.Roadways","Neighborhood","ID.y","DIR","LENGTH","DIST","TYPE","FACILITY_T","LANE","LANEAB","LANEBA","USE","SPEED_LIMI","AREA_TYPE","ZONE","FFSPEED","FFTIME","CAPACITY","CNTY_CODE","COUNTY","EMAT_SUBAR","EMAT_EQUIT","EMAT_DWTND","EMAT_DENVE","TOT_DYFLOW","TAZ_CNTY","ids","distances","geometry"
"43","La Casa State Site","La Casa Collo (CS5)","Lunar","","18-Jul","","",8854,0,0.121739,0.121739,1,5,1,1,1,0,30,3,1287,25,0.292174,450,"De",31,"Denver Northwest",1,0,1,9000,"Denver",2325,79.0478835600229,c(-105.00519, 39.77946)
"44","La Casa State Site","La Casa Collo_A0051F54_1.1","Clarity","","19-May","","",8854,0,0.121739,0.121739,1,5,1,1,1,0,30,3,1287,25,0.292174,450,"De",31,"Denver Northwest",1,0,1,9000,"Denver",2325,79.0478835600229,c(-105.00519, 39.77946)
"45","La Casa State Site","La Casa NCORE MET","State","","","","",8854,0,0.121739,0.121739,1,5,1,1,1,0,30,3,1287,25,0.292174,450,"De",31,"Denver Northwest",1,0,1,9000,"Denver",2325,79.0478835600229,c(-105.00519, 39.77946)
"46","I 70 Viaduct","Manna Pro","","","21-May","","",43868,1,0.193079,0.193079,1,1,3,3,NA,0,55,3,1326,55,0.210631,6000,"De",31,"Denver Globevill",1,0,1,82000,"Denver",4729,31.2878009916325,c(-104.946551, 39.779477)
"47","Manual High School","Manual HS (CS9)","Lunar","High","18-Jun","","",9209,0,0.13399,0.13399,1,5,1,1,1,0,25,3,1351,20,0.40197,450,"De",31,"Denver North Cen",1,0,1,3000,"Denver",4009,62.2651806955467,c(-104.96664, 39.75566)
"48","Melody Catalpa","Melody-Catalpa","PurpleAir","","","","",8498,0,0.438346,0.438346,1,5,1,1,1,0,30,4,1279,25,1.05203,500,"Je",59,"Denver Northwest",0,0,1,3000,"Denver",1645,32866.5606966926,c(-105.272729, 40.041818)
"49","Merrill Middle School","Merrill Middle School (CJ_002)","Lunar","Middle","21-Dec","","Cory-Merrill",5472,0,0.251475,0.251475,1,4,1,1,1,0,25,3,1622,28,0.538876,550,"De",31,"Denver Cherry Cr",0,0,1,10000,"Denver",2648,102.913439468002,c(-104.9468, 39.68838)
"50","Dr MLK Jr Early College","MLK HS (CS32)","Lunar","High","21-Aug","","Great Valley Ranch",33738,0,1.226961,1.226961,1,5,1,1,1,0,25,4,1417,25,2.944706,500,"De",31,"Denver Far North",1,0,1,0,"Denver",4568,72.7655287740323,c(-104.76074, 39.78161)
"51","Math & Science Leadership Academy","MSLA (CS34)","Lunar","Elementary","21-Aug","","Athmar Park",22741,0,0.247403,0.247403,1,5,1,1,1,0,25,3,1483,20,0.742209,450,"De",31,"Denver Southwest",1,0,1,2000,"Denver",1591,72.7013512103783,c(-105.01183, 39.70824)
"52","JFK High School","New JFK HS (AHJKH1S6)","Clarity","High","22-Jan","","Bear Valley",4146,0,0.175177,0.175177,1,5,1,1,1,0,25,4,1582,25,0.420425,500,"De",31,"Denver Far South",0,0,1,2000,"Denver",1416,172.351950946262,c(-105.06934, 39.66391)
"53","Newlon Elementary School","Newlon Elementary (CJ_001)","Lunar","Elementary","21-Dec","","Barnum",29407,1,0.419395,0.419395,1,5,1,1,NA,0,25,3,1467,20,1.258184,450,"De",31,"Denver West Cent",1,0,1,700,"Denver",1612,402.19271944645,c(-105.04654, 39.7219)
"54","National Jewish Health State Site","NJH","Airnow","","","","",7734,1,0.30464,0.30464,1,4,2,2,NA,0,30,3,1529,28,0.6528,1200,"De",31,"Denver East Cent",0,0,1,6000,"Denver",1032,34.221133100122,c(-104.93992, 39.73857)
"55","National Jewish Health State Site","NJH CS Collo (CS1)","Lunar","","18-Jul","","",7734,1,0.30464,0.30464,1,4,2,2,NA,0,30,3,1529,28,0.6528,1200,"De",31,"Denver East Cent",0,0,1,6000,"Denver",1032,34.221133100122,c(-104.93992, 39.73857)
"56","Northeast Early College","Northeast Early (CS10)","Lunar","High","18-Jun","I70","Northeast",43121,1,0.461527,0.461527,1,1,5,5,NA,0,55,4,1429,55,0.503484,10000,"De",31,"Denver Far North",0,0,1,115000,"Denver",118,135.403201591475,c(-104.85331, 39.77604)
"57","Northfield High School","Northfield HS (A88W8NWB_3.4)","Clarity","High","19-Dec","","Northfield",43247,0,0.550497,0.550497,1,3,2,2,2,0,35,4,1401,37,0.892698,1700,"De",31,"Denver Northeast",1,0,1,14000,"Denver",148,25.5599915735574,c(-104.88401, 39.79681)
"58","Northfield High School","Northfield HS New (A9C1WMD6)","Clarity","High","22-Jan","","Northfield",43247,0,0.550497,0.550497,1,3,2,2,2,0,35,4,1401,37,0.892698,1700,"De",31,"Denver Northeast",1,0,1,14000,"Denver",148,25.5599915735574,c(-104.88401, 39.79681)
"59","Palmer Elementary","Palmer Elementary (AFL5CTX2_2.1)","Clarity","Elementary","19-Aug","","Hale",7766,0,0.181212,0.181212,1,4,2,2,2,0,30,3,1528,28,0.388312,1200,"De",31,"Denver East Cent",0,0,1,15000,"Denver",1027,147.581196117691,c(-104.92559, 39.732)
"60","I 70 Viaduct","Pedestrian Bridge","","","21-May","","",43896,1,0.080477,0.080477,1,4,2,2,NA,0,25,3,1324,28,0.17245,1200,"De",31,"Denver Globevill",1,0,1,7000,"Denver",4739,56.9818587668534,c(-104.959937, 39.781387)
"61","Prep Academy","Prep Academy (CS17)","Lunar","High","19-Jun","","",9167,0,0.258461,0.258461,1,4,2,2,2,0,30,3,1352,28,0.553846,1200,"De",31,"Denver North Cen",0,0,1,21000,"Denver",3621,176.131608444677,c(-104.95769, 39.75656)
"62","I 70 Viaduct","Purina","","","21-May","","",42678,1,0.046094,0.046094,1,4,2,2,NA,0,30,3,1328,28,0.098772,1200,"De",31,"Denver Globevill",1,0,1,7000,"Denver",3367,15.9341377277598,c(-104.959556, 39.779546)
"63","Sabin World Elementary School","Sabin (CS11)","Lunar","Elementary","18-Aug","","Southwest",4176,0,0.270663,0.270663,1,5,1,1,1,0,30,4,1590,25,0.649591,500,"De",31,"Denver Far South",0,0,1,5000,"Denver",1570,142.577302217645,c(-105.04677, 39.65937)
"64","Swansea GRIMM","SAMS MET","State","","","","",42519,1,0.423219,0.423219,1,1,4,4,NA,0,55,3,1324,55,0.461693,8000,"De",31,"Denver Globevill",1,0,1,1e+05,"Denver",3373,80.2651282759305,c(-104.95537, 39.78093)
"65","South High School","South High (CS18)","Lunar","High","19-Jun","","Washington Park",5388,0,0.183593,0.183593,1,4,1,1,1,0,30,3,1619,28,0.393413,550,"De",31,"Denver Cherry Cr",0,0,1,14000,"Denver",2812,90.510866965211,c(-104.96601, 39.69216)
"66","I 70 Viaduct","Steele & I70","","","21-May","","",30043,1,0.024954,0.024954,1,5,2,2,NA,0,25,3,1326,20,0.074863,1000,"De",31,"Denver Globevill",1,0,1,3000,"Denver",3213,12.4604190141499,c(-104.949318, 39.779399)
"67","Kepner Campus STRIVE Prep, Kepner, Rocky Mountain Prep SW","STRIVE Prep Kepner (AWCJB9CN_2.2)","Clarity","Middle","19-Aug","","Mar Lee",5056,0,0.248872,0.248872,1,5,1,1,1,0,25,3,1490,20,0.746615,450,"De",31,"Denver Southwest",1,0,1,2000,"Denver",1486,34.4343009534391,c(-105.02938, 39.69954)
"68","STRIVE Prep SMART & Westwood","STRIVE Prep Smart (CS35)","Lunar","HIgh","21-Aug","","Mar Lee",5057,0,0.123878,0.123878,1,5,1,1,1,0,25,3,1564,20,0.371635,450,"De",31,"Denver Southwest",1,0,1,5000,"Denver",1469,74.2349466082872,c(-105.02891, 39.69532)
"69","STRIVE Prep SMART & Westwood","STRIVE-Prep New (AD6C1FJJ)","Clarity","HIgh","22-Jan","","",5057,0,0.123878,0.123878,1,5,1,1,1,0,25,3,1564,20,0.371635,450,"De",31,"Denver Southwest",1,0,1,5000,"Denver",1469,74.2349466082872,c(-105.02891, 39.69532)
"70","Swansea Elementary School","Swansea Elementary (CS7)","Lunar","Elementary","18-Jun","I70","Swansea",42519,1,0.423219,0.423219,1,1,4,4,NA,0,55,3,1324,55,0.461693,8000,"De",31,"Denver Globevill",1,0,1,1e+05,"Denver",3373,78.0521915670184,c(-104.95536, 39.78091)
"71","The GrowHaus","The GrowHaus","PurpleAir","","","","",9242,0,0.182436,0.182436,1,4,2,2,2,0,30,3,1337,28,0.390935,1200,"De",31,"Denver North Cen",1,0,1,17000,"Denver",3403,42.3345708806538,c(-104.9592, 39.77121)
"72","University Park Elementary","University Park Elem (CS26)","Lunar","Elementary","19-Oct","","University Park",5485,0,0.106294,0.106294,1,5,1,1,1,0,25,3,1630,20,0.318882,450,"De",31,"Denver South Cen",0,0,1,2000,"Denver",2774,53.6273815603562,c(-104.95047, 39.67436)
"73","University Prep Steele St","University Prep-Steele (CS20)","Lunar","","19-Jun","","Clayton",41863,0,0.183663,0.183663,1,5,1,1,1,0,25,3,1339,20,0.55099,450,"De",31,"Denver North Cen",1,0,1,3000,"Denver",3260,53.5034363781375,c(-104.94926, 39.76891)
"74","Welby","Welby","Airnow","","","","",40854,1,4.352905,4.352905,1,9,2,2,NA,42,55,4,1319,55,4.748624,3200,"Ad",1,"Denver Globevill",1,0,1,13000,"Denver",1229,3267.3876148632,c(-104.94984, 39.838199)
"75","Fairview Elementary School","","","Elementary","","","Sun Valley",6494,0,0.124605,0.124605,1,5,1,1,1,0,25,3,1461,20,0.373815,450,"De",31,"Denver West Cent",1,0,1,1000,"Denver",2147,27.3158838894881,c(-105.02146, 39.73409)
"76","McAuliffe Manual Middle School","","","Middle","","","",9209,0,0.13399,0.13399,1,5,1,1,1,0,25,3,1351,20,0.40197,450,"De",31,"Denver North Cen",1,0,1,3000,"Denver",4009,50.9892162340375,c(-104.96651, 39.75578)
"77","Sandra Todd-Williams Academy","Sandra Todd-Williams Academy (CJ_004)","Lunar","","","","",30217,0,0.624444,0.624444,1,5,1,1,1,0,25,4,1413,25,1.498666,500,"De",31,"Denver Far North",1,0,1,0,"Denver",4564,64.377507635319,c(-104.76536, 39.78662)
"78","Johnson Habitat Park","Johnson Habitat Park (AXXKFSNJ)","Clarity","","","","",43269,1,0.093449,0.093449,1,3,2,2,NA,0,35,3,1484,34,0.164909,1600,"De",31,"Denver Southwest",1,0,1,13000,"Denver",1279,92.9920673305451,c(-104.99802, 39.70506)
"79","La Casa State Site","La Casa Collo (A4KRV265)","Clarity","","","","",8854,0,0.121739,0.121739,1,5,1,1,1,0,30,3,1287,25,0.292174,450,"De",31,"Denver Northwest",1,0,1,9000,"Denver",2325,79.0478835600229,c(-105.00519, 39.77946)
"80","JFK High School","JFK HS (CS_Jaspe_005)","Lunar","","22-Jun","","Bear Valley",4144,0,0.139706,0.139706,1,5,1,1,1,0,25,4,1583,25,0.335294,500,"De",31,"Denver Far South",1,0,1,2000,"Denver",1415,157.14593807457,c(-105.06914, 39.66185)
