,model_name,EVAL_SITE,CORR_SITE,Correction_Applied,COR,RMSE,BIAS
184,National Jewish Health State Site I-25 Globeville State Site rft pm10_all,National Jewish Health State Site.csv,I-25 Globeville State Site rft pm10_all,Yes,0.908997074,2.980110414,-0.583428866
185,Swansea GRIMM I-25 Globeville State Site rft pm10_all,Swansea GRIMM.csv,I-25 Globeville State Site rft pm10_all,Yes,0.814804211,4.388006702,-0.411968155
186,CAMP State Site I-25 Globeville State Site rft pm10,CAMP State Site.csv,I-25 Globeville State Site rft pm10,Yes,0.654699286,5.817880254,0.950043245
187,I-25 Denver State Site I-25 Globeville State Site rft pm10,I-25 Denver State Site.csv,I-25 Globeville State Site rft pm10,Yes,0.82222133,4.31160143,-1.719821295
188,La Casa State Site I-25 Globeville State Site rft pm10,La Casa State Site.csv,I-25 Globeville State Site rft pm10,Yes,0.912995916,3.136913433,-0.937072873
189,National Jewish Health State Site I-25 Globeville State Site rft pm10,National Jewish Health State Site.csv,I-25 Globeville State Site rft pm10,Yes,0.917674928,2.841150059,-0.594609418
190,Swansea GRIMM I-25 Globeville State Site rft pm10,Swansea GRIMM.csv,I-25 Globeville State Site rft pm10,Yes,0.80248415,4.520364253,-0.435526449
191,CAMP State Site I-25 Globeville State Site rft smoke,CAMP State Site.csv,I-25 Globeville State Site rft smoke,Yes,0.667986922,5.613683002,1.175292239
192,I-25 Denver State Site I-25 Globeville State Site rft smoke,I-25 Denver State Site.csv,I-25 Globeville State Site rft smoke,Yes,0.808665521,4.636578986,-2.068677965
193,La Casa State Site I-25 Globeville State Site rft smoke,La Casa State Site.csv,I-25 Globeville State Site rft smoke,Yes,0.909342305,3.187864256,-0.933571907
194,National Jewish Health State Site I-25 Globeville State Site rft smoke,National Jewish Health State Site.csv,I-25 Globeville State Site rft smoke,Yes,0.906487381,3.075878291,-0.780869187
195,Swansea GRIMM I-25 Globeville State Site rft smoke,Swansea GRIMM.csv,I-25 Globeville State Site rft smoke,Yes,0.813013195,4.415848418,-0.565844421
196,CAMP State Site La Casa State Site lm age,CAMP State Site.csv,La Casa State Site lm age,Yes,0.689640252,5.440986276,1.461100029
197,I-25 Denver State Site La Casa State Site lm age,I-25 Denver State Site.csv,La Casa State Site lm age,Yes,0.809680844,3.978845098,-0.670880281
198,I-25 Globeville State Site La Casa State Site lm age,I-25 Globeville State Site.csv,La Casa State Site lm age,Yes,0.83143525,4.685837738,1.074586851
199,National Jewish Health State Site La Casa State Site lm age,National Jewish Health State Site.csv,La Casa State Site lm age,Yes,0.933822187,2.505764927,0.179449774
200,Swansea GRIMM La Casa State Site lm age,Swansea GRIMM.csv,La Casa State Site lm age,Yes,0.818034022,4.314855155,0.339297488
201,CAMP State Site La Casa State Site lm all,CAMP State Site.csv,La Casa State Site lm all,Yes,0.690871716,5.460578324,1.448182434
202,I-25 Denver State Site La Casa State Site lm all,I-25 Denver State Site.csv,La Casa State Site lm all,Yes,0.80883557,3.993458987,-0.651507553
203,I-25 Globeville State Site La Casa State Site lm all,I-25 Globeville State Site.csv,La Casa State Site lm all,Yes,0.823783701,4.788644012,1.118757514
204,National Jewish Health State Site La Casa State Site lm all,National Jewish Health State Site.csv,La Casa State Site lm all,Yes,0.937228438,2.443677138,0.202224797
205,Swansea GRIMM La Casa State Site lm all,Swansea GRIMM.csv,La Casa State Site lm all,Yes,0.819167472,4.309542959,0.416674542
206,CAMP State Site La Casa State Site lm met,CAMP State Site.csv,La Casa State Site lm met,Yes,0.702031401,5.350381777,1.530893311
207,I-25 Denver State Site La Casa State Site lm met,I-25 Denver State Site.csv,La Casa State Site lm met,Yes,0.808096354,4.041070613,-0.928939599
208,I-25 Globeville State Site La Casa State Site lm met,I-25 Globeville State Site.csv,La Casa State Site lm met,Yes,0.835224628,4.628005489,1.022103978
209,National Jewish Health State Site La Casa State Site lm met,National Jewish Health State Site.csv,La Casa State Site lm met,Yes,0.933486474,2.513958849,0.150215585
210,Swansea GRIMM La Casa State Site lm met,Swansea GRIMM.csv,La Casa State Site lm met,Yes,0.813187926,4.380170905,0.486746507
211,CAMP State Site La Casa State Site lm pm_raw,CAMP State Site.csv,La Casa State Site lm pm_raw,Yes,0.68068056,5.712339149,2.149122404
212,I-25 Denver State Site La Casa State Site lm pm_raw,I-25 Denver State Site.csv,La Casa State Site lm pm_raw,Yes,0.807309081,3.939133441,-0.076044773
213,I-25 Globeville State Site La Casa State Site lm pm_raw,I-25 Globeville State Site.csv,La Casa State Site lm pm_raw,Yes,0.835577819,4.653298874,1.147107384
214,National Jewish Health State Site La Casa State Site lm pm_raw,National Jewish Health State Site.csv,La Casa State Site lm pm_raw,Yes,0.922491018,2.734474581,0.463006073
215,Swansea GRIMM La Casa State Site lm pm_raw,Swansea GRIMM.csv,La Casa State Site lm pm_raw,Yes,0.804958777,4.514112255,0.830546586
216,CAMP State Site La Casa State Site lm pm10_all,CAMP State Site.csv,La Casa State Site lm pm10_all,Yes,0.674077188,5.800136085,2.088981993
217,I-25 Denver State Site La Casa State Site lm pm10_all,I-25 Denver State Site.csv,La Casa State Site lm pm10_all,Yes,0.806994509,3.981715086,-0.417595716
218,I-25 Globeville State Site La Casa State Site lm pm10_all,I-25 Globeville State Site.csv,La Casa State Site lm pm10_all,Yes,0.826379211,4.784471442,1.218314457
219,National Jewish Health State Site La Casa State Site lm pm10_all,National Jewish Health State Site.csv,La Casa State Site lm pm10_all,Yes,0.9388541,2.422595542,0.274926821
220,Swansea GRIMM La Casa State Site lm pm10_all,Swansea GRIMM.csv,La Casa State Site lm pm10_all,Yes,0.825155783,4.293910792,0.768824356
221,CAMP State Site La Casa State Site lm pm10,CAMP State Site.csv,La Casa State Site lm pm10,Yes,0.675275027,5.837381763,2.330711266
222,I-25 Denver State Site La Casa State Site lm pm10,I-25 Denver State Site.csv,La Casa State Site lm pm10,Yes,0.805231929,4.005943207,-0.56580756
223,I-25 Globeville State Site La Casa State Site lm pm10,I-25 Globeville State Site.csv,La Casa State Site lm pm10,Yes,0.83489283,4.666137046,1.162620897
224,National Jewish Health State Site La Casa State Site lm pm10,National Jewish Health State Site.csv,La Casa State Site lm pm10,Yes,0.935461538,2.487629556,0.249840848
225,Swansea GRIMM La Casa State Site lm pm10,Swansea GRIMM.csv,La Casa State Site lm pm10,Yes,0.822787558,4.345226876,0.901833861
226,CAMP State Site La Casa State Site lm smoke,CAMP State Site.csv,La Casa State Site lm smoke,Yes,0.699244339,5.395540459,1.502123973
227,I-25 Denver State Site La Casa State Site lm smoke,I-25 Denver State Site.csv,La Casa State Site lm smoke,Yes,0.807081887,4.045047009,-0.852200228
228,I-25 Globeville State Site La Casa State Site lm smoke,I-25 Globeville State Site.csv,La Casa State Site lm smoke,Yes,0.826406976,4.747417225,1.079705683
229,National Jewish Health State Site La Casa State Site lm smoke,National Jewish Health State Site.csv,La Casa State Site lm smoke,Yes,0.936970788,2.449370873,0.180391809
230,Swansea GRIMM La Casa State Site lm smoke,Swansea GRIMM.csv,La Casa State Site lm smoke,Yes,0.814876713,4.367911604,0.535223913
231,CAMP State Site La Casa State Site rft age,CAMP State Site.csv,La Casa State Site rft age,Yes,0.682557864,5.657602647,1.582894686
232,I-25 Denver State Site La Casa State Site rft age,I-25 Denver State Site.csv,La Casa State Site rft age,Yes,0.812622149,3.941325307,-0.508340542
233,I-25 Globeville State Site La Casa State Site rft age,I-25 Globeville State Site.csv,La Casa State Site rft age,Yes,0.813867398,4.876170577,0.997928147
234,National Jewish Health State Site La Casa State Site rft age,National Jewish Health State Site.csv,La Casa State Site rft age,Yes,0.962299719,1.913154449,0.124751023
235,Swansea GRIMM La Casa State Site rft age,Swansea GRIMM.csv,La Casa State Site rft age,Yes,0.830501197,4.182223553,0.34548712
236,CAMP State Site La Casa State Site rft all,CAMP State Site.csv,La Casa State Site rft all,Yes,0.691567419,5.646277539,1.643729855
237,I-25 Denver State Site La Casa State Site rft all,I-25 Denver State Site.csv,La Casa State Site rft all,Yes,0.817853649,3.963586529,-0.692469624
238,I-25 Globeville State Site La Casa State Site rft all,I-25 Globeville State Site.csv,La Casa State Site rft all,Yes,0.818851224,4.820902968,0.971149811
239,National Jewish Health State Site La Casa State Site rft all,National Jewish Health State Site.csv,La Casa State Site rft all,Yes,0.958769071,1.984161156,0.091640622
240,Swansea GRIMM La Casa State Site rft all,Swansea GRIMM.csv,La Casa State Site rft all,Yes,0.827778192,4.20556256,0.290813647
241,CAMP State Site La Casa State Site rft met,CAMP State Site.csv,La Casa State Site rft met,Yes,0.678416209,5.77748627,1.929013959
242,I-25 Denver State Site La Casa State Site rft met,I-25 Denver State Site.csv,La Casa State Site rft met,Yes,0.818584003,3.995121692,-0.918885432
243,I-25 Globeville State Site La Casa State Site rft met,I-25 Globeville State Site.csv,La Casa State Site rft met,Yes,0.821781767,4.790424074,0.992388442
244,National Jewish Health State Site La Casa State Site rft met,National Jewish Health State Site.csv,La Casa State Site rft met,Yes,0.958094499,2.011505498,0.13644193
245,Swansea GRIMM La Casa State Site rft met,Swansea GRIMM.csv,La Casa State Site rft met,Yes,0.818822909,4.318233462,0.461435077
246,CAMP State Site La Casa State Site rft pm10_all,CAMP State Site.csv,La Casa State Site rft pm10_all,Yes,0.69935538,5.583619007,1.740886103
247,I-25 Denver State Site La Casa State Site rft pm10_all,I-25 Denver State Site.csv,La Casa State Site rft pm10_all,Yes,0.817115026,3.94335842,-0.65360672
248,I-25 Globeville State Site La Casa State Site rft pm10_all,I-25 Globeville State Site.csv,La Casa State Site rft pm10_all,Yes,0.818663046,4.826708355,0.965748921
249,National Jewish Health State Site La Casa State Site rft pm10_all,National Jewish Health State Site.csv,La Casa State Site rft pm10_all,Yes,0.961329194,1.93229858,0.194285433
250,Swansea GRIMM La Casa State Site rft pm10_all,Swansea GRIMM.csv,La Casa State Site rft pm10_all,Yes,0.831802498,4.164199982,0.332900182
251,CAMP State Site La Casa State Site rft pm10,CAMP State Site.csv,La Casa State Site rft pm10,Yes,0.691626419,5.667190794,2.088845139
252,I-25 Denver State Site La Casa State Site rft pm10,I-25 Denver State Site.csv,La Casa State Site rft pm10,Yes,0.81902111,3.949534023,-0.760226487
253,I-25 Globeville State Site La Casa State Site rft pm10,I-25 Globeville State Site.csv,La Casa State Site rft pm10,Yes,0.823205341,4.768183433,0.962512562
254,National Jewish Health State Site La Casa State Site rft pm10,National Jewish Health State Site.csv,La Casa State Site rft pm10,Yes,0.961634892,1.948413417,0.256314295
255,Swansea GRIMM La Casa State Site rft pm10,Swansea GRIMM.csv,La Casa State Site rft pm10,Yes,0.829616776,4.221970838,0.58622756
256,CAMP State Site La Casa State Site rft smoke,CAMP State Site.csv,La Casa State Site rft smoke,Yes,0.689693764,5.660735184,1.847009512
257,I-25 Denver State Site La Casa State Site rft smoke,I-25 Denver State Site.csv,La Casa State Site rft smoke,Yes,0.816124741,3.974786145,-0.838341482
258,I-25 Globeville State Site La Casa State Site rft smoke,I-25 Globeville State Site.csv,La Casa State Site rft smoke,Yes,0.817703726,4.841088828,1.039840771
259,National Jewish Health State Site La Casa State Site rft smoke,National Jewish Health State Site.csv,La Casa State Site rft smoke,Yes,0.957365697,2.040409396,0.167413314
260,Swansea GRIMM La Casa State Site rft smoke,Swansea GRIMM.csv,La Casa State Site rft smoke,Yes,0.821101329,4.304275345,0.515819165
261,CAMP State Site National Jewish Health State Site lm age,CAMP State Site.csv,National Jewish Health State Site lm age,Yes,0.697759899,5.372283676,1.353356469
262,I-25 Denver State Site National Jewish Health State Site lm age,I-25 Denver State Site.csv,National Jewish Health State Site lm age,Yes,0.81047091,4.103420513,-1.11990102
263,I-25 Globeville State Site National Jewish Health State Site lm age,I-25 Globeville State Site.csv,National Jewish Health State Site lm age,Yes,0.832760815,4.651638203,0.95144392
264,La Casa State Site National Jewish Health State Site lm age,La Casa State Site.csv,National Jewish Health State Site lm age,Yes,0.931576634,2.667106895,-0.080592958
265,Swansea GRIMM National Jewish Health State Site lm age,Swansea GRIMM.csv,National Jewish Health State Site lm age,Yes,0.817778961,4.309984951,0.190837119
266,CAMP State Site National Jewish Health State Site lm all,CAMP State Site.csv,National Jewish Health State Site lm all,Yes,0.700262888,5.368588318,1.319006986
267,I-25 Denver State Site National Jewish Health State Site lm all,I-25 Denver State Site.csv,National Jewish Health State Site lm all,Yes,0.81157835,4.101053213,-1.122036517
268,I-25 Globeville State Site National Jewish Health State Site lm all,I-25 Globeville State Site.csv,National Jewish Health State Site lm all,Yes,0.828472838,4.70989109,0.963196944
269,La Casa State Site National Jewish Health State Site lm all,La Casa State Site.csv,National Jewish Health State Site lm all,Yes,0.939083489,2.522777725,-0.099260997
270,Swansea GRIMM National Jewish Health State Site lm all,Swansea GRIMM.csv,National Jewish Health State Site lm all,Yes,0.820019829,4.287666213,0.227221581
271,CAMP State Site National Jewish Health State Site lm met,CAMP State Site.csv,National Jewish Health State Site lm met,Yes,0.704739895,5.323407024,1.411596829
272,I-25 Denver State Site National Jewish Health State Site lm met,I-25 Denver State Site.csv,National Jewish Health State Site lm met,Yes,0.808713315,4.155687397,-1.24363499
273,I-25 Globeville State Site National Jewish Health State Site lm met,I-25 Globeville State Site.csv,National Jewish Health State Site lm met,Yes,0.834857313,4.614783219,0.901191386
274,La Casa State Site National Jewish Health State Site lm met,La Casa State Site.csv,National Jewish Health State Site lm met,Yes,0.929840149,2.702601611,-0.087771756
275,Swansea GRIMM National Jewish Health State Site lm met,Swansea GRIMM.csv,National Jewish Health State Site lm met,Yes,0.813513312,4.362716045,0.315702497
276,CAMP State Site National Jewish Health State Site lm pm_raw,CAMP State Site.csv,National Jewish Health State Site lm pm_raw,Yes,0.68068056,5.588470772,1.72024765
277,I-25 Denver State Site National Jewish Health State Site lm pm_raw,I-25 Denver State Site.csv,National Jewish Health State Site lm pm_raw,Yes,0.807309081,4.00117352,-0.547811075
278,I-25 Globeville State Site National Jewish Health State Site lm pm_raw,I-25 Globeville State Site.csv,National Jewish Health State Site lm pm_raw,Yes,0.835577819,4.557058567,0.644728383
279,La Casa State Site National Jewish Health State Site lm pm_raw,La Casa State Site.csv,National Jewish Health State Site lm pm_raw,Yes,0.920725309,2.895513017,-0.484388062
280,Swansea GRIMM National Jewish Health State Site lm pm_raw,Swansea GRIMM.csv,National Jewish Health State Site lm pm_raw,Yes,0.804958777,4.453451905,0.362518542
281,CAMP State Site National Jewish Health State Site lm pm10_all,CAMP State Site.csv,National Jewish Health State Site lm pm10_all,Yes,0.685029342,5.642333984,1.820470075
282,I-25 Denver State Site National Jewish Health State Site lm pm10_all,I-25 Denver State Site.csv,National Jewish Health State Site lm pm10_all,Yes,0.810137357,4.069290145,-0.931641855
283,I-25 Globeville State Site National Jewish Health State Site lm pm10_all,I-25 Globeville State Site.csv,National Jewish Health State Site lm pm10_all,Yes,0.830568213,4.688667663,0.964233041
284,La Casa State Site National Jewish Health State Site lm pm10_all,La Casa State Site.csv,National Jewish Health State Site lm pm10_all,Yes,0.941200211,2.484115299,-0.186796344
285,Swansea GRIMM National Jewish Health State Site lm pm10_all,Swansea GRIMM.csv,National Jewish Health State Site lm pm10_all,Yes,0.82591506,4.244737971,0.475939052
286,CAMP State Site National Jewish Health State Site lm pm10,CAMP State Site.csv,National Jewish Health State Site lm pm10,Yes,0.684077293,5.676459299,1.992049043
287,I-25 Denver State Site National Jewish Health State Site lm pm10,I-25 Denver State Site.csv,National Jewish Health State Site lm pm10,Yes,0.807247886,4.104322146,-0.986170327
288,I-25 Globeville State Site National Jewish Health State Site lm pm10,I-25 Globeville State Site.csv,National Jewish Health State Site lm pm10,Yes,0.835456229,4.615888829,0.915231625
289,La Casa State Site National Jewish Health State Site lm pm10,La Casa State Site.csv,National Jewish Health State Site lm pm10,Yes,0.933237543,2.64299938,-0.192187571
290,Swansea GRIMM National Jewish Health State Site lm pm10,Swansea GRIMM.csv,National Jewish Health State Site lm pm10,Yes,0.822420618,4.295930033,0.580518641
291,CAMP State Site National Jewish Health State Site lm smoke,CAMP State Site.csv,National Jewish Health State Site lm smoke,Yes,0.705380015,5.331597523,1.364146407
292,I-25 Denver State Site National Jewish Health State Site lm smoke,I-25 Denver State Site.csv,National Jewish Health State Site lm smoke,Yes,0.810076143,4.144081143,-1.22051146
293,I-25 Globeville State Site National Jewish Health State Site lm smoke,I-25 Globeville State Site.csv,National Jewish Health State Site lm smoke,Yes,0.830083524,4.681462749,0.923635507
294,La Casa State Site National Jewish Health State Site lm smoke,La Casa State Site.csv,National Jewish Health State Site lm smoke,Yes,0.938011626,2.546634964,-0.105609908
295,Swansea GRIMM National Jewish Health State Site lm smoke,Swansea GRIMM.csv,National Jewish Health State Site lm smoke,Yes,0.816541088,4.331578114,0.327770164
296,CAMP State Site National Jewish Health State Site rft age,CAMP State Site.csv,National Jewish Health State Site rft age,Yes,0.671968586,5.7585423,1.493371651
297,I-25 Denver State Site National Jewish Health State Site rft age,I-25 Denver State Site.csv,National Jewish Health State Site rft age,Yes,0.808473375,4.049175563,-0.893391303
298,I-25 Globeville State Site National Jewish Health State Site rft age,I-25 Globeville State Site.csv,National Jewish Health State Site rft age,Yes,0.800455083,5.033444524,0.936439887
299,La Casa State Site National Jewish Health State Site rft age,La Casa State Site.csv,National Jewish Health State Site rft age,Yes,0.965482779,1.931981716,-0.301910401
300,Swansea GRIMM National Jewish Health State Site rft age,Swansea GRIMM.csv,National Jewish Health State Site rft age,Yes,0.829659019,4.177052254,0.078937663
301,CAMP State Site National Jewish Health State Site rft all,CAMP State Site.csv,National Jewish Health State Site rft all,Yes,0.682125222,5.737176658,1.486867986
302,I-25 Denver State Site National Jewish Health State Site rft all,I-25 Denver State Site.csv,National Jewish Health State Site rft all,Yes,0.810640286,4.082126985,-0.95624072
303,I-25 Globeville State Site National Jewish Health State Site rft all,I-25 Globeville State Site.csv,National Jewish Health State Site rft all,Yes,0.799983749,5.056234389,0.921399089
304,La Casa State Site National Jewish Health State Site rft all,La Casa State Site.csv,National Jewish Health State Site rft all,Yes,0.966965077,1.900882406,-0.304683019
305,Swansea GRIMM National Jewish Health State Site rft all,Swansea GRIMM.csv,National Jewish Health State Site rft all,Yes,0.830100113,4.17452395,0.066377081
306,CAMP State Site National Jewish Health State Site rft met,CAMP State Site.csv,National Jewish Health State Site rft met,Yes,0.67450474,5.81100503,1.707543846
307,I-25 Denver State Site National Jewish Health State Site rft met,I-25 Denver State Site.csv,National Jewish Health State Site rft met,Yes,0.816527841,4.135727199,-1.110313447
308,I-25 Globeville State Site National Jewish Health State Site rft met,I-25 Globeville State Site.csv,National Jewish Health State Site rft met,Yes,0.814314045,4.880026643,0.795757766
309,La Casa State Site National Jewish Health State Site rft met,La Casa State Site.csv,National Jewish Health State Site rft met,Yes,0.959239119,2.085930681,-0.143043997
310,Swansea GRIMM National Jewish Health State Site rft met,Swansea GRIMM.csv,National Jewish Health State Site rft met,Yes,0.815481455,4.341263706,0.302965485
311,CAMP State Site National Jewish Health State Site rft pm10_all,CAMP State Site.csv,National Jewish Health State Site rft pm10_all,Yes,0.704831032,5.463709851,1.444455177
312,I-25 Denver State Site National Jewish Health State Site rft pm10_all,I-25 Denver State Site.csv,National Jewish Health State Site rft pm10_all,Yes,0.813957314,4.064364043,-1.023688513
313,I-25 Globeville State Site National Jewish Health State Site rft pm10_all,I-25 Globeville State Site.csv,National Jewish Health State Site rft pm10_all,Yes,0.807328275,4.948101244,0.761417221
314,La Casa State Site National Jewish Health State Site rft pm10_all,La Casa State Site.csv,National Jewish Health State Site rft pm10_all,Yes,0.969176541,1.856581861,-0.413021855
315,Swansea GRIMM National Jewish Health State Site rft pm10_all,Swansea GRIMM.csv,National Jewish Health State Site rft pm10_all,Yes,0.830847689,4.16719491,-0.04992711
316,CAMP State Site National Jewish Health State Site rft pm10,CAMP State Site.csv,National Jewish Health State Site rft pm10,Yes,0.707888223,5.326183013,1.301384169
317,I-25 Denver State Site National Jewish Health State Site rft pm10,I-25 Denver State Site.csv,National Jewish Health State Site rft pm10,Yes,0.820923762,4.050294866,-1.128236752
318,I-25 Globeville State Site National Jewish Health State Site rft pm10,I-25 Globeville State Site.csv,National Jewish Health State Site rft pm10,Yes,0.821471962,4.742937806,0.642359658
319,La Casa State Site National Jewish Health State Site rft pm10,La Casa State Site.csv,National Jewish Health State Site rft pm10,Yes,0.962216018,2.005637694,-0.259575303
320,Swansea GRIMM National Jewish Health State Site rft pm10,Swansea GRIMM.csv,National Jewish Health State Site rft pm10,Yes,0.818865917,4.29592846,0.178925598
321,CAMP State Site National Jewish Health State Site rft smoke,CAMP State Site.csv,National Jewish Health State Site rft smoke,Yes,0.681679954,5.721310739,1.662129464
322,I-25 Denver State Site National Jewish Health State Site rft smoke,I-25 Denver State Site.csv,National Jewish Health State Site rft smoke,Yes,0.816250514,4.094390468,-1.0485854
323,I-25 Globeville State Site National Jewish Health State Site rft smoke,I-25 Globeville State Site.csv,National Jewish Health State Site rft smoke,Yes,0.812131546,4.886429346,0.835335897
324,La Casa State Site National Jewish Health State Site rft smoke,La Casa State Site.csv,National Jewish Health State Site rft smoke,Yes,0.962933936,1.976153966,-0.138995114
325,Swansea GRIMM National Jewish Health State Site rft smoke,Swansea GRIMM.csv,National Jewish Health State Site rft smoke,Yes,0.818389472,4.309459887,0.318179657
326,CAMP State Site Swansea GRIMM lm age,CAMP State Site.csv,Swansea GRIMM lm age,Yes,0.682092841,5.497875099,1.39230918
327,I-25 Denver State Site Swansea GRIMM lm age,I-25 Denver State Site.csv,Swansea GRIMM lm age,Yes,0.813076335,4.014381265,-0.9445612
328,I-25 Globeville State Site Swansea GRIMM lm age,I-25 Globeville State Site.csv,Swansea GRIMM lm age,Yes,0.829983565,4.718236531,1.128432512
329,La Casa State Site Swansea GRIMM lm age,La Casa State Site.csv,Swansea GRIMM lm age,Yes,0.928703708,2.708240539,-0.031011567
330,National Jewish Health State Site Swansea GRIMM lm age,National Jewish Health State Site.csv,Swansea GRIMM lm age,Yes,0.931258971,2.54082443,-0.006513354
331,CAMP State Site Swansea GRIMM lm all,CAMP State Site.csv,Swansea GRIMM lm all,Yes,0.685348305,5.478964589,1.329741102
332,I-25 Denver State Site Swansea GRIMM lm all,I-25 Denver State Site.csv,Swansea GRIMM lm all,Yes,0.814707584,4.008160054,-0.960473117
333,I-25 Globeville State Site Swansea GRIMM lm all,I-25 Globeville State Site.csv,Swansea GRIMM lm all,Yes,0.826426034,4.760022662,1.116043081
334,La Casa State Site Swansea GRIMM lm all,La Casa State Site.csv,Swansea GRIMM lm all,Yes,0.935410376,2.582980669,-0.06444215
335,National Jewish Health State Site Swansea GRIMM lm all,National Jewish Health State Site.csv,Swansea GRIMM lm all,Yes,0.935214116,2.469087025,-0.025772
336,CAMP State Site Swansea GRIMM lm met,CAMP State Site.csv,Swansea GRIMM lm met,Yes,0.704354282,5.249385849,1.174031608
337,I-25 Denver State Site Swansea GRIMM lm met,I-25 Denver State Site.csv,Swansea GRIMM lm met,Yes,0.810612207,4.21511184,-1.541309862
338,I-25 Globeville State Site Swansea GRIMM lm met,I-25 Globeville State Site.csv,Swansea GRIMM lm met,Yes,0.83671773,4.543604994,0.657195683
339,La Casa State Site Swansea GRIMM lm met,La Casa State Site.csv,Swansea GRIMM lm met,Yes,0.929452836,2.721760956,-0.379191828
340,National Jewish Health State Site Swansea GRIMM lm met,National Jewish Health State Site.csv,Swansea GRIMM lm met,Yes,0.933251254,2.527060001,-0.318346065
341,CAMP State Site Swansea GRIMM lm pm_raw,CAMP State Site.csv,Swansea GRIMM lm pm_raw,Yes,0.68068056,5.462331969,1.328395375
342,I-25 Denver State Site Swansea GRIMM lm pm_raw,I-25 Denver State Site.csv,Swansea GRIMM lm pm_raw,Yes,0.807309081,4.047112472,-0.907528906
343,I-25 Globeville State Site Swansea GRIMM lm pm_raw,I-25 Globeville State Site.csv,Swansea GRIMM lm pm_raw,Yes,0.835577819,4.519799975,0.307945655
344,La Casa State Site Swansea GRIMM lm pm_raw,La Casa State Site.csv,Swansea GRIMM lm pm_raw,Yes,0.920725309,2.967589907,-0.832799036
345,National Jewish Health State Site Swansea GRIMM lm pm_raw,National Jewish Health State Site.csv,Swansea GRIMM lm pm_raw,Yes,0.922491018,2.717487016,-0.366490237
346,CAMP State Site Swansea GRIMM lm pm10_all,CAMP State Site.csv,Swansea GRIMM lm pm10_all,Yes,0.666434585,5.725285303,1.681875483
347,I-25 Denver State Site Swansea GRIMM lm pm10_all,I-25 Denver State Site.csv,Swansea GRIMM lm pm10_all,Yes,0.813775178,4.057630309,-1.117186779
348,I-25 Globeville State Site Swansea GRIMM lm pm10_all,I-25 Globeville State Site.csv,Swansea GRIMM lm pm10_all,Yes,0.833793074,4.58737701,0.679456997
349,La Casa State Site Swansea GRIMM lm pm10_all,La Casa State Site.csv,Swansea GRIMM lm pm10_all,Yes,0.938036416,2.602834858,-0.612324999
350,National Jewish Health State Site Swansea GRIMM lm pm10_all,National Jewish Health State Site.csv,Swansea GRIMM lm pm10_all,Yes,0.936583214,2.480607579,-0.416095262
351,CAMP State Site Swansea GRIMM lm pm10,CAMP State Site.csv,Swansea GRIMM lm pm10,Yes,0.667814382,5.69216023,1.719574261
352,I-25 Denver State Site Swansea GRIMM lm pm10,I-25 Denver State Site.csv,Swansea GRIMM lm pm10,Yes,0.808898836,4.209690047,-1.468503057
353,I-25 Globeville State Site Swansea GRIMM lm pm10,I-25 Globeville State Site.csv,Swansea GRIMM lm pm10,Yes,0.838885472,4.482004108,0.311213177
354,La Casa State Site Swansea GRIMM lm pm10,La Casa State Site.csv,Swansea GRIMM lm pm10,Yes,0.931538503,2.813426336,-0.929378048
355,National Jewish Health State Site Swansea GRIMM lm pm10,National Jewish Health State Site.csv,Swansea GRIMM lm pm10,Yes,0.932923314,2.603715507,-0.679906818
356,CAMP State Site Swansea GRIMM lm smoke,CAMP State Site.csv,Swansea GRIMM lm smoke,Yes,0.705802335,5.243427927,1.113633505
357,I-25 Denver State Site Swansea GRIMM lm smoke,I-25 Denver State Site.csv,Swansea GRIMM lm smoke,Yes,0.812252236,4.205256989,-1.538198417
358,I-25 Globeville State Site Swansea GRIMM lm smoke,I-25 Globeville State Site.csv,Swansea GRIMM lm smoke,Yes,0.833023487,4.591295676,0.659843338
359,La Casa State Site Swansea GRIMM lm smoke,La Casa State Site.csv,Swansea GRIMM lm smoke,Yes,0.937031884,2.583044493,-0.403560476
360,National Jewish Health State Site Swansea GRIMM lm smoke,National Jewish Health State Site.csv,Swansea GRIMM lm smoke,Yes,0.937705857,2.446622194,-0.328587433
361,CAMP State Site Swansea GRIMM rft age,CAMP State Site.csv,Swansea GRIMM rft age,Yes,0.667077963,5.587022037,0.719726246
362,I-25 Denver State Site Swansea GRIMM rft age,I-25 Denver State Site.csv,Swansea GRIMM rft age,Yes,0.756381314,4.557318066,-1.212008442
363,I-25 Globeville State Site Swansea GRIMM rft age,I-25 Globeville State Site.csv,Swansea GRIMM rft age,Yes,0.779592771,5.236409601,0.753124281
364,La Casa State Site Swansea GRIMM rft age,La Casa State Site.csv,Swansea GRIMM rft age,Yes,0.879259857,3.499501621,-0.270624068
365,National Jewish Health State Site Swansea GRIMM rft age,National Jewish Health State Site.csv,Swansea GRIMM rft age,Yes,0.887699498,3.238452354,-0.289052899
366,CAMP State Site Swansea GRIMM rft all,CAMP State Site.csv,Swansea GRIMM rft all,Yes,0.686531129,5.414570009,0.636048087
367,I-25 Denver State Site Swansea GRIMM rft all,I-25 Denver State Site.csv,Swansea GRIMM rft all,Yes,0.767660585,4.479427242,-1.242315488
368,I-25 Globeville State Site Swansea GRIMM rft all,I-25 Globeville State Site.csv,Swansea GRIMM rft all,Yes,0.772660806,5.300182345,0.770115788
