InstrumentName, I-25 Globeville,
StartTime, 2022-09-01 00:00:00,
EndTime, 2022-09-30 23:59:59,
Date,NO2,PM2.5
09/15/2022 10:00:00.000000,25.0,4.2
09/15/2022 11:00:00.000000,26.0,5.0
09/15/2022 12:00:00.000000,30.0,10.4
09/15/2022 13:00:00.000000,33.0,13.3
09/15/2022 14:00:00.000000,28.0,13.2
09/15/2022 15:00:00.000000,30.0,13.3
09/15/2022 16:00:00.000000,27.0,11.6
09/15/2022 17:00:00.000000,19.0,7.5
09/15/2022 18:00:00.000000,16.0,5.7
09/15/2022 19:00:00.000000,19.0,4.6
09/15/2022 20:00:00.000000,25.0,4.8
09/15/2022 21:00:00.000000,14.0,3.6
09/15/2022 22:00:00.000000,11.0,2.7
09/15/2022 23:00:00.000000,11.0,2.7
09/16/2022 00:00:00.000000,10.0,3.2
09/16/2022 01:00:00.000000,12.0,3.6
09/16/2022 02:00:00.000000,26.0,5.5
09/16/2022 03:00:00.000000,34.0,5.7
09/16/2022 04:00:00.000000,,4.1
09/16/2022 05:00:00.000000,25.0,5.2
09/16/2022 06:00:00.000000,28.0,5.6
09/16/2022 07:00:00.000000,,5.2
09/16/2022 09:00:00.000000,24.0,5.8
09/16/2022 10:00:00.000000,16.0,4.1
09/16/2022 11:00:00.000000,25.0,5.1
09/16/2022 12:00:00.000000,28.0,6.5
09/16/2022 13:00:00.000000,27.0,7.1
09/16/2022 14:00:00.000000,34.0,8.7
09/16/2022 15:00:00.000000,30.0,7.8
09/16/2022 16:00:00.000000,26.0,6.0
09/16/2022 17:00:00.000000,22.0,4.0
09/16/2022 18:00:00.000000,9.0,5.3
09/16/2022 19:00:00.000000,6.0,2.7
09/16/2022 20:00:00.000000,16.0,3.8
09/16/2022 21:00:00.000000,19.0,4.8
09/16/2022 22:00:00.000000,23.0,4.8
09/16/2022 23:00:00.000000,19.0,3.2
09/17/2022 00:00:00.000000,6.0,2.5
09/17/2022 01:00:00.000000,,3.1
09/17/2022 02:00:00.000000,26.0,4.4
09/17/2022 03:00:00.000000,35.0,6.0
09/17/2022 04:00:00.000000,,7.0
09/17/2022 05:00:00.000000,38.0,7.9
