InstrumentName, APCD B,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/01/2018 08:09:43.143333,1.05,37.0,68.0
09/01/2018 08:11:03.166666,0.95,37.0,68.0
09/01/2018 08:13:43.253333,2.07,37.0,68.0
09/01/2018 08:15:02.940000,1.24,37.0,68.0
09/01/2018 08:17:42.993333,1.0,37.0,68.0
09/01/2018 08:19:03.466666,0.65,37.0,68.0
09/01/2018 08:21:43.053333,1.19,37.0,68.0
09/01/2018 08:23:03.036666,0.98,38.0,68.0
09/01/2018 08:25:43.150000,1.53,38.0,68.0
09/01/2018 08:27:03.026666,1.88,38.0,67.0
09/01/2018 08:29:42.980000,1.64,39.0,66.0
09/01/2018 08:31:03.363333,1.88,39.0,66.0
09/01/2018 08:33:43.106666,1.4,40.0,66.0
09/01/2018 08:35:02.980000,2.2,40.0,66.0
09/01/2018 08:37:43.433333,1.79,39.0,66.0
09/01/2018 08:39:03.240000,2.1,39.0,66.0
09/01/2018 08:41:43.323333,1.98,39.0,66.0
09/01/2018 08:43:03.086666,1.5,39.0,66.0
09/01/2018 08:45:43.513333,1.32,39.0,66.0
09/01/2018 08:47:03.133333,1.44,40.0,66.0
09/01/2018 08:49:43.283333,1.52,40.0,66.0
09/01/2018 08:51:03.376666,1.98,40.0,66.0
09/01/2018 08:53:43.236666,2.76,40.0,65.0
09/01/2018 08:55:03.080000,2.97,40.0,65.0
09/01/2018 08:57:43.063333,3.12,40.0,65.0
09/01/2018 08:59:03.166666,3.0,40.0,65.0
09/01/2018 09:01:43.116666,2.55,40.0,65.0
09/01/2018 09:03:03.153333,1.07,40.0,66.0
09/01/2018 09:05:43.366666,1.51,39.0,66.0
09/01/2018 09:07:03.436666,1.38,38.0,66.0
09/01/2018 09:09:43.080000,0.59,38.0,66.0
09/01/2018 09:11:03.343333,1.34,38.0,66.0
09/01/2018 09:13:43.386666,0.82,39.0,66.0
09/01/2018 09:15:03.170000,1.52,40.0,66.0
09/01/2018 09:17:43.356666,1.38,39.0,66.0
09/01/2018 09:19:03.613333,1.27,39.0,66.0
09/01/2018 09:21:43.123333,1.49,38.0,66.0
