InstrumentName, Woods Park B
StartTime, 2021-07-01 00:00:00
EndTime, 2021-07-31 00:00:00
Date,PM1.0,PM10.0,PM2.5
07/01/2021 09:33:03,6.38,9.7,8.82
07/01/2021 09:35:04,6.24,8.34,8.21
07/01/2021 09:37:03,5.77,7.96,7.61
07/01/2021 09:39:03,6.3,8.86,8.28
07/01/2021 09:41:04,6.57,9.0,8.91
07/01/2021 09:43:03,6.8,9.34,8.68
07/01/2021 09:45:04,6.7,8.62,8.57
07/01/2021 09:47:03,6.46,8.8,8.61
07/01/2021 09:49:03,6.12,9.46,9.1
07/01/2021 09:51:03,6.68,9.35,9.08
07/01/2021 09:53:03,6.98,9.7,9.42
07/01/2021 09:55:03,6.71,8.91,8.79
07/01/2021 09:57:03,6.35,8.48,8.25
07/01/2021 09:59:04,6.53,9.58,8.98
07/01/2021 10:01:03,6.28,9.09,8.59
07/01/2021 10:03:04,6.66,8.62,8.46
07/01/2021 10:05:03,6.28,8.79,8.26
07/01/2021 10:07:03,6.85,9.78,9.07
07/01/2021 10:09:03,6.84,9.36,8.95
07/01/2021 10:11:04,7.02,10.2,9.88
07/01/2021 10:13:03,6.82,9.58,9.3
07/01/2021 10:15:04,7.12,9.91,9.36
07/01/2021 10:17:03,6.49,8.78,8.73
07/01/2021 10:19:03,6.43,9.43,8.98
07/01/2021 10:21:03,6.44,9.96,9.26
07/01/2021 10:23:03,6.41,8.71,8.61
07/01/2021 10:25:03,6.56,9.36,8.8
07/01/2021 10:27:04,6.67,8.97,8.62
07/01/2021 10:29:04,6.97,9.12,8.77
07/01/2021 10:31:04,7.33,10.41,9.47
07/01/2021 10:33:04,6.68,9.63,8.89
07/01/2021 10:35:04,6.47,8.67,8.67
07/01/2021 10:37:04,6.9,9.31,9.15
07/01/2021 10:39:04,5.9,8.36,8.0
07/01/2021 10:41:04,5.46,7.7,7.2
07/01/2021 10:43:04,4.79,6.07,5.93
07/01/2021 10:45:04,4.34,6.72,6.12
07/01/2021 10:47:04,4.37,6.14,5.66
07/01/2021 10:49:04,4.2,6.77,6.04
07/01/2021 10:51:04,4.07,5.93,5.57
07/01/2021 10:53:04,3.85,5.93,5.25
07/01/2021 10:55:04,4.75,6.54,6.03
07/01/2021 10:57:04,3.98,5.93,5.53
07/01/2021 10:59:04,3.98,5.77,5.56
07/01/2021 11:01:04,3.69,5.29,5.0
07/01/2021 11:03:04,4.31,5.75,5.36
07/01/2021 11:05:04,4.0,5.5,5.1
07/01/2021 11:07:04,3.68,5.93,5.41
07/01/2021 11:09:04,3.84,6.14,5.21
07/01/2021 11:11:04,3.46,4.76,4.73
07/01/2021 11:13:04,3.93,5.45,5.26
07/01/2021 11:15:04,3.39,4.96,4.61
07/01/2021 11:17:04,3.89,5.0,5.0
07/01/2021 11:19:04,3.4,5.73,5.1
07/01/2021 11:21:04,3.07,4.52,4.33
07/01/2021 11:23:04,3.61,5.14,4.77
07/01/2021 11:25:04,3.07,4.46,4.32
07/01/2021 11:27:05,3.49,5.05,4.88
07/01/2021 11:29:05,2.98,4.19,3.89
07/01/2021 11:31:05,3.43,5.07,4.69
07/01/2021 11:33:05,3.15,4.66,4.29
07/01/2021 11:35:05,3.15,4.59,4.42
07/01/2021 11:37:05,3.23,4.16,4.16
07/01/2021 11:39:05,3.44,4.75,4.68
07/01/2021 11:41:05,3.08,4.51,4.24
07/01/2021 11:43:05,3.36,4.58,4.34
07/01/2021 11:45:05,3.91,5.5,5.02
07/01/2021 11:47:05,3.38,4.89,4.61
07/01/2021 11:49:05,3.35,5.05,4.8
07/01/2021 11:51:05,3.02,4.29,4.15
07/01/2021 11:53:05,3.34,4.74,4.53
07/01/2021 11:55:07,3.36,4.88,4.64
07/01/2021 11:57:05,3.38,4.83,4.48
07/01/2021 11:59:05,2.8,4.39,4.19
07/01/2021 12:01:05,3.37,4.25,4.04
07/01/2021 12:03:05,3.82,4.93,4.54
07/01/2021 12:05:05,3.11,4.25,4.19
07/01/2021 12:07:05,3.64,4.81,4.44
07/01/2021 12:09:05,3.83,5.53,5.31
07/01/2021 12:11:05,3.55,4.55,4.41
07/01/2021 12:13:05,2.95,4.43,4.11
07/01/2021 12:15:05,3.61,5.34,4.68
07/01/2021 12:17:05,3.15,4.58,4.25
07/01/2021 12:19:05,3.04,4.61,4.35
07/01/2021 12:21:05,3.5,4.72,4.45
07/01/2021 12:23:05,3.69,5.02,4.73
07/01/2021 12:25:05,2.98,4.22,4.22
07/01/2021 12:27:05,3.33,4.89,4.63
07/01/2021 12:29:05,3.62,4.51,4.43
07/01/2021 12:31:05,2.4,4.18,3.61
07/01/2021 12:33:05,2.82,4.36,4.04
07/01/2021 12:35:05,3.3,4.32,4.26
07/01/2021 12:37:05,3.5,5.28,4.95
07/01/2021 12:39:05,3.38,4.69,4.57
07/01/2021 12:41:05,3.45,4.75,4.71
07/01/2021 12:43:05,3.39,5.07,4.56
07/01/2021 12:45:05,3.57,5.5,5.03
07/01/2021 12:47:05,2.97,4.1,4.1
07/01/2021 12:49:05,2.91,4.44,4.26
07/01/2021 12:51:05,3.72,4.95,4.58
07/01/2021 12:53:05,3.62,4.47,4.35
07/01/2021 12:55:05,3.97,6.32,5.83
07/01/2021 12:57:05,4.58,6.4,6.04
07/01/2021 12:59:05,4.62,6.43,6.29
07/01/2021 13:01:05,4.17,6.47,5.9
07/01/2021 13:03:05,4.61,6.95,6.46
07/01/2021 13:05:05,4.26,6.33,6.17
07/01/2021 13:07:05,4.54,6.43,5.86
07/01/2021 13:09:05,4.46,6.07,5.58
07/01/2021 13:11:05,5.54,7.37,7.05
07/01/2021 13:13:05,4.88,6.57,6.34
07/01/2021 13:15:05,4.14,5.39,5.23
07/01/2021 13:17:05,4.18,6.32,5.91
07/01/2021 13:19:05,4.55,6.28,6.05
07/01/2021 13:21:05,4.25,6.78,6.07
07/01/2021 13:23:05,4.2,5.8,5.71
07/01/2021 13:25:05,4.3,6.05,5.77
07/01/2021 13:27:06,4.69,6.47,6.12
07/01/2021 13:29:06,4.63,6.75,6.49
07/01/2021 13:31:06,4.51,6.9,6.36
07/01/2021 13:33:06,4.42,6.32,6.15
07/01/2021 13:35:06,4.59,6.08,5.97
07/01/2021 13:37:06,4.61,5.88,5.88
07/01/2021 13:39:06,4.79,6.1,6.0
07/01/2021 13:41:06,4.78,7.1,6.55
07/01/2021 13:43:06,4.93,7.32,6.8
07/01/2021 13:45:06,4.6,6.46,6.21
07/01/2021 13:47:06,4.21,6.21,5.91
07/01/2021 13:49:06,4.98,6.81,6.63
07/01/2021 13:51:06,4.1,6.05,5.8
07/01/2021 13:53:06,4.35,6.07,5.88
07/01/2021 13:55:07,4.68,6.16,6.0
07/01/2021 13:57:06,4.4,6.35,6.02
07/01/2021 13:59:06,4.43,6.53,6.43
07/01/2021 14:01:06,4.18,5.93,5.79
07/01/2021 14:03:06,4.11,6.41,5.91
