InstrumentName, Welby
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,NO2,O3,PM10,SO2
01/10/2021 09:00:00,,,5.7,1.0
01/10/2021 10:00:00,,,7.7,1.0
01/10/2021 11:00:00,,,7.3,1.0
01/10/2021 12:00:00,,,7.0,1.0
01/10/2021 13:00:00,,,8.2,1.0
01/10/2021 14:00:00,,,6.9,1.0
01/10/2021 15:00:00,,,8.4,1.0
01/10/2021 16:00:00,,,7.5,1.0
01/10/2021 17:00:00,,,6.4,1.0
01/10/2021 18:00:00,,,6.4,1.0
01/10/2021 19:00:00,,,7.5,1.0
01/10/2021 20:00:00,,,9.2,1.0
01/10/2021 21:00:00,,,10.0,1.0
01/10/2021 22:00:00,,,6.7,1.0
01/10/2021 23:00:00,,,7.9,1.0
01/11/2021 00:00:00,,,11.1,1.0
01/11/2021 01:00:00,,,17.2,1.0
01/11/2021 02:00:00,,,17.5,1.0
01/11/2021 03:00:00,,,23.9,1.0
01/11/2021 04:00:00,,,24.9,1.0
01/11/2021 05:00:00,,,23.0,1.0
01/11/2021 06:00:00,,,24.9,1.0
01/11/2021 07:00:00,,,22.1,1.0
01/11/2021 09:00:00,,,14.9,1.0
01/11/2021 10:00:00,,,10.7,1.0
01/11/2021 11:00:00,,,10.5,1.0
01/11/2021 12:00:00,,,16.8,1.0
01/11/2021 13:00:00,,,25.9,1.0
01/11/2021 14:00:00,,,60.0,1.0
01/11/2021 15:00:00,,3.0,53.9,1.0
01/11/2021 16:00:00,,8.0,88.7,
01/11/2021 17:00:00,,12.0,83.2,1.0
01/11/2021 18:00:00,,18.0,59.5,1.0
01/11/2021 19:00:00,,22.0,43.3,1.0
01/11/2021 20:00:00,,30.0,23.8,1.0
01/11/2021 21:00:00,13.0,34.0,19.5,0.0
01/11/2021 22:00:00,18.0,31.0,29.4,0.0
01/11/2021 23:00:00,32.0,15.0,61.1,0.0
01/12/2021 00:00:00,40.0,6.0,52.5,0.0
01/12/2021 01:00:00,42.0,1.0,44.7,0.0
01/12/2021 02:00:00,45.0,1.0,58.5,0.0
01/12/2021 03:00:00,41.0,1.0,44.9,0.0
01/12/2021 04:00:00,,1.0,49.0,1.0
01/12/2021 05:00:00,40.0,1.0,44.7,1.0
01/12/2021 06:00:00,37.0,0.0,23.3,0.0
01/12/2021 07:00:00,37.0,1.0,21.6,0.0
01/12/2021 08:00:00,38.0,1.0,27.2,1.0
01/12/2021 09:00:00,38.0,1.0,19.5,0.0
01/12/2021 10:00:00,38.0,1.0,18.7,0.0
01/12/2021 11:00:00,38.0,1.0,22.4,0.0
01/12/2021 12:00:00,40.0,0.0,21.5,0.0
01/12/2021 13:00:00,44.0,1.0,31.7,1.0
01/12/2021 14:00:00,47.0,1.0,55.8,1.0
01/12/2021 15:00:00,44.0,,58.3,1.0
01/12/2021 16:00:00,45.0,7.0,83.3,
01/12/2021 17:00:00,,14.0,60.8,0.0
01/12/2021 18:00:00,26.0,24.0,46.3,0.0
01/12/2021 19:00:00,21.0,29.0,27.8,0.0
01/12/2021 20:00:00,14.0,36.0,21.5,0.0
01/12/2021 21:00:00,22.0,27.0,33.3,0.0
01/12/2021 22:00:00,27.0,20.0,45.2,0.0
01/12/2021 23:00:00,35.0,10.0,53.4,0.0
01/13/2021 00:00:00,44.0,1.0,68.7,1.0
01/13/2021 01:00:00,44.0,1.0,103.1,1.0
01/13/2021 02:00:00,44.0,1.0,92.7,2.0
01/13/2021 03:00:00,45.0,1.0,79.9,2.0
01/13/2021 04:00:00,,1.0,47.9,1.0
01/13/2021 05:00:00,41.0,1.0,22.9,1.0
01/13/2021 06:00:00,42.0,1.0,25.0,1.0
01/13/2021 07:00:00,43.0,,21.8,2.0
01/13/2021 08:00:00,38.0,5.0,16.7,1.0
01/13/2021 09:00:00,39.0,5.0,16.4,1.0
01/13/2021 10:00:00,44.0,1.0,18.0,1.0
01/13/2021 11:00:00,41.0,0.0,25.2,1.0
01/13/2021 12:00:00,39.0,0.0,32.2,1.0
01/13/2021 13:00:00,40.0,0.0,51.2,1.0
01/13/2021 14:00:00,43.0,1.0,70.9,3.0
01/13/2021 15:00:00,,,,4.0
01/13/2021 16:00:00,57.0,,130.8,4.0
01/13/2021 17:00:00,53.0,5.0,115.7,3.0
01/13/2021 18:00:00,41.0,10.0,65.6,3.0
01/13/2021 19:00:00,,33.0,14.1,0.0
01/13/2021 20:00:00,3.0,36.0,20.7,0.0
01/13/2021 21:00:00,3.0,36.0,23.9,0.0
01/13/2021 22:00:00,3.0,36.0,102.6,0.0
01/13/2021 23:00:00,3.0,36.0,56.6,0.0
01/14/2021 00:00:00,3.0,37.0,22.7,0.0
01/14/2021 01:00:00,3.0,38.0,4.8,2.0
01/14/2021 02:00:00,4.0,36.0,8.8,0.0
01/14/2021 03:00:00,7.0,32.0,9.0,0.0
01/14/2021 04:00:00,,40.0,14.9,0.0
01/14/2021 05:00:00,1.0,40.0,17.3,0.0
01/14/2021 06:00:00,1.0,40.0,36.3,0.0
01/14/2021 07:00:00,1.0,53.0,38.3,0.0
01/14/2021 08:00:00,1.0,47.0,27.2,0.0
01/14/2021 09:00:00,0.0,48.0,15.2,0.0
01/14/2021 10:00:00,1.0,44.0,9.3,0.0
01/14/2021 11:00:00,1.0,43.0,7.6,0.0
