InstrumentName, Lake Arbot,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 15:13:28.383333,38.33,38.0,30.0
01/01/2018 15:14:48.336666,39.1,38.0,30.0
01/01/2018 15:17:28.350000,38.12,38.0,30.0
01/01/2018 15:18:48.396666,38.61,38.0,30.0
01/01/2018 15:21:28.560000,38.28,38.0,30.0
01/01/2018 15:22:48.540000,39.85,38.0,30.0
01/01/2018 15:25:28.366666,39.07,38.0,30.0
01/01/2018 15:26:48.573333,39.26,38.0,30.0
01/01/2018 15:29:28.416666,39.52,38.0,30.0
01/01/2018 15:30:48.356666,39.58,38.0,30.0
01/01/2018 15:33:28.353333,39.85,38.0,30.0
01/01/2018 15:34:48.380000,40.05,38.0,30.0
01/01/2018 15:37:28.450000,39.72,38.0,30.0
01/01/2018 15:38:48.353333,39.93,38.0,30.0
01/01/2018 15:41:28.500000,39.97,38.0,30.0
01/01/2018 15:42:48.380000,39.9,38.0,30.0
01/01/2018 15:45:28.776666,39.3,38.0,30.0
01/01/2018 15:46:48.573333,41.0,38.0,30.0
01/01/2018 15:49:28.406666,40.31,38.0,30.0
01/01/2018 15:50:48.366666,41.21,39.0,30.0
01/01/2018 15:53:28.396666,39.58,38.0,30.0
01/01/2018 15:54:48.460000,40.47,38.0,30.0
01/01/2018 15:57:28.426666,40.27,39.0,30.0
01/01/2018 15:58:48.530000,42.56,39.0,30.0
01/01/2018 16:01:28.493333,42.03,39.0,29.0
01/01/2018 16:02:48.446666,39.75,39.0,29.0
01/01/2018 16:05:28.766666,41.63,39.0,29.0
01/01/2018 16:06:48.673333,39.93,39.0,29.0
01/01/2018 16:09:28.596666,42.24,39.0,29.0
01/01/2018 16:10:48.533333,42.26,39.0,29.0
01/01/2018 16:13:28.443333,41.95,39.0,30.0
01/01/2018 16:14:48.476666,41.49,39.0,29.0
01/01/2018 16:17:28.460000,41.46,39.0,29.0
01/01/2018 16:18:48.636666,40.9,39.0,29.0
01/01/2018 16:21:28.463333,41.71,39.0,29.0
01/01/2018 16:22:49.040000,40.76,39.0,29.0
01/01/2018 16:25:28.416666,40.86,40.0,29.0
01/01/2018 16:26:48.426666,42.33,40.0,29.0
01/01/2018 16:29:28.613333,42.32,40.0,29.0
01/01/2018 16:30:48.416666,40.22,40.0,29.0
01/01/2018 16:33:28.540000,42.07,40.0,29.0
01/01/2018 16:34:48.766666,41.5,40.0,29.0
01/01/2018 16:37:28.636666,42.51,40.0,29.0
