InstrumentName, I-25 Denver
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,CO,NO2,PM2.5
08/10/2021 07:00:00,0.429,13.0,26.6
08/10/2021 08:00:00,0.422,23.0,27.2
08/10/2021 09:00:00,0.384,21.0,27.1
08/10/2021 10:00:00,0.376,24.0,28.4
08/10/2021 11:00:00,0.546,37.0,29.9
08/10/2021 12:00:00,0.647,43.0,32.6
08/10/2021 13:00:00,0.548,33.0,31.9
08/10/2021 14:00:00,0.464,27.0,28.5
08/10/2021 15:00:00,0.575,32.0,26.3
08/10/2021 16:00:00,0.609,34.0,27.4
08/10/2021 17:00:00,0.517,21.0,25.1
08/10/2021 18:00:00,0.469,19.0,21.1
08/10/2021 19:00:00,0.472,14.0,19.5
08/10/2021 20:00:00,0.552,26.0,18.4
08/10/2021 21:00:00,0.483,19.0,18.9
08/10/2021 22:00:00,0.449,14.0,20.2
08/10/2021 23:00:00,0.727,35.0,19.1
08/11/2021 00:00:00,0.767,32.0,17.1
08/11/2021 01:00:00,0.698,24.0,16.1
08/11/2021 02:00:00,0.692,24.0,16.0
08/11/2021 03:00:00,0.759,33.0,18.5
08/11/2021 04:00:00,0.812,,21.3
08/11/2021 05:00:00,0.719,33.0,23.3
08/11/2021 06:00:00,0.401,19.0,22.9
08/11/2021 07:00:00,0.358,13.0,23.8
08/11/2021 09:00:00,0.344,23.0,25.5
08/11/2021 10:00:00,0.324,12.0,28.1
08/11/2021 11:00:00,0.504,26.0,29.9
08/11/2021 12:00:00,0.656,40.0,31.5
08/11/2021 13:00:00,0.578,30.0,29.0
08/11/2021 14:00:00,0.474,24.0,26.2
08/11/2021 15:00:00,0.437,19.0,21.9
08/11/2021 16:00:00,0.418,19.0,18.6
08/11/2021 17:00:00,0.43,15.0,16.8
08/11/2021 18:00:00,0.292,9.0,13.2
08/11/2021 19:00:00,0.309,11.0,13.7
08/11/2021 20:00:00,0.288,9.0,11.5
08/11/2021 21:00:00,0.285,9.0,11.3
08/11/2021 22:00:00,0.267,6.0,11.7
08/11/2021 23:00:00,0.32,7.0,11.5
08/12/2021 00:00:00,0.272,5.0,11.7
08/12/2021 02:00:00,0.472,16.0,16.0
08/12/2021 03:00:00,0.637,21.0,19.4
08/12/2021 05:00:00,0.637,25.0,22.5
08/12/2021 06:00:00,0.426,18.0,21.8
08/12/2021 07:00:00,0.335,11.0,20.2
08/12/2021 09:00:00,0.318,22.0,23.8
08/12/2021 10:00:00,0.331,21.0,24.2
08/12/2021 11:00:00,0.368,32.0,27.1
08/12/2021 12:00:00,0.754,41.0,27.4
08/12/2021 13:00:00,0.967,44.0,25.8
08/12/2021 14:00:00,0.916,42.0,20.5
08/12/2021 15:00:00,0.598,23.0,18.6
08/12/2021 16:00:00,0.534,26.0,19.5
08/12/2021 17:00:00,0.595,25.0,18.3
08/12/2021 18:00:00,0.528,21.0,17.9
08/12/2021 19:00:00,0.417,17.0,17.6
08/12/2021 20:00:00,0.351,12.0,16.6
08/12/2021 21:00:00,0.565,25.0,16.3
08/12/2021 22:00:00,0.629,30.0,15.4
08/12/2021 23:00:00,0.504,17.0,14.5
08/13/2021 00:00:00,0.433,16.0,13.8
08/13/2021 01:00:00,0.514,19.0,12.3
08/13/2021 02:00:00,0.262,5.0,12.8
08/13/2021 03:00:00,0.241,6.0,9.7
08/13/2021 04:00:00,0.229,,10.6
08/13/2021 05:00:00,0.199,1.0,11.3
08/13/2021 06:00:00,0.29,7.0,10.8
08/13/2021 07:00:00,0.289,8.0,11.3
08/13/2021 09:00:00,0.237,7.0,10.1
08/13/2021 10:00:00,0.31,11.0,9.2
08/13/2021 11:00:00,0.473,15.0,10.2
08/13/2021 12:00:00,0.696,23.0,11.3
08/13/2021 13:00:00,0.582,21.0,10.9
08/13/2021 14:00:00,0.576,19.0,9.5
08/13/2021 15:00:00,0.472,18.0,8.4
08/13/2021 16:00:00,0.484,19.0,10.2
08/13/2021 17:00:00,0.384,16.0,10.7
08/13/2021 18:00:00,0.327,14.0,10.1
08/13/2021 19:00:00,0.313,14.0,10.0
08/13/2021 20:00:00,0.322,10.0,9.6
08/13/2021 21:00:00,0.353,13.0,9.8
08/13/2021 22:00:00,0.538,29.0,10.1
08/13/2021 23:00:00,0.72,35.0,9.6
08/14/2021 00:00:00,0.678,32.0,9.7
08/14/2021 01:00:00,0.462,22.0,6.9
08/14/2021 02:00:00,0.392,15.0,5.6
08/14/2021 03:00:00,0.527,14.0,11.1
08/14/2021 04:00:00,0.606,,13.4
08/14/2021 05:00:00,0.319,13.0,11.5
08/14/2021 06:00:00,0.589,25.0,12.3
08/14/2021 07:00:00,0.528,13.0,10.9
08/14/2021 09:00:00,0.413,21.0,11.8
08/14/2021 10:00:00,0.254,12.0,10.3
08/14/2021 11:00:00,0.321,15.0,9.4
08/14/2021 12:00:00,0.455,23.0,10.9
08/14/2021 13:00:00,0.522,23.0,11.6
08/14/2021 14:00:00,0.492,21.0,11.9
08/14/2021 15:00:00,0.4,19.0,10.2
08/14/2021 16:00:00,0.326,17.0,10.3
08/14/2021 17:00:00,0.337,15.0,9.9
08/14/2021 18:00:00,0.301,14.0,9.1
08/14/2021 19:00:00,0.262,10.0,7.1
08/14/2021 20:00:00,0.26,6.0,5.3
08/14/2021 21:00:00,0.277,7.0,6.7
08/14/2021 22:00:00,0.274,6.0,6.5
08/14/2021 23:00:00,0.297,5.0,6.9
08/15/2021 00:00:00,0.312,8.0,8.1
08/15/2021 01:00:00,0.692,20.0,10.1
08/15/2021 02:00:00,0.654,19.0,16.8
08/15/2021 03:00:00,0.475,14.0,6.2
08/15/2021 04:00:00,0.398,,3.4
08/15/2021 05:00:00,0.297,13.0,4.1
08/15/2021 06:00:00,0.655,22.0,5.0
08/15/2021 07:00:00,0.425,17.0,5.3
08/15/2021 10:00:00,0.469,17.0,6.9
08/15/2021 11:00:00,0.49,22.0,7.6
08/15/2021 12:00:00,0.345,18.0,8.6
08/15/2021 13:00:00,0.285,11.0,10.8
08/15/2021 14:00:00,0.345,14.0,7.4
08/15/2021 15:00:00,0.251,10.0,8.1
08/15/2021 16:00:00,0.272,10.0,5.2
08/15/2021 17:00:00,0.232,4.0,4.9
08/15/2021 18:00:00,0.448,10.0,5.4
08/15/2021 19:00:00,0.336,9.0,4.9
08/15/2021 20:00:00,0.375,11.0,5.1
08/15/2021 21:00:00,0.55,13.0,5.0
08/15/2021 22:00:00,0.507,14.0,5.4
08/15/2021 23:00:00,0.509,15.0,6.1
08/16/2021 00:00:00,0.411,11.0,6.7
08/16/2021 01:00:00,0.48,15.0,6.5
08/16/2021 02:00:00,0.676,28.0,9.1
08/16/2021 03:00:00,0.648,27.0,9.4
08/16/2021 04:00:00,0.523,,10.9
08/16/2021 05:00:00,0.452,20.0,10.7
08/16/2021 06:00:00,0.319,15.0,11.7
08/16/2021 07:00:00,0.386,15.0,11.6
08/16/2021 09:00:00,0.247,10.0,13.2
08/16/2021 11:00:00,0.314,19.0,12.1
08/16/2021 12:00:00,0.391,28.0,12.3
08/16/2021 13:00:00,,26.0,12.8
08/16/2021 14:00:00,0.431,21.0,11.3
08/16/2021 15:00:00,0.316,16.0,13.1
08/16/2021 16:00:00,0.293,14.0,10.1
08/16/2021 17:00:00,0.285,10.0,7.9
08/16/2021 18:00:00,0.249,6.0,8.1
08/16/2021 19:00:00,0.285,8.0,13.0
08/16/2021 20:00:00,0.279,,13.6
08/16/2021 21:00:00,0.259,5.0,13.9
08/16/2021 22:00:00,0.283,8.0,12.3
08/16/2021 23:00:00,0.258,6.0,11.4
08/17/2021 00:00:00,0.194,2.0,11.0
08/17/2021 01:00:00,0.235,4.0,12.3
08/17/2021 02:00:00,0.453,18.0,20.5
08/17/2021 03:00:00,1.075,46.0,19.5
08/17/2021 04:00:00,0.581,,20.8
08/17/2021 05:00:00,0.487,19.0,18.9
