InstrumentName, La Casa,,,,
StartTime, 2019-11-01 00:00:00,,,,
EndTime, 2019-11-30 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
11/16/2019 19:00:00.000000,0.1,4.0,41.0,19.7,0.0
11/16/2019 20:00:00.000000,0.1,4.0,41.0,13.6,0.0
11/16/2019 21:00:00.000000,0.1,6.0,40.0,12.7,0.0
11/16/2019 22:00:00.000000,0.1,5.0,39.0,14.6,0.0
11/16/2019 23:00:00.000000,0.1,7.0,36.0,15.3,0.0
11/17/2019 00:00:00.000000,0.1,8.0,31.0,,0.0
11/17/2019 01:00:00.000000,0.1,10.0,29.0,21.2,0.0
11/17/2019 02:00:00.000000,0.1,7.0,34.0,12.9,0.0
11/17/2019 03:00:00.000000,0.1,8.0,34.0,9.2,0.0
11/17/2019 04:00:00.000000,0.1,,32.0,6.7,0.0
