InstrumentName, La Casa Collo (Clarity-1),,,,
StartTime, 2019-10-01 00:00:00,,,,
EndTime, 2019-10-31 23:59:59,,,,
Date,PM 1,PM 10,PM 2.5,Temperature,relHumid
10/03/2019 11:16:15.077000,1.764706,6.882353,8.970625,9.97406,69.221024
10/03/2019 11:33:10.253000,2.058824,9.470589,9.919141,10.185017,69.703209
10/03/2019 11:50:05.344000,3.176471,6.941176,9.350031,10.297169,66.231781
10/03/2019 12:07:00.451000,1.294118,4.823529,7.642702,10.449379,64.469368
10/03/2019 12:23:55.369000,1.529412,6.647059,8.464749,10.518806,64.148926
10/03/2019 12:40:50.323000,2.764706,8.117647,8.875773,10.633633,64.899673
10/03/2019 12:57:45.396000,2.235294,5.235294,8.33828,10.649654,65.203323
10/03/2019 13:14:40.428000,2.235294,6.411765,8.717687,10.406654,66.723122
10/03/2019 13:31:35.621000,2.470588,8.058824,9.160328,10.241093,67.400627
10/03/2019 13:48:30.842000,2.235294,6.647059,8.591218,10.072861,67.724113
10/03/2019 14:05:26.211000,3.823529,7.235294,9.255179,9.97406,68.284126
10/03/2019 14:22:22.106000,2.294118,7.117647,8.527984,10.016785,68.039978
10/03/2019 14:39:17.727000,2.0,6.882353,8.591218,10.142292,66.250099
10/03/2019 14:56:13.279000,3.705882,7.705883,9.666203,10.492104,64.338142
10/03/2019 15:13:08.518000,3.705882,7.705883,9.539734,13.076981,59.742123
10/03/2019 15:30:03.177000,4.176471,7.882353,9.634586,15.661861,49.298847
10/03/2019 15:46:57.819000,3.235294,6.0,8.844156,16.420235,46.593422
10/03/2019 16:03:52.363000,2.823529,7.235294,9.160328,17.557793,43.564507
10/03/2019 16:20:46.737000,3.823529,7.529412,9.697821,18.625927,40.743114
10/03/2019 16:37:41.226000,6.0,12.470589,12.037494,18.147938,42.175938
10/03/2019 16:54:35.599000,7.117647,15.647058,14.060996,18.543144,42.67033
10/03/2019 17:11:29.800000,8.294118,16.588236,13.776441,20.324257,37.221333
10/03/2019 17:28:23.749000,8.590362,18.903614,14.277365,21.589989,34.087128
10/03/2019 17:45:17.574000,10.235294,16.82353,14.69334,21.99855,33.565269
10/03/2019 18:02:11.326000,8.072289,18.385542,13.869388,22.86908,31.606012
10/03/2019 18:19:05.104000,9.554217,20.554216,15.054462,21.841003,33.426414
10/03/2019 18:35:58.924000,9.529411,18.294117,15.104364,22.361717,32.840466
10/03/2019 18:52:52.637000,11.0,23.445784,15.831559,22.473869,33.171589
10/03/2019 19:09:46.386000,10.036144,22.891565,15.961076,22.505913,32.809948
10/03/2019 19:26:40.150000,8.095239,18.809525,14.730981,23.178833,31.999695
10/03/2019 19:43:34.108000,9.294118,17.117647,14.47202,21.915771,34.476234
10/03/2019 20:00:27.937000,10.235294,20.705883,16.147733,23.234909,29.779507
10/03/2019 20:17:21.774000,9.764706,18.117647,15.009513,23.571373,29.594873
10/03/2019 20:34:15.579000,11.952382,21.904762,16.343458,23.670174,30.772869
10/03/2019 20:51:09.396000,11.571428,23.476191,16.804166,23.883804,30.116732
10/03/2019 21:08:03.184000,9.761906,21.0,15.217283,23.923859,29.156939
10/03/2019 21:24:56.778000,8.235294,15.882353,13.238949,24.668877,28.328375
10/03/2019 21:41:50.271000,7.764706,14.411765,12.859542,24.724953,28.305485
10/03/2019 21:58:43.696000,8.470589,14.176471,12.986011,24.781036,26.797894
10/03/2019 22:15:37.071000,6.294117,11.764706,11.97426,25.218964,25.758755
10/03/2019 22:32:30.581000,7.761905,13.52381,12.273871,25.259026,26.085299
10/03/2019 22:49:24.147000,6.176471,11.529411,11.18383,24.919891,25.833525
10/03/2019 23:06:17.710000,6.235294,11.470589,11.784557,24.586098,26.445412
10/03/2019 23:23:11.447000,5.0,9.764706,10.741188,23.854431,27.278553
10/03/2019 23:40:05.191000,5.0,8.411765,10.172079,23.050659,29.381247
10/03/2019 23:56:58.976000,5.294117,9.941176,10.456634,22.054626,32.053101
10/04/2019 00:13:52.989000,5.882353,11.176471,11.373533,20.748833,35.877014
10/04/2019 00:30:46.772000,8.352942,15.294118,13.460269,19.130615,39.472038
10/04/2019 00:47:40.776000,8.705882,16.411764,13.934528,17.755398,42.111847
10/04/2019 01:04:34.938000,7.588235,16.705883,13.808059,16.756695,44.982071
10/04/2019 01:21:29.148000,7.952382,17.714287,14.858955,16.195927,46.407265
10/04/2019 01:38:23.400000,8.882353,16.764706,13.618355,15.661861,47.806515
10/04/2019 01:55:17.876000,9.823529,19.764706,15.547005,14.91684,51.232166
10/04/2019 02:12:12.448000,8.764706,20.058823,15.357302,14.257267,53.878082
10/04/2019 02:29:07.215000,7.176471,18.058823,13.871293,13.976883,54.28397
10/04/2019 02:46:01.843000,7.882353,17.117647,13.90291,13.808651,55.434502
10/04/2019 03:02:56.687000,7.705883,16.411764,14.060996,13.442818,55.50164
10/04/2019 03:19:51.377000,7.705883,15.470589,13.302183,13.456169,55.872433
10/04/2019 03:36:46.102000,6.795181,18.481926,13.105242,12.951477,59.536125
10/04/2019 03:53:41.180000,8.476191,24.190477,16.010725,11.926071,64.492256
10/04/2019 04:10:36.454000,11.000001,26.904762,17.264874,11.207752,67.325859
10/04/2019 04:27:31.630000,13.722892,34.506023,20.351678,10.900665,69.181351
10/04/2019 04:44:26.929000,15.000001,35.0,21.155297,10.505455,72.1828
10/04/2019 05:01:22.085000,12.047619,27.428572,17.469634,10.241093,71.74334
10/04/2019 05:18:17.271000,12.714287,31.047619,19.721984,10.099564,71.703667
10/04/2019 05:35:12.767000,11.235294,23.882353,17.380804,9.552147,72.539864
10/04/2019 05:52:08.188000,13.0,29.647058,19.404305,8.721676,76.50721
10/04/2019 06:09:03.840000,12.235294,24.529411,17.886679,8.443962,76.77272
10/04/2019 06:25:59.433000,11.333333,27.000002,18.211885,8.134205,78.611427
10/04/2019 06:42:55.093000,10.941176,23.058823,16.305818,7.682919,79.331657
10/04/2019 06:59:50.698000,9.518072,26.891565,16.369053,7.389183,80.941483
10/04/2019 07:16:46.446000,9.445783,25.879519,15.332922,7.039368,81.490807
10/04/2019 07:33:42.215000,10.294118,23.705883,16.96978,6.81506,82.236969
10/04/2019 07:50:38.045000,8.952381,27.428572,16.036319,6.534676,83.271538
10/04/2019 08:07:33.829000,11.857143,30.047619,18.237481,6.267643,84.448006
10/04/2019 08:24:29.722000,13.759035,35.554218,20.319299,6.155491,86.018158
10/04/2019 08:41:25.472000,15.333334,31.857145,20.771374,5.944534,87.386894
10/04/2019 08:58:21.292000,13.647058,31.117647,19.024899,5.861752,87.483025
10/04/2019 09:15:17.100000,14.04762,35.666668,20.745779,5.666821,87.99115
10/04/2019 09:32:12.954000,12.333334,31.571432,19.773173,5.624092,88.08728
10/04/2019 09:49:08.821000,11.333333,32.619049,18.698188,5.680172,88.307014
10/04/2019 10:06:04.869000,11.79518,33.373493,17.50232,5.637447,87.928589
10/04/2019 10:23:00.677000,10.380953,25.047619,16.420242,5.650799,87.571526
10/04/2019 10:39:56.473000,8.705882,19.0,14.345551,5.568016,86.581215
10/04/2019 10:56:52.212000,6.52381,18.809525,13.809564,5.666821,85.131607
10/04/2019 11:13:48.036000,7.058824,18.941177,13.934528,5.479897,85.74044
10/04/2019 11:30:43.893000,7.176471,19.17647,14.313934,5.554665,84.090942
10/04/2019 11:47:39.888000,5.238095,17.952383,12.248276,5.314335,84.444954
10/04/2019 12:04:35.764000,6.882353,17.0,13.017628,5.033951,86.027313
10/04/2019 12:21:31.768000,5.352941,17.235294,13.175714,4.697491,86.504921
10/04/2019 12:38:27.703000,5.823529,15.647058,12.195581,4.44648,86.604103
10/04/2019 12:55:23.680000,6.619048,16.952381,12.683389,4.232853,88.523689
10/04/2019 13:12:19.820000,7.705883,18.588236,14.060996,4.150074,89.14473
10/04/2019 13:29:15.806000,5.941176,14.647058,12.859542,4.598686,87.286186
10/04/2019 13:46:12.149000,6.190476,21.047621,13.476831,5.973907,80.831619
10/04/2019 14:03:07.982000,4.764706,13.588235,10.994126,8.190281,71.779968
10/04/2019 14:20:03.512000,4.294117,9.529411,10.108844,10.478752,63.280689
10/04/2019 14:36:58.673000,5.764706,13.823529,11.689705,12.628368,55.297169
10/04/2019 14:53:53.628000,3.529412,8.647058,9.792672,14.382774,47.49218
10/04/2019 15:10:48.165000,7.352941,14.705882,12.638222,16.139851,43.894104
10/04/2019 15:27:42.413000,6.588235,14.764706,12.891159,17.472343,39.874874
10/04/2019 15:44:36.734000,8.294118,16.82353,13.934528,18.457695,38.080414
10/04/2019 16:01:31.065000,9.238095,15.761905,13.52802,18.372242,38.149082
10/04/2019 16:18:25.464000,7.294117,13.0,12.606604,17.798122,40.511177
10/04/2019 16:35:20.142000,5.294117,12.235294,11.18383,16.337452,44.557869
10/04/2019 16:52:14.684000,7.588235,16.588236,13.649972,17.095825,42.488747
10/04/2019 17:09:09.099000,7.235294,14.529411,12.954393,17.880905,41.745632
10/04/2019 17:26:03.552000,6.294117,13.764706,12.764691,18.230717,40.793468
10/04/2019 17:42:58.008000,6.352941,13.294118,12.385284,18.65263,40.415047
10/04/2019 17:59:52.199000,6.588235,13.117647,12.069112,19.216064,38.797588
10/04/2019 18:16:46.421000,6.571429,13.714286,11.736378,20.172043,36.470589
10/04/2019 18:33:40.413000,4.882353,12.411765,11.18383,20.943771,35.692379
10/04/2019 18:50:34.308000,5.823529,11.882353,11.658088,21.533913,34.515907
10/04/2019 19:07:28.211000,6.0,10.235294,11.247064,21.659416,34.311436
10/04/2019 19:24:22.039000,6.235294,11.647058,12.037494,22.249557,34.023041
10/04/2019 19:41:15.897000,5.588235,11.941176,11.278681,22.826355,33.052567
10/04/2019 19:58:09.518000,6.529412,14.058824,12.701456,23.93721,30.954453
10/04/2019 20:15:02.980000,4.823529,10.0,10.772806,25.427254,28.71748
10/04/2019 20:31:56.330000,4.809524,12.380953,10.994126,25.753036,28.830397
10/04/2019 20:48:49.667000,6.588235,13.647058,12.54337,26.188293,28.708324
10/04/2019 21:05:43.040000,6.0,12.470589,11.911025,25.779739,28.903639
10/04/2019 21:22:36.463000,6.0,12.882353,11.689705,26.073471,28.871595
10/04/2019 21:39:29.696000,6.0,12.294118,11.816174,26.425957,27.920958
