InstrumentName, Thornton,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 13:02:34.400000,29.51,57.0,36.0
04/01/2018 13:05:14.600000,30.55,57.0,37.0
04/01/2018 13:07:54.423333,29.41,56.0,37.0
04/01/2018 13:10:34.476666,27.56,57.0,37.0
04/01/2018 13:14:34.520000,29.17,56.0,37.0
04/01/2018 13:17:14.566666,28.1,57.0,38.0
04/01/2018 13:19:54.406666,30.2,56.0,38.0
04/01/2018 13:22:34.406666,28.19,56.0,38.0
04/01/2018 13:26:34.613333,30.1,55.0,38.0
04/01/2018 13:29:14.426666,29.56,56.0,38.0
04/01/2018 13:31:54.480000,29.56,55.0,38.0
04/01/2018 13:34:34.706666,28.68,55.0,39.0
04/01/2018 13:38:34.513333,28.3,55.0,39.0
04/01/2018 13:41:14.546666,30.05,54.0,39.0
04/01/2018 13:43:55.280000,30.54,54.0,39.0
04/01/2018 13:46:34.533333,27.9,54.0,39.0
04/01/2018 13:50:34.540000,27.45,54.0,39.0
04/01/2018 13:53:14.513333,29.07,54.0,39.0
04/01/2018 13:55:54.636666,28.52,54.0,39.0
04/01/2018 13:58:34.473333,30.7,54.0,40.0
04/01/2018 14:02:34.473333,33.27,52.0,39.0
04/01/2018 14:05:14.426666,31.95,52.0,39.0
04/01/2018 14:07:54.423333,33.02,53.0,36.0
04/01/2018 14:10:34.453333,31.8,55.0,37.0
04/01/2018 14:14:34.463333,31.12,55.0,38.0
04/01/2018 14:17:14.450000,30.49,55.0,39.0
04/01/2018 14:19:54.456666,34.92,54.0,39.0
04/01/2018 14:22:34.460000,31.25,53.0,38.0
04/01/2018 14:26:34.440000,29.9,53.0,39.0
04/01/2018 14:29:14.433333,32.86,53.0,40.0
04/01/2018 14:31:54.483333,30.1,52.0,40.0
04/01/2018 14:34:34.520000,29.8,52.0,40.0
04/01/2018 14:38:34.630000,37.41,53.0,37.0
04/01/2018 14:41:14.443333,32.93,55.0,36.0
04/01/2018 14:43:54.856666,32.15,56.0,37.0
04/01/2018 14:46:34.480000,30.81,55.0,39.0
04/01/2018 14:50:34.566666,29.07,53.0,40.0
04/01/2018 14:53:14.533333,32.51,53.0,38.0
04/01/2018 14:55:54.510000,38.55,55.0,37.0
04/01/2018 14:58:34.506666,29.07,55.0,39.0
04/01/2018 15:02:34.460000,31.0,54.0,38.0
04/01/2018 15:05:14.540000,35.55,55.0,37.0
04/01/2018 15:07:54.503333,32.95,55.0,37.0
04/01/2018 15:10:34.546666,39.71,56.0,36.0
04/01/2018 15:14:34.596666,31.17,56.0,39.0
04/01/2018 15:17:14.453333,32.35,55.0,39.0
04/01/2018 15:19:54.503333,30.78,54.0,38.0
04/01/2018 15:22:35.530000,34.39,55.0,38.0
04/01/2018 15:26:34.453333,30.31,54.0,40.0
04/01/2018 15:29:15.080000,32.05,53.0,39.0
04/01/2018 15:31:54.520000,32.38,54.0,39.0
04/01/2018 15:34:34.530000,33.75,55.0,38.0
04/01/2018 15:38:34.460000,39.25,57.0,38.0
04/01/2018 15:41:14.603333,32.51,56.0,39.0
04/01/2018 15:43:54.886666,29.76,54.0,40.0
04/01/2018 15:46:34.476666,30.29,54.0,40.0
04/01/2018 15:50:34.630000,30.35,53.0,40.0
04/01/2018 15:53:14.550000,39.65,52.0,38.0
04/01/2018 15:55:54.640000,38.15,55.0,38.0
04/01/2018 15:58:34.576666,32.59,54.0,40.0
04/01/2018 16:02:34.540000,31.71,53.0,41.0
04/01/2018 16:05:14.506666,33.24,52.0,41.0
04/01/2018 16:07:54.523333,36.1,53.0,40.0
04/01/2018 16:10:34.536666,40.5,52.0,41.0
04/01/2018 16:14:34.470000,33.95,52.0,40.0
04/01/2018 16:17:14.480000,31.66,51.0,41.0
04/01/2018 16:19:54.553333,33.37,53.0,40.0
04/01/2018 16:22:34.486666,38.0,52.0,41.0
04/01/2018 16:26:34.510000,35.9,51.0,40.0
04/01/2018 16:29:14.630000,37.05,53.0,40.0
04/01/2018 16:31:54.810000,46.05,53.0,39.0
04/01/2018 16:34:34.780000,36.76,53.0,40.0
04/01/2018 16:38:35.083333,38.15,54.0,39.0
04/01/2018 16:41:14.826666,40.75,54.0,39.0
04/01/2018 16:43:56.793333,37.69,54.0,39.0
04/01/2018 16:46:34.863333,36.43,54.0,39.0
04/01/2018 16:50:34.493333,47.19,55.0,39.0
04/01/2018 16:53:14.683333,40.9,55.0,39.0
04/01/2018 16:55:54.530000,43.8,55.0,39.0
04/01/2018 16:58:34.606666,41.85,54.0,39.0
04/01/2018 17:02:34.513333,35.15,55.0,39.0
04/01/2018 17:05:14.520000,38.44,55.0,40.0
04/01/2018 17:07:54.500000,40.76,53.0,40.0
04/01/2018 17:10:34.500000,43.13,54.0,39.0
04/01/2018 17:14:34.546666,44.24,54.0,39.0
04/01/2018 17:17:14.496666,33.69,54.0,40.0
04/01/2018 17:19:54.580000,42.15,53.0,40.0
04/01/2018 17:22:34.606666,44.1,53.0,39.0
04/01/2018 17:26:34.846666,46.39,54.0,39.0
04/01/2018 17:29:14.543333,43.05,53.0,39.0
04/01/2018 17:31:54.593333,42.55,53.0,39.0
04/01/2018 17:34:34.560000,40.0,53.0,40.0
04/01/2018 17:38:34.560000,33.8,53.0,41.0
04/01/2018 17:41:14.503333,39.24,53.0,41.0
04/01/2018 17:43:55.010000,38.0,51.0,40.0
04/01/2018 17:46:34.593333,39.0,52.0,40.0
04/01/2018 17:50:34.523333,41.49,52.0,40.0
04/01/2018 17:53:14.603333,44.1,52.0,39.0
04/01/2018 17:55:54.643333,42.49,52.0,40.0
04/01/2018 17:58:34.663333,35.65,52.0,41.0
04/01/2018 18:02:34.613333,36.52,51.0,41.0
04/01/2018 18:05:14.646666,41.8,51.0,41.0
04/01/2018 18:07:54.580000,38.85,51.0,41.0
04/01/2018 18:10:34.526666,38.15,51.0,41.0
04/01/2018 18:14:34.636666,43.76,51.0,41.0
04/01/2018 18:17:14.560000,36.2,51.0,41.0
04/01/2018 18:19:54.670000,37.5,50.0,42.0
04/01/2018 18:22:34.623333,33.8,50.0,42.0
04/01/2018 18:26:34.823333,33.76,49.0,43.0
04/01/2018 18:29:14.776666,37.4,49.0,42.0
04/01/2018 18:31:54.830000,33.43,49.0,44.0
04/01/2018 18:34:34.603333,46.0,48.0,42.0
04/01/2018 18:38:34.530000,33.9,48.0,43.0
04/01/2018 18:41:14.836666,30.85,48.0,43.0
04/01/2018 18:43:55.073333,33.57,48.0,44.0
04/01/2018 18:46:34.596666,31.65,48.0,46.0
04/01/2018 18:50:34.593333,30.78,47.0,45.0
04/01/2018 18:53:14.536666,35.41,46.0,45.0
04/01/2018 18:55:54.556666,39.85,46.0,44.0
04/01/2018 18:58:34.693333,41.5,46.0,43.0
04/01/2018 19:02:34.766666,38.1,47.0,44.0
04/01/2018 19:05:14.566666,33.12,46.0,45.0
04/01/2018 19:07:54.540000,36.41,46.0,45.0
04/01/2018 19:10:34.793333,39.7,46.0,45.0
04/01/2018 19:14:34.713333,34.15,46.0,46.0
04/01/2018 19:17:14.630000,33.76,44.0,46.0
04/01/2018 19:19:54.776666,37.7,44.0,48.0
04/01/2018 19:22:34.893333,44.39,44.0,45.0
04/01/2018 19:26:34.736666,33.35,43.0,47.0
04/01/2018 19:29:14.593333,33.85,44.0,48.0
04/01/2018 19:31:54.596666,32.59,44.0,50.0
04/01/2018 19:34:34.576666,31.07,41.0,50.0
04/01/2018 19:38:34.660000,38.57,42.0,48.0
04/01/2018 19:41:14.650000,34.77,41.0,47.0
04/01/2018 19:43:55.423333,45.95,42.0,47.0
04/01/2018 19:46:34.933333,40.38,42.0,47.0
04/01/2018 19:50:34.630000,36.29,43.0,48.0
04/01/2018 19:53:15.646666,39.52,42.0,47.0
04/01/2018 19:55:54.576666,54.29,42.0,47.0
04/01/2018 19:58:34.710000,40.1,42.0,48.0
04/01/2018 20:02:34.563333,39.45,42.0,48.0
04/01/2018 20:05:14.570000,35.55,40.0,51.0
04/01/2018 20:07:54.616666,35.07,41.0,51.0
04/01/2018 20:10:34.623333,28.6,39.0,54.0
04/01/2018 20:14:34.776666,36.05,39.0,51.0
04/01/2018 20:17:14.616666,32.67,39.0,51.0
04/01/2018 20:19:54.606666,36.45,39.0,51.0
04/01/2018 20:22:34.573333,34.4,39.0,50.0
04/01/2018 20:26:34.600000,30.4,36.0,52.0
04/01/2018 20:29:14.826666,32.71,38.0,51.0
04/01/2018 20:31:54.643333,29.45,38.0,54.0
04/01/2018 20:34:34.580000,28.4,36.0,55.0
04/01/2018 20:38:34.633333,31.4,37.0,52.0
04/01/2018 20:41:14.896666,35.19,38.0,52.0
04/01/2018 20:43:55.346666,29.3,37.0,54.0
04/01/2018 20:46:34.593333,36.92,37.0,52.0
04/01/2018 20:50:34.636666,43.43,37.0,52.0
04/01/2018 20:53:15.240000,42.78,38.0,51.0
04/01/2018 20:55:54.653333,29.15,37.0,53.0
04/01/2018 20:58:34.596666,35.62,36.0,54.0
04/01/2018 21:02:34.726666,32.98,37.0,53.0
04/01/2018 21:05:14.690000,29.38,36.0,55.0
04/01/2018 21:07:54.816666,28.05,33.0,57.0
04/01/2018 21:10:34.653333,29.24,34.0,57.0
04/01/2018 21:14:34.810000,35.76,34.0,54.0
04/01/2018 21:17:14.666666,29.85,36.0,57.0
04/01/2018 21:19:54.670000,25.95,32.0,60.0
04/01/2018 21:22:34.600000,28.92,32.0,62.0
04/01/2018 21:26:34.970000,28.15,34.0,59.0
04/01/2018 21:29:14.906666,29.0,32.0,61.0
04/01/2018 21:31:54.880000,32.29,33.0,57.0
04/01/2018 21:34:34.646666,35.95,32.0,57.0
04/01/2018 21:38:34.730000,30.34,33.0,56.0
