InstrumentName, Swansea (DEH),,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 19:28:37.833333,20.27,31.0,56.0
04/01/2018 19:32:38.033333,19.24,34.0,56.0
04/01/2018 19:35:17.986666,17.71,32.0,57.0
04/01/2018 19:37:57.926666,18.12,32.0,55.0
04/01/2018 19:40:37.723333,18.92,33.0,56.0
04/01/2018 19:44:37.706666,19.64,33.0,56.0
04/01/2018 19:47:17.820000,17.63,33.0,57.0
04/01/2018 19:49:57.753333,21.67,33.0,55.0
04/01/2018 19:52:37.860000,19.68,35.0,53.0
04/01/2018 19:56:37.816666,21.22,35.0,56.0
04/01/2018 19:59:17.906666,30.41,33.0,56.0
04/01/2018 20:01:57.953333,19.11,35.0,54.0
04/01/2018 20:04:37.726666,17.26,35.0,55.0
04/01/2018 20:08:37.846666,20.75,35.0,58.0
04/01/2018 20:11:17.736666,18.64,32.0,57.0
04/01/2018 20:13:58.076666,19.45,33.0,59.0
04/01/2018 20:16:38.106666,19.47,33.0,58.0
04/01/2018 20:20:37.916666,23.74,33.0,54.0
04/01/2018 20:23:17.996666,23.16,35.0,55.0
04/01/2018 20:25:57.943333,22.38,36.0,55.0
04/01/2018 20:28:38.010000,22.18,36.0,56.0
04/01/2018 20:32:38.126666,19.33,34.0,55.0
04/01/2018 20:35:17.816666,20.08,33.0,56.0
04/01/2018 20:37:57.966666,23.78,36.0,55.0
04/01/2018 20:40:37.786666,29.64,35.0,54.0
04/01/2018 20:44:38.163333,22.58,37.0,57.0
04/01/2018 20:47:18.426666,19.86,33.0,58.0
04/01/2018 20:49:58.080000,21.26,35.0,56.0
04/01/2018 20:52:37.936666,20.05,35.0,56.0
04/01/2018 20:56:37.760000,22.76,35.0,54.0
04/01/2018 20:59:17.830000,19.67,35.0,59.0
04/01/2018 21:01:57.843333,23.47,33.0,56.0
04/01/2018 21:04:37.783333,22.17,33.0,57.0
04/01/2018 21:08:38.616666,21.59,34.0,55.0
04/01/2018 21:11:17.836666,22.1,35.0,55.0
04/01/2018 21:13:58.243333,21.17,34.0,58.0
04/01/2018 21:16:37.743333,22.55,32.0,58.0
04/01/2018 21:20:37.810000,20.44,33.0,58.0
04/01/2018 21:23:17.846666,23.21,33.0,58.0
04/01/2018 21:25:57.793333,24.25,34.0,56.0
04/01/2018 21:28:37.750000,22.27,34.0,58.0
04/01/2018 21:32:37.790000,20.68,34.0,58.0
04/01/2018 21:35:18.226666,20.97,34.0,56.0
04/01/2018 21:37:57.740000,21.1,34.0,57.0
04/01/2018 21:40:38.896666,20.68,34.0,57.0
04/01/2018 21:44:37.913333,18.92,31.0,63.0
04/01/2018 21:47:17.786666,20.1,28.0,62.0
04/01/2018 21:49:58.066666,14.93,30.0,62.0
04/01/2018 21:52:37.750000,17.24,30.0,62.0
04/01/2018 21:56:38.423333,22.65,32.0,59.0
04/01/2018 21:59:18.273333,20.31,33.0,58.0
04/01/2018 22:01:58.146666,18.75,32.0,59.0
