InstrumentName, 26th and Williams B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/17/2018 12:44:36.586666,2.45,14.0,67.0
04/17/2018 12:47:16.670000,2.0,14.0,67.0
04/17/2018 12:49:56.776666,2.44,15.0,67.0
04/17/2018 12:52:36.766666,1.5,14.0,67.0
04/17/2018 12:56:36.603333,1.65,14.0,67.0
04/17/2018 12:59:16.576666,2.95,14.0,67.0
04/17/2018 13:01:56.626666,1.63,14.0,67.0
04/17/2018 13:04:36.566666,2.14,14.0,67.0
04/17/2018 13:08:36.603333,1.76,14.0,67.0
04/17/2018 13:11:16.580000,3.38,14.0,67.0
04/17/2018 13:13:56.656666,2.21,14.0,67.0
04/17/2018 13:16:36.606666,2.44,14.0,67.0
04/17/2018 13:20:36.626666,2.4,13.0,68.0
04/17/2018 13:23:16.743333,2.07,14.0,68.0
04/17/2018 13:25:56.606666,2.02,13.0,68.0
04/17/2018 13:28:36.600000,2.26,13.0,68.0
04/17/2018 13:31:16.600000,2.41,13.0,68.0
04/17/2018 13:35:16.606666,1.17,13.0,68.0
04/17/2018 13:37:56.613333,1.6,13.0,68.0
04/17/2018 13:40:36.610000,2.57,13.0,68.0
04/17/2018 13:43:16.660000,1.67,12.0,68.0
04/17/2018 13:47:16.640000,3.98,12.0,68.0
04/17/2018 13:49:56.703333,2.69,12.0,68.0
04/17/2018 13:52:37.743333,2.44,12.0,68.0
04/17/2018 13:56:36.643333,2.64,12.0,68.0
04/17/2018 13:59:16.710000,2.86,12.0,69.0
04/17/2018 14:01:56.696666,2.4,12.0,69.0
04/17/2018 14:04:36.646666,2.9,12.0,69.0
04/17/2018 14:08:36.703333,3.16,11.0,69.0
04/17/2018 14:11:16.720000,2.69,12.0,69.0
04/17/2018 14:13:56.643333,2.91,12.0,69.0
04/17/2018 14:16:36.663333,3.0,11.0,69.0
04/17/2018 14:20:36.776666,2.77,11.0,69.0
04/17/2018 14:23:16.656666,1.37,11.0,69.0
04/17/2018 14:25:56.660000,3.18,11.0,69.0
04/17/2018 14:28:36.693333,3.07,11.0,69.0
04/17/2018 14:32:36.706666,2.31,11.0,69.0
04/17/2018 14:35:16.683333,6.61,11.0,70.0
04/17/2018 14:37:56.676666,2.74,11.0,69.0
04/17/2018 14:40:36.693333,2.29,11.0,70.0
