InstrumentName, Columbian Elem (CS23),
StartTime, 2022-01-01 00:00:00,
EndTime, 2022-01-31 23:59:59,
Date,*Lat,*Lon
01/12/2022 05:43:20.093000,39.74083,-105.19865
01/12/2022 05:44:40.893000,39.74083,-105.19865
01/12/2022 05:45:51.181000,39.74083,-105.19865
01/12/2022 05:46:57.348000,39.74083,-105.19865
01/12/2022 05:48:08.921000,39.74083,-105.19865
01/12/2022 05:48:09.425000,39.74083,-105.19865
01/12/2022 05:49:32.311000,39.74083,-105.19865
01/12/2022 05:50:53.210000,39.74083,-105.19865
01/12/2022 05:52:11.365000,39.74083,-105.19865
01/12/2022 05:52:11.393000,39.74083,-105.19865
01/12/2022 05:53:19.799000,39.74083,-105.19865
01/12/2022 05:54:39.160000,39.74083,-105.19865
01/12/2022 05:56:02.394000,39.74083,-105.19865
01/12/2022 05:56:02.833000,39.74083,-105.19865
01/12/2022 05:57:21.740000,39.74083,-105.19865
01/12/2022 05:58:36.605000,39.74083,-105.19865
01/12/2022 05:59:51.774000,39.74083,-105.19865
01/12/2022 06:01:11.244000,0.0,0.0
01/12/2022 06:01:11.412000,0.0,0.0
01/12/2022 06:02:03.411000,0.0,0.0
01/12/2022 06:03:04.350000,0.0,0.0
01/12/2022 06:04:05.458000,0.0,0.0
01/12/2022 06:05:04.596000,0.0,0.0
01/12/2022 06:06:04.196000,0.0,0.0
01/12/2022 06:07:05.567000,0.0,0.0
01/12/2022 06:08:05.720000,0.0,0.0
01/12/2022 06:09:05.251000,0.0,0.0
01/12/2022 06:10:05.266000,0.0,0.0
01/12/2022 06:11:04.024000,0.0,0.0
01/12/2022 06:12:04.099000,0.0,0.0
01/12/2022 06:13:04.871000,0.0,0.0
01/12/2022 06:14:03.979000,0.0,0.0
01/12/2022 06:15:04.505000,0.0,0.0
01/12/2022 06:16:05.147000,0.0,0.0
01/12/2022 06:17:04.514000,0.0,0.0
01/12/2022 06:18:04.005000,0.0,0.0
01/12/2022 06:19:04.533000,0.0,0.0
01/12/2022 06:20:04.300000,0.0,0.0
01/12/2022 06:21:06.031000,0.0,0.0
01/12/2022 06:22:05.120000,0.0,0.0
01/12/2022 06:23:05.088000,0.0,0.0
01/12/2022 06:24:06.185000,0.0,0.0
01/12/2022 06:25:04.168000,0.0,0.0
