InstrumentName, Welby
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,NO2,O3,PM10,SO2
10/21/2021 17:00:00,44.0,2.0,127.6,2.0
10/21/2021 18:00:00,43.0,3.0,116.2,2.0
10/21/2021 19:00:00,47.0,3.0,122.3,2.0
10/21/2021 20:00:00,47.0,9.0,101.8,2.0
10/21/2021 22:00:00,24.0,27.0,58.8,2.0
10/21/2021 23:00:00,28.0,20.0,49.5,0.0
10/22/2021 00:00:00,43.0,3.0,82.4,0.0
10/22/2021 01:00:00,42.0,0.0,73.6,1.0
10/22/2021 02:00:00,42.0,0.0,95.9,2.0
10/22/2021 03:00:00,40.0,0.0,63.2,1.0
10/22/2021 04:00:00,,0.0,79.4,1.0
10/22/2021 05:00:00,39.0,0.0,50.5,1.0
10/22/2021 06:00:00,36.0,0.0,48.2,1.0
10/22/2021 07:00:00,35.0,0.0,52.8,1.0
10/22/2021 09:00:00,35.0,0.0,29.8,0.0
10/22/2021 10:00:00,35.0,0.0,22.6,0.0
10/22/2021 11:00:00,36.0,0.0,47.7,1.0
10/22/2021 12:00:00,37.0,0.0,135.7,1.0
10/22/2021 13:00:00,39.0,0.0,164.9,1.0
10/22/2021 14:00:00,43.0,2.0,122.2,2.0
10/22/2021 15:00:00,46.0,6.0,109.6,2.0
10/22/2021 16:00:00,32.0,19.0,64.1,2.0
10/22/2021 18:00:00,6.0,45.0,29.8,0.0
10/22/2021 19:00:00,4.0,48.0,19.7,0.0
10/22/2021 20:00:00,3.0,49.0,28.1,0.0
10/22/2021 21:00:00,3.0,50.0,26.6,0.0
10/22/2021 23:00:00,6.0,43.0,54.4,0.0
10/23/2021 00:00:00,23.0,25.0,31.0,0.0
10/23/2021 01:00:00,26.0,17.0,49.0,0.0
10/23/2021 02:00:00,29.0,16.0,48.6,1.0
10/23/2021 04:00:00,,4.0,81.4,1.0
10/23/2021 06:00:00,41.0,1.0,45.1,1.0
10/23/2021 07:00:00,37.0,3.0,39.8,1.0
10/23/2021 09:00:00,31.0,2.0,29.8,0.0
10/23/2021 10:00:00,32.0,1.0,41.4,0.0
10/23/2021 11:00:00,38.0,0.0,50.0,1.0
10/23/2021 12:00:00,37.0,0.0,64.5,1.0
10/23/2021 13:00:00,36.0,0.0,49.9,1.0
10/23/2021 14:00:00,38.0,1.0,121.4,2.0
10/23/2021 15:00:00,40.0,3.0,90.7,2.0
10/23/2021 16:00:00,37.0,8.0,91.2,3.0
10/23/2021 18:00:00,29.0,15.0,64.8,1.0
10/23/2021 19:00:00,15.0,27.0,30.1,1.0
10/23/2021 20:00:00,5.0,38.0,29.6,1.0
10/23/2021 21:00:00,2.0,41.0,23.8,0.0
10/23/2021 22:00:00,3.0,41.0,33.1,0.0
10/24/2021 00:00:00,18.0,21.0,65.2,1.0
10/24/2021 01:00:00,16.0,23.0,39.1,1.0
10/24/2021 02:00:00,15.0,22.0,62.2,0.0
10/24/2021 03:00:00,13.0,27.0,53.3,1.0
10/24/2021 05:00:00,12.0,19.0,52.9,0.0
10/24/2021 06:00:00,20.0,11.0,78.6,0.0
10/24/2021 07:00:00,19.0,9.0,59.6,1.0
10/24/2021 09:00:00,31.0,3.0,67.0,1.0
10/24/2021 10:00:00,27.0,2.0,60.8,0.0
10/24/2021 11:00:00,29.0,3.0,38.5,0.0
10/24/2021 12:00:00,26.0,2.0,31.8,0.0
10/24/2021 13:00:00,26.0,2.0,39.4,0.0
10/24/2021 14:00:00,23.0,10.0,42.7,1.0
10/24/2021 15:00:00,14.0,22.0,52.7,1.0
10/24/2021 16:00:00,2.0,42.0,119.9,0.0
10/24/2021 17:00:00,2.0,43.0,,0.0
10/24/2021 18:00:00,1.0,47.0,32.8,0.0
10/24/2021 20:00:00,1.0,47.0,31.4,0.0
10/24/2021 21:00:00,1.0,48.0,22.3,0.0
10/24/2021 22:00:00,2.0,47.0,29.0,0.0
10/24/2021 23:00:00,4.0,43.0,21.2,0.0
10/25/2021 00:00:00,5.0,38.0,22.6,0.0
10/25/2021 01:00:00,9.0,33.0,27.3,0.0
