InstrumentName, I-25 Denver
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,PM2.5
10/11/2021 23:00:00,0.229,7.0,3.7
10/12/2021 00:00:00,0.322,15.0,3.0
10/12/2021 01:00:00,0.331,18.0,3.1
10/12/2021 03:00:00,0.47,19.0,3.8
10/12/2021 04:00:00,0.369,,3.6
10/12/2021 05:00:00,0.178,9.0,2.9
10/12/2021 06:00:00,0.237,12.0,3.9
10/12/2021 07:00:00,0.184,8.0,5.1
10/12/2021 09:00:00,0.181,7.0,7.2
10/12/2021 10:00:00,0.216,10.0,7.3
10/12/2021 11:00:00,0.48,18.0,8.8
10/12/2021 12:00:00,0.666,25.0,10.1
10/12/2021 13:00:00,0.609,25.0,10.4
10/12/2021 14:00:00,0.684,26.0,10.5
10/12/2021 15:00:00,0.446,17.0,9.5
10/12/2021 16:00:00,0.424,17.0,9.9
10/12/2021 17:00:00,0.512,20.0,10.6
10/12/2021 18:00:00,0.478,21.0,11.0
10/12/2021 19:00:00,0.486,23.0,11.3
10/12/2021 20:00:00,0.539,21.0,9.6
10/12/2021 21:00:00,0.551,22.0,8.6
10/12/2021 22:00:00,0.588,26.0,8.4
10/12/2021 23:00:00,0.461,23.0,9.0
10/13/2021 00:00:00,0.575,23.0,8.5
10/13/2021 01:00:00,0.356,15.0,8.4
10/13/2021 03:00:00,0.287,14.0,1.6
10/13/2021 04:00:00,0.239,,1.7
10/13/2021 05:00:00,0.232,8.0,1.6
10/13/2021 06:00:00,0.194,8.0,2.6
10/13/2021 07:00:00,0.179,10.0,7.5
10/13/2021 09:00:00,0.247,32.0,4.6
10/13/2021 10:00:00,0.198,20.0,2.4
10/13/2021 11:00:00,0.462,29.0,2.8
10/13/2021 12:00:00,0.602,33.0,3.5
10/13/2021 13:00:00,0.527,33.0,3.5
10/13/2021 14:00:00,0.436,25.0,4.2
10/13/2021 15:00:00,0.565,23.0,3.3
10/13/2021 16:00:00,0.405,18.0,1.6
10/13/2021 17:00:00,0.399,16.0,1.8
10/13/2021 18:00:00,0.433,16.0,1.6
10/13/2021 19:00:00,0.444,17.0,2.5
10/13/2021 20:00:00,0.398,14.0,3.9
10/13/2021 21:00:00,0.414,17.0,2.9
10/13/2021 22:00:00,0.394,16.0,1.4
10/14/2021 00:00:00,0.597,22.0,2.2
10/14/2021 02:00:00,0.31,21.0,2.9
10/14/2021 03:00:00,0.408,25.0,3.9
10/14/2021 05:00:00,0.171,6.0,1.9
10/14/2021 06:00:00,0.167,8.0,1.7
10/14/2021 07:00:00,0.19,11.0,2.0
10/14/2021 09:00:00,0.261,22.0,3.5
10/14/2021 10:00:00,0.228,17.0,2.4
10/14/2021 11:00:00,0.423,22.0,3.1
10/14/2021 12:00:00,0.575,31.0,4.4
10/14/2021 13:00:00,0.778,30.0,5.2
10/14/2021 14:00:00,0.759,27.0,5.5
10/14/2021 15:00:00,0.634,25.0,6.5
10/14/2021 16:00:00,0.345,16.0,5.6
10/14/2021 17:00:00,0.483,19.0,6.2
10/14/2021 18:00:00,0.463,21.0,6.7
