InstrumentName, The GrowHaus,,
StartTime, 2018-12-01 00:00:00,,
EndTime, 2018-12-31 23:59:59,,
Date,PM2.5,humidity,temp_f
12/17/2018 15:31:41.256666,4.05,19.0,74.66666666666667
12/17/2018 15:33:01.256666,2.76,19.0,74.66666666666667
12/17/2018 15:35:41.240000,3.52,18.0,74.66666666666667
12/17/2018 15:37:01.246666,6.07,18.0,76.0
12/17/2018 15:39:41.296666,3.57,17.0,76.0
12/17/2018 15:41:01.343333,4.17,17.0,77.33333333333333
12/17/2018 15:43:41.260000,5.1,17.0,78.66666666666667
12/17/2018 15:45:01.246666,5.54,17.0,78.66666666666667
12/17/2018 15:47:41.246666,5.83,16.0,78.66666666666667
12/17/2018 15:49:01.336666,7.0,16.0,80.0
12/17/2018 15:51:41.353333,5.0,16.0,81.33333333333333
12/17/2018 15:53:01.260000,3.98,16.0,82.66666666666667
12/17/2018 15:55:41.270000,3.71,15.0,82.66666666666667
12/17/2018 15:57:01.726666,4.51,15.0,82.66666666666667
12/17/2018 15:59:41.260000,3.38,15.0,81.33333333333333
12/17/2018 16:01:01.326666,3.0,15.0,81.33333333333333
12/17/2018 16:03:41.313333,2.78,15.0,81.33333333333333
12/17/2018 16:05:01.343333,2.63,15.0,80.0
12/17/2018 16:07:41.320000,4.53,15.0,82.66666666666667
12/17/2018 16:09:01.430000,3.24,15.0,82.66666666666667
12/17/2018 16:11:41.286666,2.71,14.0,82.66666666666667
12/17/2018 16:13:01.346666,2.41,14.0,84.0
12/17/2018 16:15:41.426666,2.57,14.0,84.0
12/17/2018 16:17:01.320000,2.65,14.0,84.0
12/17/2018 16:19:41.356666,10.44,14.0,85.33333333333333
12/17/2018 16:21:01.350000,7.34,14.0,86.66666666666667
12/17/2018 16:23:41.286666,2.43,13.0,88.0
12/17/2018 16:25:01.276666,2.05,13.0,88.0
12/17/2018 16:27:41.293333,2.32,13.0,86.66666666666667
12/17/2018 16:29:01.303333,3.8,13.0,86.66666666666667
12/17/2018 16:31:41.270000,3.69,13.0,86.66666666666667
12/17/2018 16:33:01.400000,2.9,13.0,86.66666666666667
12/17/2018 16:35:41.420000,3.3,13.0,86.66666666666667
12/17/2018 16:37:01.300000,3.93,13.0,86.66666666666667
12/17/2018 16:39:41.336666,3.37,13.0,88.0
12/17/2018 16:41:01.306666,3.05,13.0,88.0
12/17/2018 16:43:41.300000,3.05,12.0,88.0
12/17/2018 16:45:01.493333,3.38,12.0,88.0
12/17/2018 16:47:41.386666,5.7,13.0,88.0
12/17/2018 16:49:01.503333,6.3,12.0,88.0
12/17/2018 16:51:41.320000,3.63,13.0,89.33333333333333
12/17/2018 16:53:01.350000,3.64,12.0,88.0
12/17/2018 16:55:41.333333,3.49,12.0,88.0
12/17/2018 16:57:01.326666,3.07,13.0,88.0
12/17/2018 16:59:42.416666,2.32,13.0,88.0
12/17/2018 17:01:01.630000,3.71,13.0,88.0
12/17/2018 17:03:41.320000,4.02,13.0,88.0
12/17/2018 17:05:01.306666,2.74,13.0,88.0
12/17/2018 17:07:41.316666,4.51,12.0,88.0
12/17/2018 17:09:01.316666,3.78,12.0,88.0
12/17/2018 17:11:41.546666,3.95,12.0,89.33333333333333
12/17/2018 17:13:01.330000,5.22,12.0,89.33333333333333
12/17/2018 17:15:41.320000,3.51,12.0,89.33333333333333
12/17/2018 17:17:01.340000,3.47,12.0,90.66666666666667
12/17/2018 17:19:41.416666,3.35,12.0,90.66666666666667
12/17/2018 17:21:01.306666,3.93,12.0,90.66666666666667
12/17/2018 17:23:41.450000,2.83,12.0,92.0
12/17/2018 17:25:01.326666,3.6,11.0,92.0
12/17/2018 17:27:41.326666,3.37,11.0,92.0
12/17/2018 17:29:01.423333,3.1,11.0,92.0
12/17/2018 17:31:41.596666,3.78,11.0,92.0
12/17/2018 17:33:01.356666,4.24,11.0,92.0
12/17/2018 17:35:41.340000,4.31,11.0,92.0
12/17/2018 17:37:01.333333,5.45,11.0,92.0
12/17/2018 17:39:41.443333,4.27,11.0,90.66666666666667
12/17/2018 17:41:01.530000,3.95,11.0,92.0
12/17/2018 17:43:41.353333,6.0,11.0,92.0
12/17/2018 17:45:01.423333,6.18,11.0,92.0
12/17/2018 17:47:41.353333,22.6,11.0,92.0
12/17/2018 17:49:01.390000,12.68,11.0,92.0
12/17/2018 17:51:41.340000,5.67,11.0,92.0
12/17/2018 17:53:01.616666,5.61,11.0,92.0
12/17/2018 17:55:41.416666,7.27,12.0,92.0
12/17/2018 17:57:01.620000,8.02,11.0,92.0
12/17/2018 17:59:41.350000,6.38,12.0,92.0
12/17/2018 18:01:01.496666,5.47,12.0,92.0
12/17/2018 18:03:43.230000,5.76,11.0,92.0
12/17/2018 18:05:01.416666,5.18,11.0,92.0
12/17/2018 18:07:41.386666,7.19,11.0,92.0
12/17/2018 18:09:01.620000,9.93,11.0,92.0
12/17/2018 18:11:41.376666,7.21,11.0,92.0
12/17/2018 18:13:01.756666,7.21,11.0,92.0
12/17/2018 18:15:41.373333,7.93,11.0,92.0
12/17/2018 18:17:01.413333,6.24,11.0,92.0
12/17/2018 18:19:41.456666,8.32,11.0,92.0
12/17/2018 18:21:02.040000,8.45,11.0,92.0
12/17/2018 18:23:41.383333,8.95,11.0,92.0
12/17/2018 18:25:01.556666,9.61,11.0,92.0
12/17/2018 18:27:41.383333,8.44,11.0,92.0
12/17/2018 18:29:01.430000,9.15,11.0,92.0
12/17/2018 18:31:41.630000,9.59,11.0,92.0
12/17/2018 18:33:01.383333,9.45,11.0,92.0
12/17/2018 18:35:41.920000,10.61,11.0,92.0
12/17/2018 18:37:01.613333,9.83,11.0,92.0
12/17/2018 18:39:41.476666,8.17,11.0,92.0
12/17/2018 18:41:01.526666,8.88,11.0,92.0
12/17/2018 18:43:41.850000,10.73,11.0,90.66666666666667
12/17/2018 18:45:01.466666,7.55,11.0,90.66666666666667
12/17/2018 18:47:44.573333,9.0,11.0,90.66666666666667
12/17/2018 18:49:01.413333,7.0,11.0,90.66666666666667
12/17/2018 19:19:41.513333,34.05,11.0,88.0
12/17/2018 19:21:01.506666,34.88,11.0,88.0
12/17/2018 19:23:41.676666,46.53,11.0,88.0
12/17/2018 19:25:01.556666,40.45,11.0,88.0
12/17/2018 19:27:41.460000,39.22,11.0,88.0
12/17/2018 19:29:01.580000,31.87,11.0,88.0
12/17/2018 19:31:41.536666,14.27,11.0,88.0
12/17/2018 19:33:01.433333,10.98,11.0,88.0
12/17/2018 19:35:41.470000,5.54,11.0,86.66666666666667
12/17/2018 19:37:01.456666,5.8,11.0,86.66666666666667
12/17/2018 19:39:41.463333,4.24,11.0,86.66666666666667
12/17/2018 19:41:01.516666,4.9,11.0,86.66666666666667
12/17/2018 19:42:21.440000,6.12,11.0,86.66666666666667
12/17/2018 19:45:01.423333,5.48,11.0,86.66666666666667
12/17/2018 19:49:01.456666,6.03,11.0,86.66666666666667
12/17/2018 19:51:41.513333,6.0,12.0,86.66666666666667
12/17/2018 19:53:01.686666,4.62,11.0,86.66666666666667
12/17/2018 19:55:41.486666,5.12,11.0,86.66666666666667
12/17/2018 19:57:01.503333,3.98,11.0,86.66666666666667
12/17/2018 19:59:41.596666,5.2,11.0,86.66666666666667
12/17/2018 20:01:01.646666,4.71,11.0,86.66666666666667
12/17/2018 20:03:41.486666,5.05,11.0,86.66666666666667
12/17/2018 20:05:01.470000,5.88,11.0,86.66666666666667
12/17/2018 20:07:41.463333,5.02,11.0,86.66666666666667
12/17/2018 20:09:01.473333,5.41,11.0,86.66666666666667
12/17/2018 20:11:41.630000,4.5,12.0,86.66666666666667
12/17/2018 20:13:01.556666,6.22,12.0,86.66666666666667
12/17/2018 20:15:41.523333,4.74,12.0,86.66666666666667
12/17/2018 20:17:01.540000,4.31,12.0,86.66666666666667
12/17/2018 20:19:41.743333,4.51,12.0,86.66666666666667
12/17/2018 20:21:01.546666,3.6,12.0,86.66666666666667
12/17/2018 20:23:41.493333,3.56,12.0,86.66666666666667
12/17/2018 20:25:01.530000,3.53,12.0,86.66666666666667
12/17/2018 20:27:41.516666,4.0,12.0,88.0
12/17/2018 20:29:01.480000,3.71,12.0,86.66666666666667
12/17/2018 20:31:41.510000,4.93,12.0,86.66666666666667
12/17/2018 20:33:01.510000,4.64,12.0,86.66666666666667
12/17/2018 20:35:41.480000,3.53,12.0,86.66666666666667
12/17/2018 20:37:01.726666,2.45,12.0,86.66666666666667
12/17/2018 20:39:41.476666,3.88,13.0,86.66666666666667
12/17/2018 20:41:01.726666,2.95,13.0,86.66666666666667
12/17/2018 20:43:41.503333,3.95,12.0,86.66666666666667
12/17/2018 20:45:01.530000,4.73,12.0,86.66666666666667
12/17/2018 20:47:41.553333,2.5,13.0,86.66666666666667
12/17/2018 20:49:01.510000,3.3,13.0,86.66666666666667
12/17/2018 20:51:41.526666,3.17,13.0,86.66666666666667
12/17/2018 20:53:01.550000,2.0,13.0,86.66666666666667
12/17/2018 20:55:41.500000,2.3,13.0,86.66666666666667
12/17/2018 20:57:01.893333,2.66,13.0,86.66666666666667
12/17/2018 20:59:41.493333,2.88,13.0,85.33333333333333
12/17/2018 21:01:01.626666,2.19,13.0,85.33333333333333
12/17/2018 21:03:41.586666,2.4,13.0,85.33333333333333
12/17/2018 21:28:59.566666,3.38,13.0,84.0
12/17/2018 21:31:39.610000,4.24,13.0,84.0
12/17/2018 21:32:59.546666,10.15,13.0,84.0
12/17/2018 21:35:39.556666,5.07,13.0,84.0
12/17/2018 21:36:59.540000,4.55,13.0,84.0
12/17/2018 21:39:39.816666,4.67,13.0,84.0
12/17/2018 21:40:59.553333,6.37,13.0,84.0
12/17/2018 21:43:39.560000,8.02,13.0,84.0
12/17/2018 21:44:59.610000,9.38,12.0,84.0
12/17/2018 21:47:40.390000,4.28,12.0,84.0
12/17/2018 21:49:00.083333,5.79,13.0,84.0
12/17/2018 21:51:39.636666,7.64,13.0,84.0
12/17/2018 21:52:59.576666,10.62,12.0,84.0
12/17/2018 21:55:41.626666,6.81,12.0,84.0
12/17/2018 21:56:59.840000,7.67,12.0,84.0
12/17/2018 21:59:39.560000,4.15,12.0,85.33333333333333
12/17/2018 22:00:59.586666,7.2,12.0,85.33333333333333
12/17/2018 22:03:39.633333,5.93,12.0,84.0
12/17/2018 22:04:59.576666,4.36,12.0,85.33333333333333
12/17/2018 22:07:40.273333,7.63,12.0,85.33333333333333
12/17/2018 22:08:59.560000,5.03,12.0,85.33333333333333
12/17/2018 22:11:39.713333,6.14,12.0,84.0
12/17/2018 22:12:59.736666,3.88,12.0,84.0
12/17/2018 22:15:39.726666,8.12,12.0,84.0
12/17/2018 22:16:59.623333,8.73,12.0,84.0
12/17/2018 22:19:39.593333,9.22,12.0,84.0
