InstrumentName, Wash Park West,,
StartTime, 2019-07-01 00:00:00,,
EndTime, 2019-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2019 12:16:15.630000,5.707070707070708,56.0,71.0
07/01/2019 12:18:15.629000,6.217171717171717,56.0,71.0
07/01/2019 12:20:15.908000,6.126262626262626,56.0,72.0
07/01/2019 12:22:15.644000,5.651515151515151,56.0,72.0
07/01/2019 12:24:15.687000,6.01010101010101,56.0,72.0
07/01/2019 12:26:15.630000,5.686868686868687,56.0,72.0
07/01/2019 12:28:15.676000,5.848484848484849,56.0,72.0
07/01/2019 12:30:15.614000,6.0606060606060606,56.0,72.0
07/01/2019 12:32:15.641000,5.898989898989899,57.0,72.0
07/01/2019 12:34:15.652000,5.318181818181818,57.0,72.0
07/01/2019 12:36:15.608000,5.843434343434343,57.0,72.0
07/01/2019 12:38:15.888000,5.4393939393939394,57.0,72.0
07/01/2019 12:40:18.604000,6.015151515151516,57.0,72.0
07/01/2019 12:42:15.697000,5.8686868686868685,56.0,72.0
07/01/2019 12:44:15.628000,5.5353535353535355,56.0,72.0
07/01/2019 12:46:15.708000,6.03030303030303,56.0,72.0
07/01/2019 12:48:15.669000,6.161616161616161,55.0,73.0
07/01/2019 12:50:15.697000,6.464646464646465,55.0,73.0
07/01/2019 12:52:15.659000,6.267676767676768,55.0,73.0
07/01/2019 12:54:15.952000,6.6313131313131315,55.0,73.0
07/01/2019 12:56:15.701000,6.853535353535354,55.0,73.0
07/01/2019 12:58:15.638000,7.04040404040404,55.0,73.0
07/01/2019 13:00:15.666000,6.984848484848485,55.0,74.0
07/01/2019 13:02:15.718000,7.196969696969697,54.0,74.0
07/01/2019 13:04:15.702000,7.136363636363637,53.0,74.0
07/01/2019 13:06:15.668000,7.4393939393939394,52.0,74.0
07/01/2019 13:08:15.666000,7.863636363636364,52.0,74.0
07/01/2019 13:10:15.722000,7.252525252525253,51.0,74.0
07/01/2019 13:12:16.034000,7.247474747474747,51.0,74.0
07/01/2019 13:14:15.675000,7.808080808080809,51.0,75.0
07/01/2019 13:16:15.698000,7.53030303030303,51.0,75.0
07/01/2019 13:18:15.689000,7.641414141414142,50.0,75.0
07/01/2019 13:20:15.764000,7.8232323232323235,51.0,75.0
07/01/2019 13:22:15.698000,7.742424242424242,50.0,75.0
07/01/2019 13:24:15.682000,7.954545454545455,50.0,75.0
07/01/2019 13:26:15.784000,8.156565656565656,49.0,75.0
07/01/2019 13:28:15.668000,8.227272727272727,50.0,75.0
07/01/2019 13:30:15.706000,8.33838383838384,50.0,75.0
07/01/2019 13:32:15.733000,8.181818181818182,50.0,75.0
07/01/2019 13:34:16.042000,8.565656565656566,49.0,75.0
07/01/2019 13:36:15.711000,7.575757575757576,50.0,76.0
07/01/2019 13:38:16.008000,8.141414141414142,49.0,76.0
07/01/2019 13:40:15.743000,8.398989898989898,49.0,76.0
07/01/2019 13:42:15.702000,8.303030303030305,49.0,76.0
07/01/2019 13:44:15.717000,7.792929292929293,49.0,76.0
07/01/2019 13:46:15.686000,7.9898989898989905,48.0,76.0
07/01/2019 13:48:15.731000,8.217171717171716,49.0,76.0
07/01/2019 13:50:15.725000,8.333333333333334,49.0,76.0
07/01/2019 13:52:15.981000,8.353535353535353,48.0,76.0
07/01/2019 13:54:15.740000,8.383838383838384,49.0,76.0
07/01/2019 13:56:15.750000,8.474747474747476,49.0,76.0
07/01/2019 13:58:15.805000,8.151515151515152,48.0,76.0
07/01/2019 14:00:15.785000,7.904040404040404,48.0,76.0
07/01/2019 14:02:15.723000,8.378787878787879,48.0,77.0
07/01/2019 14:04:15.731000,8.38888888888889,47.0,77.0
07/01/2019 14:06:15.744000,8.808080808080808,48.0,77.0
07/01/2019 14:08:16.482000,8.085858585858587,48.0,77.0
07/01/2019 14:10:15.785000,8.075757575757576,48.0,77.0
07/01/2019 14:12:15.781000,7.6767676767676765,48.0,77.0
07/01/2019 14:14:16.196000,7.929292929292929,47.0,77.0
