InstrumentName, Woods Park B,,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2018 23:34:52.000000,2.05,2.81,2.81
05/01/2018 23:37:32.000000,1.9,3.31,3.31
05/01/2018 23:41:32.000000,1.9,2.81,2.67
05/01/2018 23:44:12.000000,2.78,4.07,3.56
05/01/2018 23:46:52.000000,2.51,3.77,3.3
05/01/2018 23:49:32.000000,2.33,3.0,2.81
05/01/2018 23:53:32.000000,1.83,3.32,2.8
05/01/2018 23:56:12.000000,2.35,3.4,3.16
05/01/2018 23:58:52.000000,2.35,3.12,3.12
05/02/2018 00:01:32.000000,2.33,3.17,3.17
05/02/2018 00:05:32.000000,2.51,3.6,3.26
05/02/2018 00:08:12.000000,2.47,3.65,3.33
05/02/2018 00:10:52.000000,2.07,3.76,2.6
05/02/2018 00:13:32.000000,2.77,3.53,3.4
05/02/2018 00:17:32.000000,2.14,3.35,3.35
05/02/2018 00:20:12.000000,2.55,3.5,3.5
05/02/2018 00:22:52.000000,2.48,3.14,3.14
