InstrumentName, Woods Park,,
StartTime, 2022-05-01 00:00:00,,
EndTime, 2022-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2022 10:50:50.000000,5.09,7.59,7.21
05/01/2022 10:52:50.000000,3.23,5.65,4.95
05/01/2022 10:54:50.000000,4.55,7.1,6.67
05/01/2022 10:56:50.000000,3.84,6.02,5.91
05/01/2022 10:58:50.000000,4.24,6.95,6.41
05/01/2022 11:02:50.000000,3.79,5.79,5.45
05/01/2022 11:04:50.000000,4.23,6.12,5.71
05/01/2022 11:06:50.000000,4.03,6.07,5.67
05/01/2022 11:08:50.000000,3.86,6.24,5.63
05/01/2022 11:12:51.000000,3.59,6.07,5.71
05/01/2022 11:14:51.000000,3.5,5.97,5.28
05/01/2022 11:16:51.000000,3.64,5.48,5.3
05/01/2022 11:18:51.000000,3.64,5.34,5.31
05/01/2022 11:20:51.000000,3.77,5.92,5.7
05/01/2022 11:22:51.000000,4.39,7.05,6.73
05/01/2022 11:24:51.000000,5.54,8.86,7.68
05/01/2022 11:26:51.000000,5.95,10.27,9.14
05/01/2022 11:28:51.000000,6.36,10.69,9.66
05/01/2022 11:32:51.000000,6.07,10.07,9.09
05/01/2022 11:34:51.000000,5.67,9.46,8.51
05/01/2022 11:36:51.000000,5.41,9.12,8.47
05/01/2022 11:38:51.000000,5.15,8.42,8.15
05/01/2022 11:40:51.000000,6.27,10.59,9.36
05/01/2022 11:42:51.000000,6.29,11.29,9.91
05/01/2022 11:44:51.000000,6.84,12.6,11.07
05/01/2022 11:46:51.000000,6.46,11.88,10.29
05/01/2022 11:48:54.000000,6.47,11.69,10.86
05/01/2022 11:50:51.000000,6.88,11.39,10.47
05/01/2022 11:52:51.000000,6.59,11.62,10.45
05/01/2022 11:54:51.000000,6.64,10.68,10.17
05/01/2022 11:56:51.000000,7.33,11.97,10.45
05/01/2022 11:58:51.000000,6.46,11.47,10.07
05/01/2022 12:02:51.000000,7.22,11.31,10.59
05/01/2022 12:04:51.000000,6.62,11.27,10.58
05/01/2022 12:06:51.000000,7.26,11.79,10.42
05/01/2022 12:08:51.000000,7.88,13.72,11.93
05/01/2022 12:10:51.000000,7.88,13.75,12.07
05/01/2022 12:12:51.000000,8.48,13.44,12.89
05/01/2022 12:14:51.000000,7.75,13.82,12.86
05/01/2022 12:16:51.000000,8.54,14.0,13.34
05/01/2022 12:18:51.000000,9.05,15.8,14.22
05/01/2022 12:20:51.000000,8.65,15.56,14.04
05/01/2022 12:22:51.000000,9.49,15.79,14.47
