InstrumentName, I-25 Globeville,
StartTime, 2018-10-01 00:00:00,
EndTime, 2018-10-31 23:59:59,
Date,NO2,PM2.5
10/11/2018 15:00:00.000000,23.0,12.5
10/11/2018 16:00:00.000000,23.0,16.3
10/11/2018 17:00:00.000000,,20.6
10/11/2018 18:00:00.000000,,22.5
10/11/2018 19:00:00.000000,,25.7
10/11/2018 20:00:00.000000,,27.8
10/11/2018 21:00:00.000000,,24.4
10/11/2018 22:00:00.000000,,21.2
10/11/2018 23:00:00.000000,,19.0
10/12/2018 00:00:00.000000,,18.6
10/12/2018 01:00:00.000000,,18.7
10/12/2018 02:00:00.000000,,17.9
10/12/2018 03:00:00.000000,,18.7
10/12/2018 04:00:00.000000,,19.7
10/12/2018 05:00:00.000000,,20.3
10/12/2018 06:00:00.000000,,20.1
10/12/2018 07:00:00.000000,,20.1
10/12/2018 08:00:00.000000,,19.8
10/12/2018 09:00:00.000000,,19.8
10/12/2018 10:00:00.000000,,20.0
10/12/2018 11:00:00.000000,,20.4
10/12/2018 12:00:00.000000,,20.8
10/12/2018 13:00:00.000000,,21.9
10/12/2018 14:00:00.000000,,21.8
10/12/2018 15:00:00.000000,,22.2
10/12/2018 16:00:00.000000,,21.9
10/12/2018 17:00:00.000000,,20.3
10/12/2018 18:00:00.000000,,15.3
10/12/2018 19:00:00.000000,,13.2
10/12/2018 20:00:00.000000,,11.1
10/12/2018 21:00:00.000000,,10.5
10/12/2018 22:00:00.000000,,9.6
10/12/2018 23:00:00.000000,,8.3
10/13/2018 00:00:00.000000,,8.5
10/13/2018 01:00:00.000000,,10.3
10/13/2018 02:00:00.000000,,13.3
10/13/2018 03:00:00.000000,,15.3
10/13/2018 04:00:00.000000,,15.3
10/13/2018 05:00:00.000000,,14.5
10/13/2018 06:00:00.000000,,15.4
10/13/2018 07:00:00.000000,,16.5
10/13/2018 08:00:00.000000,,16.5
10/13/2018 09:00:00.000000,,16.6
10/13/2018 10:00:00.000000,,13.9
10/13/2018 11:00:00.000000,,11.3
10/13/2018 12:00:00.000000,,9.4
10/13/2018 13:00:00.000000,,8.4
10/13/2018 14:00:00.000000,,8.3
10/13/2018 15:00:00.000000,,7.6
10/13/2018 16:00:00.000000,,7.5
10/13/2018 17:00:00.000000,,6.4
10/13/2018 18:00:00.000000,,6.1
10/13/2018 19:00:00.000000,,5.7
10/13/2018 20:00:00.000000,,4.4
10/13/2018 21:00:00.000000,,3.7
10/13/2018 22:00:00.000000,,3.2
10/13/2018 23:00:00.000000,,2.9
10/14/2018 00:00:00.000000,,3.1
10/14/2018 01:00:00.000000,,4.2
10/14/2018 02:00:00.000000,,4.6
10/14/2018 03:00:00.000000,,3.9
10/14/2018 04:00:00.000000,,3.0
10/14/2018 05:00:00.000000,,4.4
10/14/2018 06:00:00.000000,,6.1
10/14/2018 07:00:00.000000,,4.5
10/14/2018 08:00:00.000000,,4.5
10/14/2018 09:00:00.000000,,3.1
10/14/2018 10:00:00.000000,,4.0
10/14/2018 11:00:00.000000,,4.8
10/14/2018 12:00:00.000000,,5.5
10/14/2018 13:00:00.000000,,6.1
10/14/2018 14:00:00.000000,,8.3
10/14/2018 15:00:00.000000,,7.7
10/14/2018 16:00:00.000000,,5.5
10/14/2018 17:00:00.000000,,5.4
10/14/2018 18:00:00.000000,,8.8
10/14/2018 19:00:00.000000,,7.7
10/14/2018 20:00:00.000000,,8.0
10/14/2018 21:00:00.000000,,7.9
10/14/2018 22:00:00.000000,,7.7
10/14/2018 23:00:00.000000,,7.8
10/15/2018 00:00:00.000000,,7.8
10/15/2018 01:00:00.000000,,8.5
10/15/2018 02:00:00.000000,,9.6
10/15/2018 03:00:00.000000,,11.6
10/15/2018 04:00:00.000000,,14.1
10/15/2018 05:00:00.000000,,14.5
10/15/2018 06:00:00.000000,,12.8
10/15/2018 07:00:00.000000,,11.1
10/15/2018 08:00:00.000000,,11.1
10/15/2018 09:00:00.000000,,9.2
10/15/2018 10:00:00.000000,,9.2
10/15/2018 11:00:00.000000,,9.5
10/15/2018 12:00:00.000000,,10.4
10/15/2018 13:00:00.000000,,11.8
10/15/2018 14:00:00.000000,,13.8
10/15/2018 15:00:00.000000,,13.9
10/15/2018 16:00:00.000000,,13.4
10/15/2018 17:00:00.000000,,12.8
10/15/2018 18:00:00.000000,,11.5
10/15/2018 19:00:00.000000,,8.6
10/15/2018 20:00:00.000000,,6.5
10/15/2018 21:00:00.000000,,5.1
10/15/2018 22:00:00.000000,,3.9
10/15/2018 23:00:00.000000,,3.9
10/16/2018 11:00:00.000000,,7.6
10/16/2018 12:00:00.000000,,8.8
10/16/2018 13:00:00.000000,,11.4
10/16/2018 14:00:00.000000,,13.7
10/16/2018 15:00:00.000000,,14.2
10/16/2018 16:00:00.000000,,13.3
10/16/2018 17:00:00.000000,,10.1
10/16/2018 18:00:00.000000,,7.9
10/16/2018 19:00:00.000000,,6.8
